metric,column,median,mean,sd,q1,q3,iqr,min,max,n_negative,n_positive,sign_test_p,loo_sign_stable,loo_median_min,loo_median_max
"raw proportion, Strategy",delta_raw_p_S,-0.097256950298939,-0.0922271337463491,0.0463203067897034,-0.1185514116150004,-0.0594082572450057,0.0591431543699947,-0.1551408987052551,-0.0074441687344913,10,0,0.001953125,True,-0.0998374192444273,-0.0946764813534507
"B1 logit, Strategy vs rest",delta_logit_S,-0.5898789077934565,-0.6314940166612428,0.3335187928170142,-0.8793283972886505,-0.4463356999639998,0.4329926973246507,-1.125845439126468,-0.0338645139527564,10,0,0.001953125,True,-0.6042265723455909,-0.5755312432413222
"B2 CLR, Race dynamics",delta_clr_Race dynamics,0.3207482726124354,0.2913555807326307,0.2659342182919615,0.1195325699014676,0.406032367347342,0.2864997974458744,-0.1899785503577518,0.6747189640153065,1,9,0.021484375,True,0.3054616363597398,0.3360349088651311
"B2 CLR, Narrative & meta",delta_clr_Narrative & meta,0.1310833116076218,0.1890160406758554,0.2537321844926416,0.0359896853333203,0.323938052710048,0.2879483673767277,-0.1271520681822049,0.7136806433632279,2,8,0.109375,True,0.0884012666215523,0.1737653565936914
"B2 CLR, Strategy & technical",delta_clr_Strategy & technical,-0.3382371417452658,-0.3781040128317221,0.2715976906068097,-0.5008918894660956,-0.2343555301663834,0.2665363592997122,-0.812250680687594,0.0144498468134541,9,1,0.021484375,True,-0.3829538234385681,-0.2935204600519636
"B2 CLR, Regulatory",delta_clr_Regulatory,-0.0297232665846364,-0.1022676085767639,0.5195442131995862,-0.2052906710737088,0.2037046132294252,0.408995284303134,-1.1070663627380797,0.5189499064109724,5,5,1.0,False,-0.1149962563345659,0.055549723165293
"B2 ILR, b1 Strategy vs rest",delta_ilr_b1,-0.3905626096731175,-0.4365969071801448,0.3136139995662446,-0.5783801344363007,-0.2706104568552779,0.3077696775810227,-0.9379062982888782,0.0166852458949933,9,1,0.021484375,True,-0.4421969860989073,-0.3389282332473277
"B2 ILR, b2 RaceDyn vs (Narr,Reg)",delta_ilr_b2,0.1488647041076841,0.2024759363975304,0.3561028265538948,-0.0555876891822989,0.3850935431675576,0.4406812323498565,-0.2676245094692899,0.7729368399630264,3,7,0.34375,True,0.07995707942229,0.2177723287930782
"B2 ILR, b3 Narr vs Reg",delta_ilr_b3,0.1884384831410437,0.2059686436352909,0.5036164821711896,-0.0567922833525247,0.2593934183118975,0.3161857016644223,-0.4162731491586928,1.2874625548393388,3,7,0.34375,True,0.1609395310345132,0.2159374352475742
B3 log(S/Race dynamics),delta_logratio_S_over_Race dynamics,-0.6501246422416307,-0.6694595935643529,0.3572384755297452,-0.8959441655948219,-0.5666075993244105,0.3293365662704114,-1.148285589552725,0.1043707105686023,9,1,0.021484375,True,-0.6884154597983081,-0.6118338246849533
B3 log(S/Narrative & meta),delta_logratio_S_over_Narrative & meta,-0.4786819967627396,-0.5671200535075777,0.3877658642476828,-0.869897865544059,-0.2547386196680216,0.6151592458760374,-1.2309392525557503,-0.1363053195072478,10,0,0.001953125,True,-0.575442266851963,-0.3819217266735162
B3 log(S/Regulatory),delta_logratio_S_over_Regulatory,-0.2892271586609775,-0.2758364042549582,0.7041818324945158,-0.8021767836488184,-0.0554910866573918,0.7466856969914266,-1.331200587098566,0.828948721719007,8,2,0.109375,True,-0.3104967502179525,-0.2679575671040024
