highlight_cluster,highlight_name,domain,availability_class,matched10_sentences,best_fr_cluster,fr_size,fr_races_present,centroid_cosine,lexical_weighted_jaccard,lexical_overlap_at_15,null_p95,null_p_empirical,exceeds_null,n_fr_above_threshold,fr_clusters_above_threshold,relation,interpretable_non_recovery
0,DRS-assisted battles,Race dynamics,SPARSE,10,2,227,10,0.9710607528686525,0.4113639970076848,0.2666666666666666,0.6830052137374878,0.0009990009990009,True,1,2,ONE_TO_ONE,False
1,Time penalties,Regulatory,SPARSE,11,0,194,10,0.938973903656006,0.3226580944631924,0.6,0.7263273507356643,0.0009990009990009,True,1,0,ONE_TO_ONE,False
2,Lights-out race starts,Race dynamics,EFFECTIVELY_ABSENT,1,16,131,10,0.5352746248245239,0.0,0.0,0.5968991070985794,1.0,False,0,,NONE,False
3,Mirror checks defending,Race dynamics,SPARSE,6,47,82,10,0.6508402824401855,0.0,0.0,0.7117868423461914,1.0,False,0,,NONE,False
4,Race start launch,Race dynamics,EFFECTIVELY_ABSENT,4,27,1345,10,0.6462050676345825,0.0,0.0,0.6814858555793762,1.0,False,0,,NONE,False
5,Weather conditions,Strategy & technical,EFFECTIVELY_ABSENT,3,18,405,10,0.9337660074234008,0.1812973328943037,0.2666666666666666,0.6556129574775695,0.0009990009990009,True,1,18,ONE_TO_ONE,False
6,Grand Prix wins,Narrative & meta,WELL_REPRESENTED,55,3,1046,10,0.968963861465454,0.4135042213497935,0.2666666666666666,0.8240822881460189,0.0009990009990009,True,1,3,MERGE,False
7,Race start lights,Race dynamics,EFFECTIVELY_ABSENT,3,3,1046,10,0.6989315748214722,0.2176845572866445,0.2,0.6236815690994263,0.0009990009990009,True,1,3,MERGE,False
8,Race control flags,Regulatory,SPARSE,11,14,194,10,0.9403253793716432,0.4094542547779958,0.6,0.7170191287994385,0.0009990009990009,True,1,14,ONE_TO_ONE,False
9,Formula 1 milestones,Narrative & meta,SPARSE,12,3,1046,10,0.8383821249008179,0.1039769743878959,0.0666666666666666,0.7567942947149277,0.0009990009990009,True,1,3,MERGE,False
10,Chicane moves,Race dynamics,SPARSE,5,1,41,5,0.9183681011199952,0.3971949103528051,0.1333333333333333,0.6954284965991974,0.0009990009990009,True,1,1,ONE_TO_ONE,False
11,Team radio celebrations,Narrative & meta,EFFECTIVELY_ABSENT,4,20,72,10,0.7752926349639893,0.1683583406884377,0.2666666666666666,0.5573417365550994,0.0009990009990009,True,1,20,ONE_TO_ONE,False
12,Podium finishes,Narrative & meta,SPARSE,8,29,198,10,0.9432528018951416,0.2780197983093578,0.0666666666666666,0.7705721259117126,0.0009990009990009,True,1,29,ONE_TO_ONE,False
13,Championship & title,Narrative & meta,WELL_REPRESENTED,18,35,89,10,0.9084794521331788,0.3700662880035845,0.5333333333333333,0.7543675869703292,0.0009990009990009,True,3,33;34;35,SPLIT,False
