highlight_cluster,highlight_name,availability_class,observed_best_cosine,null_median,null_p95,null_p_empirical,exceeds_null_p95,within_highlight_offdiag_p95,exceeds_within_highlight_p95
0,DRS-assisted battles,SPARSE,0.97106075,0.6593084633350372,0.6830052137374878,0.0009990009990009,True,0.7143808007240295,True
1,Time penalties,SPARSE,0.9389739,0.702843576669693,0.7263273507356643,0.0009990009990009,True,0.7143808007240295,True
2,Lights-out race starts,EFFECTIVELY_ABSENT,0.5352746,0.5724228024482727,0.5968991070985794,1.0,False,0.7143808007240295,False
3,Mirror checks defending,SPARSE,0.6508403,0.6980884373188019,0.7117868423461914,1.0,False,0.7143808007240295,False
4,Race start launch,EFFECTIVELY_ABSENT,0.64620507,0.6648603677749634,0.6814858555793762,1.0,False,0.7143808007240295,False
5,Weather conditions,EFFECTIVELY_ABSENT,0.933766,0.6270550787448883,0.6556129574775695,0.0009990009990009,True,0.7143808007240295,True
6,Grand Prix wins,WELL_REPRESENTED,0.96896386,0.7967071831226349,0.8240822881460189,0.0009990009990009,True,0.7143808007240295,True
7,Race start lights,EFFECTIVELY_ABSENT,0.6989316,0.5961131155490875,0.6236815690994263,0.0009990009990009,True,0.7143808007240295,False
8,Race control flags,SPARSE,0.9403254,0.6978963613510132,0.7170191287994385,0.0009990009990009,True,0.7143808007240295,True
9,Formula 1 milestones,SPARSE,0.8383821,0.7314371466636658,0.7567942947149277,0.0009990009990009,True,0.7143808007240295,True
10,Chicane moves,SPARSE,0.9183681,0.6793033182621002,0.6954284965991974,0.0009990009990009,True,0.7143808007240295,True
11,Team radio celebrations,EFFECTIVELY_ABSENT,0.77529263,0.5276387333869934,0.5573417365550994,0.0009990009990009,True,0.7143808007240295,True
12,Podium finishes,SPARSE,0.9432528,0.7477536797523499,0.7705721259117126,0.0009990009990009,True,0.7143808007240295,True
13,Championship & title,WELL_REPRESENTED,0.90847945,0.7334515452384949,0.7543675869703292,0.0009990009990009,True,0.7143808007240295,True
14,Pit stops,WELL_REPRESENTED,0.96995795,0.8034477829933167,0.8207543134689331,0.0009990009990009,True,0.7143808007240295,True
15,Tires & compounds,WELL_REPRESENTED,0.9613708,0.7597997188568115,0.7913491576910019,0.0009990009990009,True,0.7143808007240295,True
16,Safety car deployment,SPARSE,0.9542562,0.7188396453857422,0.7403875768184662,0.0009990009990009,True,0.7143808007240295,True
17,Gap & pace,SPARSE,0.8949772,0.7191479802131653,0.7448629528284073,0.0009990009990009,True,0.7143808007240295,True
18,Team dynamics,WELL_REPRESENTED,0.948081,0.8199872076511383,0.8459535002708435,0.0009990009990009,True,0.7143808007240295,True
19,Race lead holding,SPARSE,0.7633044,0.6954619288444519,0.7237760186195373,0.0009990009990009,True,0.7143808007240295,True
20,Wing & car damage,EFFECTIVELY_ABSENT,0.58401716,0.6602502465248108,0.6776421695947648,1.0,False,0.7143808007240295,False
21,Braking & lockups,SPARSE,0.9375747,0.7550994157791138,0.7748370289802551,0.0009990009990009,True,0.7143808007240295,True
22,Wheel-to-wheel,SPARSE,0.7574585,0.7172975540161133,0.7402440875768661,0.0069930069930069,True,0.7143808007240295,True
23,Circuit action,SPARSE,0.9664218,0.795376181602478,0.8105486810207367,0.0009990009990009,True,0.7143808007240295,True
24,Inter-car distance,EFFECTIVELY_ABSENT,0.92736727,0.7697657942771912,0.7880845040082931,0.0009990009990009,True,0.7143808007240295,True
25,Driver & team references,SPARSE,0.9297073,0.8351099491119385,0.848244971036911,0.0009990009990009,True,0.7143808007240295,True
26,Defending & attacking,SPARSE,0.96414924,0.6898380517959595,0.7225938022136689,0.0009990009990009,True,0.7143808007240295,True
27,Overtake battles,WELL_REPRESENTED,0.9724471,0.7470107972621918,0.7859289735555649,0.0009990009990009,True,0.7143808007240295,True
28,Corner battles,EFFECTIVELY_ABSENT,0.704189,0.7063166797161102,0.7252822697162629,0.5954045954045954,False,0.7143808007240295,False
29,Corner specific moves,SPARSE,0.71118796,0.6816962957382202,0.697032767534256,0.0079920079920079,True,0.7143808007240295,False
30,Lap pace & timing,SPARSE,0.9678988,0.8151485323905945,0.8313779801130294,0.0009990009990009,True,0.7143808007240295,True
31,Race leader changes,SPARSE,0.9136251,0.8097769916057587,0.8286001324653626,0.0009990009990009,True,0.7143808007240295,True
32,Front position changes,EFFECTIVELY_ABSENT,0.8740964,0.747313916683197,0.7755762219429017,0.0009990009990009,True,0.7143808007240295,True
33,Field position changes,SPARSE,0.9483464,0.7464658319950104,0.7692237555980682,0.0009990009990009,True,0.7143808007240295,True
