Unnamed: 0,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47
H0,0.36893263,0.37784144,0.97106075,0.358203,0.39076263,0.43068036,0.36767024,0.49367517,0.37508982,0.35465562,0.3339218,0.37690842,0.41393334,0.3835069,0.3023646,0.2617437,0.35837382,0.37482566,0.32756862,0.3136787,0.2639457,0.5570841,0.25741577,0.4320051,0.41928968,0.4730659,0.45901364,0.52695173,0.47503042,0.37650633,0.49769026,0.33088702,0.4472906,0.27084845,0.35194877,0.30261588,0.47058427,0.35863796,0.42451888,0.3215164,0.38471195,0.40529448,0.39196524,0.46522605,0.39452642,0.47942615,0.27026537,0.43919218
H1,0.9389739,0.42615044,0.34798175,0.45517397,0.4506215,0.40354735,0.16887257,0.5409367,0.47026104,0.28187278,0.4835321,0.5449182,0.38596022,0.39076555,0.5466523,0.23638898,0.3077366,0.39129996,0.2517323,0.30910176,0.1674383,0.5695704,0.19656995,0.3570872,0.48204002,0.41778117,0.5080999,0.5367933,0.46394908,0.42223132,0.6612578,0.45517045,0.501936,0.34397155,0.51222414,0.44973797,0.58296144,0.40226236,0.33918718,0.43267083,0.555653,0.49986762,0.5056484,0.54165316,0.526355,0.5060409,0.31828666,0.5478141
H2,0.3632735,0.3176035,0.3022604,0.24082935,0.28004482,0.3980282,0.1638967,0.3674708,0.27586502,0.39460075,0.2472566,0.35178667,0.38467062,0.20975405,0.4773478,0.19215192,0.5352746,0.46877706,0.48416626,0.31186655,0.3035587,0.35650924,0.30106014,0.50383073,0.35732546,0.34519833,0.38251412,0.512638,0.43394214,0.2841464,0.45965296,0.3626316,0.40818083,0.22632352,0.339,0.22912987,0.38520208,0.19302145,0.36790034,0.34556824,0.33713886,0.33252645,0.2966005,0.39605728,0.38404727,0.3225618,0.33245102,0.43900734
H3,0.45127118,0.4383288,0.4025663,0.41794246,0.48556274,0.48459455,0.24769446,0.5334815,0.37903136,0.3774288,0.34997085,0.4923731,0.34726316,0.39619786,0.45824808,0.272744,0.45256066,0.4052996,0.33113736,0.33519953,0.31402203,0.5062428,0.18472628,0.44753492,0.43098205,0.4801784,0.5327292,0.6308261,0.5158103,0.4468653,0.5641259,0.34204417,0.48221195,0.29644173,0.46457964,0.38812214,0.5228982,0.32220185,0.45369458,0.41283798,0.524778,0.4578206,0.42268163,0.5632522,0.43995282,0.521637,0.4045745,0.6508403
H4,0.360445,0.40107766,0.3589105,0.34968093,0.47397855,0.41290146,0.24501869,0.48633432,0.35426345,0.39890218,0.32640123,0.54738224,0.49879807,0.32338682,0.3757699,0.41483223,0.43165436,0.42007327,0.31969637,0.35261896,0.30059248,0.46245056,0.17891017,0.42347178,0.42750564,0.41732332,0.56580913,0.64620507,0.54606277,0.41845524,0.5720718,0.3332441,0.5216252,0.3087539,0.47657013,0.36872226,0.52782786,0.2869032,0.47432768,0.41860896,0.46810722,0.43114465,0.31409144,0.5111252,0.38596934,0.42088282,0.306298,0.5108422
H5,0.33073246,0.38368887,0.31500918,0.4242943,0.3232699,0.3129145,0.27291662,0.49299538,0.43134433,0.25716886,0.39428157,0.29122588,0.29100516,0.49434966,0.37492597,0.21860465,0.37968916,0.35564673,0.933766,0.28800124,0.22395046,0.42399234,0.35976374,0.43241745,0.3578688,0.34890723,0.24072379,0.31100953,0.3166532,0.3305927,0.32917276,0.34624642,0.26278955,0.29852143,0.28992832,0.29522386,0.30194175,0.24105993,0.37405896,0.48588142,0.51654565,0.47495484,0.5559715,0.45148873,0.48717952,0.46539834,0.51493573,0.44519836
H6,0.49344417,0.47354048,0.35932076,0.96896386,0.52031565,0.44367626,0.15723202,0.6034824,0.4963202,0.3265791,0.6051779,0.4685272,0.31719086,0.51635253,0.46658218,0.29629228,0.35884574,0.41035274,0.34706008,0.36890554,0.25357494,0.54842687,0.3072124,0.37081522,0.3814542,0.39914787,0.31466356,0.37288147,0.432913,0.6313949,0.4143973,0.35604447,0.414078,0.4757382,0.5441073,0.5840634,0.47095615,0.39876646,0.4554938,0.3947499,0.71507317,0.70106524,0.65265733,0.49433714,0.545974,0.6930337,0.5615417,0.60126895
H7,0.3750856,0.36502093,0.23408185,0.6989316,0.29336113,0.3314315,0.10481039,0.4160182,0.35774225,0.26174286,0.3854372,0.28671932,0.35950834,0.35680878,0.5914208,0.21220066,0.38043678,0.41501778,0.3758666,0.35890722,0.23242772,0.3578198,0.2593178,0.33290225,0.26267835,0.21151595,0.1425094,0.1860869,0.30725247,0.40549558,0.2646901,0.32513177,0.23113252,0.3357191,0.30971396,0.36599183,0.32443368,0.24469438,0.32158816,0.2673909,0.5459379,0.5655315,0.5371078,0.34736657,0.4739377,0.50234514,0.495211,0.4235264
H8,0.59190726,0.48916396,0.30405343,0.51430935,0.43628657,0.46933225,0.18140382,0.5578331,0.41357797,0.4427117,0.43093592,0.5441559,0.42189682,0.3677401,0.9403254,0.31574026,0.3964151,0.41488284,0.3727988,0.39340863,0.26145583,0.46376657,0.22335458,0.4184751,0.45844373,0.40044045,0.44921252,0.47099555,0.48654568,0.44845775,0.4520622,0.34999913,0.42354113,0.3402307,0.48285532,0.39676002,0.46635944,0.32588565,0.35637695,0.42277157,0.5430623,0.5943592,0.43459383,0.4667492,0.5149082,0.5443826,0.37966838,0.53609717
H9,0.43749142,0.38218105,0.3432603,0.8383821,0.53728366,0.4421088,0.18801579,0.49201506,0.45915562,0.2650369,0.5709723,0.40607983,0.29817033,0.46980754,0.39152017,0.33785635,0.27481169,0.3534962,0.29447857,0.39697763,0.20182484,0.5152651,0.3645807,0.36205775,0.3120502,0.4130578,0.34653318,0.3301906,0.4621657,0.65841687,0.37646538,0.31419304,0.38183445,0.54285705,0.57687277,0.66037726,0.4408899,0.41780254,0.39695564,0.30757797,0.5771855,0.646381,0.59331524,0.44216704,0.477799,0.694626,0.5075165,0.53732765
H10,0.42930594,0.9183681,0.39607477,0.3932041,0.45693547,0.35411382,0.23423433,0.5733813,0.410595,0.38043633,0.32441598,0.4500587,0.3417067,0.40617132,0.44233155,0.28129068,0.47999,0.41231567,0.33575404,0.37328368,0.26757744,0.50083,0.16422491,0.39784718,0.50888443,0.44340783,0.54460764,0.6032938,0.4846144,0.37506926,0.5457639,0.3638582,0.47131902,0.30157357,0.421058,0.31102973,0.51778543,0.32108945,0.4203021,0.5239187,0.5266404,0.4609301,0.40858644,0.57922256,0.4471817,0.45982373,0.37764966,0.60277104
H11,0.26107228,0.27206415,0.2238855,0.39032203,0.2984959,0.34002566,0.16176149,0.28817138,0.32074872,0.21893278,0.44512403,0.28241718,0.29584557,0.3004579,0.2871244,0.17360137,0.36671913,0.31547868,0.35853404,0.2845587,0.77529263,0.3427741,0.4105541,0.4470654,0.22569945,0.23578611,0.21675402,0.28709447,0.3840444,0.42475098,0.22840638,0.21615708,0.3489403,0.35094047,0.42457962,0.35562402,0.33471012,0.20092012,0.4872507,0.21837899,0.30005133,0.39374676,0.38846725,0.33904818,0.31446815,0.38755566,0.32815427,0.27063504
H12,0.50075585,0.36826843,0.36354294,0.5910003,0.57275766,0.59283394,0.16462468,0.53018045,0.43364334,0.38559365,0.5473216,0.62660784,0.34005553,0.29200044,0.36793485,0.28168195,0.44785136,0.38790038,0.2794024,0.43461916,0.29244047,0.5216183,0.27319092,0.37737143,0.39259917,0.4535155,0.5483179,0.58028567,0.5713227,0.9432528,0.5628074,0.35072547,0.57087743,0.5011387,0.73527175,0.6545419,0.6759849,0.51293343,0.35128987,0.27287474,0.5477656,0.6080289,0.49883318,0.4183979,0.37622046,0.49764854,0.2743786,0.4734326
H13,0.527568,0.34911156,0.2999954,0.57634383,0.5510695,0.45983946,0.22364925,0.4736665,0.4909641,0.26513642,0.6150696,0.5309129,0.31392646,0.32135645,0.35635763,0.41260338,0.37408772,0.3664036,0.28837532,0.5353892,0.2416197,0.49260437,0.49523258,0.4821928,0.33653075,0.4692915,0.515629,0.4620881,0.65500975,0.7142229,0.45609045,0.35726866,0.5422616,0.80123556,0.8436284,0.90847945,0.6215195,0.55206734,0.3501979,0.2605738,0.47150207,0.5947473,0.5064384,0.34284252,0.32817227,0.5370444,0.26532498,0.35823092
