threshold,category_id,category_name,metric,n_events,mean_delta,median_delta,sd,q1,q3,iqr,min,max,n_positive,n_negative,n_zero,majority_sign,n_majority
0.35,0,DRS-assisted battles,all,10,-0.0010040410295872,-0.0028093419460292,0.0149856666123025,-0.0112544249406433,0.0088083048419237,0.020062729782567,-0.0234493192133131,0.0255351681957186,4,6,0,-1,6
0.35,0,DRS-assisted battles,assigned,10,-0.0036093700996616,-0.0034943243701139,0.0157446302773365,-0.0136302667000075,0.0068372548244533,0.0204675215244608,-0.0296367112810707,0.0215707178393745,3,7,0,-1,7
0.35,1,Time penalties,all,10,0.0105640442839243,0.0016458233306458,0.0284132883465847,-0.0045137368429588,0.0099620445468736,0.0144757813898325,-0.009672619047619,0.0855805139066941,5,5,0,0,5
0.35,1,Time penalties,assigned,10,0.0078893534754243,-0.0034225621414913,0.0272606010866652,-0.0056222076309291,0.0089352827843285,0.0145574904152576,-0.0116801437556154,0.0792965430271129,4,6,0,-1,6
0.35,2,Lights-out race starts,all,10,-0.005687337405001,-0.0059578139608434,0.0058552235060726,-0.007189130195348,-0.0043337636653298,0.0028553665300182,-0.0174731182795698,0.0056547619047619,1,9,0,-1,9
0.35,2,Lights-out race starts,assigned,10,-0.0074976404472058,-0.0072256326076956,0.006711864310872,-0.0090434572548965,-0.005165377700408,0.0038780795544884,-0.0220588235294117,0.0044460499624864,1,9,0,-1,9
0.35,3,Mirror checks defending,all,10,0.0033469849897591,0.0031313242614718,0.0075703901067342,-0.0031836372560123,0.0088644756284029,0.0120481128844153,-0.0052083333333333,0.0162574850299401,5,5,0,0,5
0.35,3,Mirror checks defending,assigned,10,0.00246664351003,0.0022687946543164,0.0075028855777008,-0.0038699569908311,0.0078116379147057,0.0116815949055368,-0.0062893081761006,0.0152198852772466,5,5,0,0,5
0.35,4,Race start launch,all,10,0.006201380194057,0.0023422957088358,0.0115584646226375,-0.0035669355199213,0.0150451117637202,0.0186120472836415,-0.0052950075642965,0.0255561519651696,5,5,0,0,5
0.35,4,Race start launch,assigned,10,0.0055096047596569,0.0017536161185261,0.0117848232922462,-0.0043505340393146,0.014746784827405,0.0190973188667197,-0.0066921606118546,0.0247732073306228,5,5,0,0,5
0.35,5,Weather conditions,all,10,-0.0157497054800726,-0.0048982163247627,0.0289875524396808,-0.0142271020330273,-0.0023878377733367,0.0118392642596905,-0.0801971326164874,0.0125149700598802,2,8,0,-1,8
0.35,5,Weather conditions,assigned,10,-0.020425866732039,-0.0057889678181998,0.0360200608581691,-0.0174340473542752,-0.0029935116083898,0.0144405357458854,-0.1012443438914027,0.0104397705544933,2,8,0,-1,8
0.35,6,Grand Prix wins,all,10,0.0269742718605311,0.0189494831676597,0.0297334309204795,0.0171248385224539,0.0418260386589511,0.0247012001364971,-0.0334821428571428,0.0749758592895847,9,1,0,1,9
0.35,6,Grand Prix wins,assigned,10,0.0167478362505485,0.009673760561617,0.0322081267499498,0.0032748498640023,0.0332369203866036,0.0299620705226012,-0.0463871212752753,0.0707218648859027,8,2,0,1,8
0.35,7,Race start lights,all,10,0.001138735565521,-0.0014656900191386,0.007229063496877,-0.0029399903927696,0.0027892997750281,0.0057292901677977,-0.0062724014336917,0.0151162142578451,4,6,0,-1,6
0.35,7,Race start lights,assigned,10,0.0003938078515715,-0.0020119100359784,0.0075726382646395,-0.0034538887356816,0.002130508187584,0.0055843969232657,-0.007918552036199,0.0148175562683334,3,7,0,-1,7
0.35,8,Race control flags,all,10,0.0045013486039713,0.003787147191694,0.0144931014850512,-0.0076222926970463,0.0078127555766832,0.0154350482737295,-0.0104790419161676,0.0343124686472325,6,4,0,1,6
0.35,8,Race control flags,assigned,10,0.0024648066797414,0.0018717168412735,0.0143420511760528,-0.008936991537678,0.0048292384344841,0.0137662299721622,-0.0133843212237093,0.0311292047043342,6,4,0,1,6
0.35,9,Formula 1 milestones,all,10,0.0046265623655062,0.002833925679484,0.0169539434219033,-0.0090488905900651,0.0079607858100505,0.0170096764001156,-0.0125861489325937,0.0371559633027522,6,4,0,1,6
0.35,9,Formula 1 milestones,assigned,10,0.0014919232847261,-0.0007890012239572,0.0175341889628619,-0.0115071189491366,0.0056868675229557,0.0171939864720924,-0.0193762960170199,0.0350746268656716,4,6,0,-1,6
0.35,10,Chicane moves,all,10,0.0051320207378604,0.0,0.0145904116677151,-0.0004598405885959,0.0019871196341784,0.0024469602227744,-0.0026881720430107,0.0456253354804079,3,3,4,0,3
0.35,10,Chicane moves,assigned,10,0.0046157795244164,0.0,0.0138677737906444,-0.0005551443375277,0.0008680199926256,0.0014231643301534,-0.003393665158371,0.0428067347960392,3,3,4,0,3
0.35,11,Team radio celebrations,all,10,-0.0082999644515332,-0.0113953579549909,0.0127139036273494,-0.016762351802861,-0.0079208391654013,0.0088415126374597,-0.0194225721784776,0.0228159639924345,2,8,0,-1,8
0.35,11,Team radio celebrations,assigned,10,-0.0121665190025251,-0.0143454375425152,0.013628546934455,-0.0219993701499073,-0.0119029206300105,0.0100964495198967,-0.0234177215189873,0.0216108812323323,1,9,0,-1,9
0.35,12,Podium finishes,all,10,-0.0025360126995704,-0.0017612798013949,0.009324221147694,-0.0085054308701419,0.0042203364855447,0.0127257673556867,-0.019059205190592,0.009970238095238,4,6,0,-1,6
0.35,12,Podium finishes,assigned,10,-0.0055696998686283,-0.0044702641081943,0.0099442126524786,-0.0111744531724371,0.0017788022029013,0.0129532553753385,-0.0241521068859198,0.0084660201369012,4,6,0,-1,6
0.35,13,Championship & title,all,10,0.0001104673331822,-0.0071924057798232,0.0247036871618753,-0.0191159540519272,0.0119014699897052,0.0310174240416325,-0.0224770642201834,0.0491452991452991,3,7,0,-1,7
0.35,13,Championship & title,assigned,10,-0.0072018289945242,-0.015182556954221,0.0261652056557419,-0.0279180083848289,0.005660760168078,0.033578768552907,-0.03082915155733,0.0442972060619119,3,7,0,-1,7
0.35,14,Pit stops,all,10,0.0008167696533978,-0.0011197764366226,0.0153029793031575,-0.0048903708916023,0.0109940726487471,0.0158844435403494,-0.0263641937461679,0.0238095238095238,5,5,0,0,5
0.35,14,Pit stops,assigned,10,-0.0045085885557512,-0.0065157656234413,0.0159658768238518,-0.0122993510009715,0.005823141729114,0.0181224927300855,-0.0318282753515914,0.0227952686618315,4,6,0,-1,6
0.35,15,Tires & compounds,all,10,-0.0015434034932253,-0.0169240096323429,0.0558628830978732,-0.0218195152810868,-0.0044438232333478,0.017375692047739,-0.0666666666666666,0.1426523297491039,2,8,0,-1,8
0.35,15,Tires & compounds,assigned,10,-0.012220751753139,-0.0244186549143851,0.0570065639120118,-0.0395646019396016,-0.01249517026702,0.0270694316725815,-0.0774697938877043,0.1339510163039574,2,8,0,-1,8
0.35,16,Safety car deployment,all,10,-0.0019021297276483,-0.0017738914976642,0.0207065074001833,-0.0139478309327846,0.0042455380517677,0.0181933689845523,-0.032495401594114,0.0456200787401574,5,5,0,0,5
0.35,16,Safety car deployment,assigned,10,-0.0062649053000007,-0.0062884943794552,0.021698383502453,-0.0181492831859331,0.0004642045168856,0.0186134877028187,-0.0392301998519615,0.0431755641166758,3,7,0,-1,7
0.35,17,Gap & pace,all,10,-0.0204823556620255,-0.0216837383817494,0.0082411106589418,-0.0274673866552609,-0.0131752001027083,0.0142921865525525,-0.0312691600245248,-0.009423271903143,0,10,0,-1,10
0.35,17,Gap & pace,assigned,10,-0.0274761912996506,-0.0275491227283413,0.0074387710275784,-0.0341938483059811,-0.020553772015082,0.013640076290899,-0.0377498149518874,-0.018192251810068,0,10,0,-1,10
0.35,18,Team dynamics,all,10,0.038666863418964,0.0311335803108146,0.0498661431492876,0.006399536425241,0.0625617794623011,0.0561622430370601,-0.0225461814171491,0.1334467977811397,8,2,0,1,8
0.35,18,Team dynamics,assigned,10,0.0254326354506124,0.0172494275539507,0.048149025189177,-0.0051065256114146,0.0516232772594889,0.0567298028709036,-0.0355616605616605,0.1166213341232865,6,4,0,1,6
0.35,19,Race lead holding,all,10,0.0134791001075966,0.0134442072869839,0.0130656904928477,0.0076717603463703,0.0192185543030953,0.011546793956725,-0.0052395209580838,0.0386409480584972,8,2,0,1,8
0.35,19,Race lead holding,assigned,10,0.0127603783383234,0.0128844530534268,0.0133807249205129,0.0066649421885107,0.0176632139756056,0.0109982717870949,-0.0066921606118546,0.0384294293485578,8,2,0,1,8
0.35,20,Wing & car damage,all,10,-0.0036235358722414,-0.0054240573758925,0.0143290119875127,-0.0166102910673446,0.0093293496173398,0.0259396406846844,-0.0212620027434842,0.0161306504654144,4,6,0,-1,6
0.35,20,Wing & car damage,assigned,10,-0.00689259714027,-0.0076007578002624,0.0153167154708053,-0.0204125713155678,0.0080689357926936,0.0284815071082614,-0.0261162594776748,0.0126106861858157,3,7,0,-1,7
0.35,21,Braking & lockups,all,10,0.0115798260000545,0.0038861368074212,0.0339580492381614,0.001029702483183,0.0124698020542017,0.0114400995710187,-0.0352790384938645,0.0708083832335329,8,2,0,1,8
0.35,21,Braking & lockups,assigned,10,0.0055640710093872,-0.0005656616098639,0.0350134348170149,-0.0045057794938647,0.0058756918589878,0.0103814713528525,-0.0480569843535399,0.0652607196724843,5,5,0,0,5
0.35,22,Wheel-to-wheel,all,10,0.0176858980387636,0.018479300482654,0.0226153866157366,-0.0036529034690799,0.0321578956673191,0.0358107991363991,-0.0090771558245083,0.0532634730538922,6,4,0,1,6
