pair_id,event_id,threshold,category_id,category_name,register,n_category,n_total,n_assigned,p_all,p_assigned
P01,2023_Australia_GP,0.35,0,DRS-assisted battles,HIGHLIGHT,2,68,65,0.0294117647058823,0.0307692307692307
P01,2023_Australia_GP,0.35,1,Time penalties,HIGHLIGHT,0,68,65,0.0,0.0
P01,2023_Australia_GP,0.35,2,Lights-out race starts,HIGHLIGHT,0,68,65,0.0,0.0
P01,2023_Australia_GP,0.35,3,Mirror checks defending,HIGHLIGHT,1,68,65,0.0147058823529411,0.0153846153846153
P01,2023_Australia_GP,0.35,4,Race start launch,HIGHLIGHT,0,68,65,0.0,0.0
P01,2023_Australia_GP,0.35,5,Weather conditions,HIGHLIGHT,0,68,65,0.0,0.0
P01,2023_Australia_GP,0.35,6,Grand Prix wins,HIGHLIGHT,6,68,65,0.088235294117647,0.0923076923076923
P01,2023_Australia_GP,0.35,7,Race start lights,HIGHLIGHT,0,68,65,0.0,0.0
P01,2023_Australia_GP,0.35,8,Race control flags,HIGHLIGHT,2,68,65,0.0294117647058823,0.0307692307692307
P01,2023_Australia_GP,0.35,9,Formula 1 milestones,HIGHLIGHT,1,68,65,0.0147058823529411,0.0153846153846153
P01,2023_Australia_GP,0.35,10,Chicane moves,HIGHLIGHT,0,68,65,0.0,0.0
P01,2023_Australia_GP,0.35,11,Team radio celebrations,HIGHLIGHT,0,68,65,0.0,0.0
P01,2023_Australia_GP,0.35,12,Podium finishes,HIGHLIGHT,0,68,65,0.0,0.0
P01,2023_Australia_GP,0.35,13,Championship & title,HIGHLIGHT,1,68,65,0.0147058823529411,0.0153846153846153
P01,2023_Australia_GP,0.35,14,Pit stops,HIGHLIGHT,1,68,65,0.0147058823529411,0.0153846153846153
P01,2023_Australia_GP,0.35,15,Tires & compounds,HIGHLIGHT,0,68,65,0.0,0.0
P01,2023_Australia_GP,0.35,16,Safety car deployment,HIGHLIGHT,2,68,65,0.0294117647058823,0.0307692307692307
P01,2023_Australia_GP,0.35,17,Gap & pace,HIGHLIGHT,1,68,65,0.0147058823529411,0.0153846153846153
P01,2023_Australia_GP,0.35,18,Team dynamics,HIGHLIGHT,3,68,65,0.0441176470588235,0.0461538461538461
P01,2023_Australia_GP,0.35,19,Race lead holding,HIGHLIGHT,1,68,65,0.0147058823529411,0.0153846153846153
P01,2023_Australia_GP,0.35,20,Wing & car damage,HIGHLIGHT,2,68,65,0.0294117647058823,0.0307692307692307
P01,2023_Australia_GP,0.35,21,Braking & lockups,HIGHLIGHT,2,68,65,0.0294117647058823,0.0307692307692307
P01,2023_Australia_GP,0.35,22,Wheel-to-wheel,HIGHLIGHT,3,68,65,0.0441176470588235,0.0461538461538461
P01,2023_Australia_GP,0.35,23,Circuit action,HIGHLIGHT,3,68,65,0.0441176470588235,0.0461538461538461
P01,2023_Australia_GP,0.35,24,Inter-car distance,HIGHLIGHT,4,68,65,0.0588235294117647,0.0615384615384615
P01,2023_Australia_GP,0.35,25,Driver & team references,HIGHLIGHT,4,68,65,0.0588235294117647,0.0615384615384615
P01,2023_Australia_GP,0.35,26,Defending & attacking,HIGHLIGHT,3,68,65,0.0441176470588235,0.0461538461538461
P01,2023_Australia_GP,0.35,27,Overtake battles,HIGHLIGHT,11,68,65,0.1617647058823529,0.1692307692307692
