threshold,domain,metric,n_events,mean_delta,median_delta,sd,n_positive,n_negative
0.35,Narrative & meta,all,10,0.0673761350348327,0.0521654626740076,0.0643338896612222,9,1
0.35,Narrative & meta,assigned,10,0.0202984072391929,0.0024438523839604,0.0623258487262644,5,5
0.35,Race dynamics,all,10,0.1274724643984447,0.1405656544054747,0.0607448165363445,10,0
0.35,Race dynamics,assigned,10,0.0661416333952634,0.0679998945759256,0.0599689592288078,8,2
0.35,Regulatory,all,10,0.0131632631602473,0.0024372121709799,0.0382547858610404,6,4
0.35,Regulatory,assigned,10,0.0040892548551651,-0.0053580549949525,0.037083179378094,4,6
0.35,Strategy & technical,all,10,-0.0489900356234188,-0.046307346837904,0.0531869917076029,1,9
0.35,Strategy & technical,assigned,10,-0.0905292954896214,-0.0983061114895764,0.0512421929955036,1,9
0.4,Narrative & meta,all,10,0.0786305990646057,0.0698183455449311,0.0620062161096601,9,1
0.4,Narrative & meta,assigned,10,0.0203257410544927,0.005439172270395,0.0599414852097902,5,5
0.4,Race dynamics,all,10,0.1443120891349162,0.154123756054907,0.057798114329684,10,0
0.4,Race dynamics,assigned,10,0.0692079794934114,0.0800807187565431,0.0596178428144111,8,2
0.4,Regulatory,all,10,0.0147565026929706,0.0059543504272772,0.0362036830264679,6,4
0.4,Regulatory,assigned,10,0.0026177211569225,-0.0058546224221711,0.0334511228086857,4,6
0.4,Strategy & technical,all,10,-0.0380625599433672,-0.0332050520154384,0.0492803155667392,1,9
0.4,Strategy & technical,assigned,10,-0.0921514417048266,-0.097256950298939,0.0462663595285588,0,10
0.45,Narrative & meta,all,10,0.0944435558762775,0.0911328363134171,0.0613799923730483,10,0
0.45,Narrative & meta,assigned,10,0.0257056720243785,0.0076809450529843,0.0635625771562589,6,4
0.45,Race dynamics,all,10,0.1575527209670062,0.1656000121830668,0.0624122794372192,10,0
0.45,Race dynamics,assigned,10,0.0695723049157353,0.0862754849674696,0.0623903907519756,8,2
0.45,Regulatory,all,10,0.0105327549235357,0.0006649301390259,0.028727628721242,6,4
0.45,Regulatory,assigned,10,-0.0043610367285931,-0.0126025823264629,0.027460608497962,4,6
0.45,Strategy & technical,all,10,-0.0247684289989674,-0.0277113739573481,0.055291475083739,3,7
0.45,Strategy & technical,assigned,10,-0.0909169402115207,-0.0987832546373293,0.0511206326465388,1,9
