category_id,category_name,omitted_event,metric,n_events_used,median_delta,sign
0,DRS-assisted battles,2023_Australia_GP,all,9,-0.0029940119760479,-1
0,DRS-assisted battles,2023_Australia_GP,assigned,9,-0.0041928721174004,-1
0,DRS-assisted battles,2023_Qatar_GP,all,9,-0.0015748031496062,-1
0,DRS-assisted battles,2023_Qatar_GP,assigned,9,-0.0041210337214839,-1
0,DRS-assisted battles,2023_Singapore_GP,all,9,-0.0029940119760479,-1
0,DRS-assisted battles,2023_Singapore_GP,assigned,9,-0.0041928721174004,-1
0,DRS-assisted battles,2024_Bahrain_GP,all,9,-0.0015748031496062,-1
0,DRS-assisted battles,2024_Bahrain_GP,assigned,9,-0.0041210337214839,-1
0,DRS-assisted battles,2024_Italy_GP,all,9,-0.0015748031496062,-1
0,DRS-assisted battles,2024_Italy_GP,assigned,9,-0.0041210337214839,-1
0,DRS-assisted battles,2024_LasVegas_GP,all,9,-0.0029940119760479,-1
0,DRS-assisted battles,2024_LasVegas_GP,assigned,9,-0.0041928721174004,-1
0,DRS-assisted battles,2024_Qatar_GP,all,9,-0.0015748031496062,-1
0,DRS-assisted battles,2024_Qatar_GP,assigned,9,-0.0041210337214839,-1
0,DRS-assisted battles,2024_SaoPaulo_GP,all,9,-0.0029940119760479,-1
0,DRS-assisted battles,2024_SaoPaulo_GP,assigned,9,-0.0041928721174004,-1
0,DRS-assisted battles,2025_Belgium_GP,all,9,-0.0029940119760479,-1
0,DRS-assisted battles,2025_Belgium_GP,assigned,9,-0.0041928721174004,-1
0,DRS-assisted battles,2025_Japan_GP,all,9,-0.0015748031496062,-1
0,DRS-assisted battles,2025_Japan_GP,assigned,9,-0.0041210337214839,-1
1,Time penalties,2023_Australia_GP,all,9,0.008562874251497,1
1,Time penalties,2023_Australia_GP,assigned,9,-0.0031017369727047,-1
1,Time penalties,2023_Qatar_GP,all,9,-0.0022401433691756,-1
1,Time penalties,2023_Qatar_GP,assigned,9,-0.0031017369727047,-1
1,Time penalties,2023_Singapore_GP,all,9,-0.0022401433691756,-1
1,Time penalties,2023_Singapore_GP,assigned,9,-0.0032088307020921,-1
1,Time penalties,2024_Bahrain_GP,all,9,0.008562874251497,1
1,Time penalties,2024_Bahrain_GP,assigned,9,-0.0031017369727047,-1
1,Time penalties,2024_Italy_GP,all,9,-0.0022401433691756,-1
1,Time penalties,2024_Italy_GP,assigned,9,-0.0032088307020921,-1
1,Time penalties,2024_LasVegas_GP,all,9,0.008562874251497,1
1,Time penalties,2024_LasVegas_GP,assigned,9,-0.0031017369727047,-1
1,Time penalties,2024_Qatar_GP,all,9,-0.0022401433691756,-1
1,Time penalties,2024_Qatar_GP,assigned,9,-0.0032088307020921,-1
1,Time penalties,2024_SaoPaulo_GP,all,9,-0.0022401433691756,-1
1,Time penalties,2024_SaoPaulo_GP,assigned,9,-0.0032088307020921,-1
1,Time penalties,2025_Belgium_GP,all,9,0.008562874251497,1
1,Time penalties,2025_Belgium_GP,assigned,9,-0.0032088307020921,-1
1,Time penalties,2025_Japan_GP,all,9,0.008562874251497,1
1,Time penalties,2025_Japan_GP,assigned,9,-0.0031017369727047,-1
2,Lights-out race starts,2023_Australia_GP,all,9,-0.0018393623543838,-1
2,Lights-out race starts,2023_Australia_GP,assigned,9,-0.0024489795918367,-1
2,Lights-out race starts,2023_Qatar_GP,all,9,-0.0034293552812071,-1
2,Lights-out race starts,2023_Qatar_GP,assigned,9,-0.0045413260672116,-1
2,Lights-out race starts,2023_Singapore_GP,all,9,-0.0034293552812071,-1
2,Lights-out race starts,2023_Singapore_GP,assigned,9,-0.0045413260672116,-1
2,Lights-out race starts,2024_Bahrain_GP,all,9,-0.0018393623543838,-1
2,Lights-out race starts,2024_Bahrain_GP,assigned,9,-0.0024489795918367,-1
2,Lights-out race starts,2024_Italy_GP,all,9,-0.0018393623543838,-1
2,Lights-out race starts,2024_Italy_GP,assigned,9,-0.0024489795918367,-1
2,Lights-out race starts,2024_LasVegas_GP,all,9,-0.0034293552812071,-1
2,Lights-out race starts,2024_LasVegas_GP,assigned,9,-0.0045413260672116,-1
2,Lights-out race starts,2024_Qatar_GP,all,9,-0.0034293552812071,-1
2,Lights-out race starts,2024_Qatar_GP,assigned,9,-0.0045413260672116,-1
2,Lights-out race starts,2024_SaoPaulo_GP,all,9,-0.0034293552812071,-1
2,Lights-out race starts,2024_SaoPaulo_GP,assigned,9,-0.0045413260672116,-1
2,Lights-out race starts,2025_Belgium_GP,all,9,-0.0018393623543838,-1
