representation,effect,n_negative,n_positive,sign_test_p,loo_sign_stable,loo_median_min,loo_median_max,iqr_low,iqr_high,direction_across_events,analysis
"raw proportion, Strategy & technical",-0.09725695029893902,10.0,0.0,0.001953125,True,-0.09983741924442732,-0.09467648135345072,-0.11855141161500043,-0.0594082572450057,10/10 negative,pre-specified compositional representation
"B1 logit, Strategy & technical vs rest",-0.5898789077934565,10.0,0.0,0.001953125,True,-0.6042265723455909,-0.5755312432413222,-0.8793283972886505,-0.4463356999639998,10/10 negative,pre-specified compositional representation
"B2 CLR, Narrative & meta",0.13108331160762177,2.0,8.0,0.109375,True,0.08840126662155234,0.1737653565936912,0.03598968533332031,0.3239380527100484,8/10 positive,pre-specified compositional representation
"B2 CLR, Race dynamics",0.32074827261243555,1.0,9.0,0.021484375,True,0.3054616363597398,0.3360349088651313,0.1195325699014678,0.40603236734734205,9/10 positive,pre-specified compositional representation
"B2 CLR, Regulatory",-0.029723266584636532,5.0,5.0,1.0,False,-0.1149962563345659,0.05554972316529283,-0.2052906710737088,0.20370461322942518,5/10 negative,pre-specified compositional representation
"B2 CLR, Strategy & technical",-0.33823714174526587,9.0,1.0,0.021484375,True,-0.3829538234385681,-0.29352046005196364,-0.5008918894660952,-0.2343555301663835,9/10 negative,pre-specified compositional representation
"B2 ILR, b1 Strategy & technical vs Race dynamics+Narrative & meta+Regulatory",-0.3905626096731175,9.0,1.0,0.021484375,True,-0.44219698609890734,-0.33892823324732774,-0.5783801344363007,-0.27061045685527796,9/10 negative,pre-specified compositional representation
"B2 ILR, b2 Race dynamics vs Narrative & meta+Regulatory",0.14886470410768415,3.0,7.0,0.34375,True,0.07995707942229002,0.21777232879307828,-0.05558768918229895,0.3850935431675576,7/10 positive,pre-specified compositional representation
"B2 ILR, b3 Narrative & meta vs Regulatory",0.18843848314104372,3.0,7.0,0.34375,True,0.1609395310345132,0.21593743524757425,-0.05679228335252473,0.25939341831189755,7/10 positive,pre-specified compositional representation
B3 log(S/Narrative & meta),-0.4786819967627396,10.0,0.0,0.001953125,True,-0.575442266851963,-0.3819217266735162,-0.869897865544059,-0.2547386196680216,10/10 negative,pre-specified compositional representation
B3 log(S/Race dynamics),-0.6501246422416307,9.0,1.0,0.021484375,True,-0.6884154597983081,-0.6118338246849533,-0.8959441655948219,-0.5666075993244105,9/10 negative,pre-specified compositional representation
B3 log(S/Regulatory),-0.2892271586609775,8.0,2.0,0.109375,True,-0.31049675021795253,-0.2679575671040024,-0.8021767836488184,-0.0554910866573918,8/10 negative,pre-specified compositional representation
assignment threshold 0.35 (all),-0.005424,,,,,,,,,negative,assignment-threshold sensitivity
assignment threshold 0.40 (all),-0.004251,,,,,,,,,negative,assignment-threshold sensitivity
assignment threshold 0.45 (all),-0.005754,,,,,,,,,negative,assignment-threshold sensitivity
assignment threshold 0.35 (assigned),-0.008044,,,,,,,,,negative,assignment-threshold sensitivity
assignment threshold 0.40 (assigned),-0.009651,,,,,,,,,negative,assignment-threshold sensitivity
assignment threshold 0.45 (assigned),-0.010132,,,,,,,,,negative,assignment-threshold sensitivity
