metric,column,median,mean,sd,q1,q3,iqr,min,max,n_negative,n_positive,sign_test_p,loo_sign_stable,loo_median_min,loo_median_max
"raw proportion, Strategy & technical",delta_raw_p_S,-0.09725695029893902,-0.09222713374634915,0.046320306789703475,-0.11855141161500043,-0.0594082572450057,0.05914315436999473,-0.15514089870525513,-0.00744416873449133,10,0,0.001953125,True,-0.09983741924442732,-0.09467648135345072
"B1 logit, Strategy & technical vs rest",delta_logit_S,-0.5898789077934565,-0.6314940166612428,0.33351879281701424,-0.8793283972886505,-0.4463356999639998,0.43299269732465073,-1.125845439126468,-0.03386451395275647,10,0,0.001953125,True,-0.6042265723455909,-0.5755312432413222
"B2 CLR, Narrative & meta",delta_clr_Narrative & meta,0.13108331160762177,0.18901604067585545,0.25373218449264157,0.03598968533332031,0.3239380527100484,0.2879483673767281,-0.1271520681822047,0.7136806433632277,2,8,0.109375,True,0.08840126662155234,0.1737653565936912
"B2 CLR, Race dynamics",delta_clr_Race dynamics,0.32074827261243555,0.2913555807326307,0.26593421829196146,0.1195325699014678,0.40603236734734205,0.2864997974458743,-0.18997855035775202,0.6747189640153063,1,9,0.021484375,True,0.3054616363597398,0.3360349088651313
"B2 CLR, Regulatory",delta_clr_Regulatory,-0.029723266584636532,-0.1022676085767639,0.5195442131995862,-0.2052906710737088,0.20370461322942518,0.408995284303134,-1.10706636273808,0.5189499064109726,5,5,1.0,False,-0.1149962563345659,0.05554972316529283
"B2 CLR, Strategy & technical",delta_clr_Strategy & technical,-0.33823714174526587,-0.3781040128317221,0.27159769060680966,-0.5008918894660952,-0.2343555301663835,0.2665363592997117,-0.8122506806875938,0.01444984681345396,9,1,0.021484375,True,-0.3829538234385681,-0.29352046005196364
"B2 ILR, b1 Strategy & technical vs Race dynamics+Narrative & meta+Regulatory",delta_ilr_b1,-0.3905626096731175,-0.4365969071801449,0.3136139995662446,-0.5783801344363007,-0.27061045685527796,0.3077696775810227,-0.9379062982888782,0.016685245894993372,9,1,0.021484375,True,-0.44219698609890734,-0.33892823324732774
"B2 ILR, b2 Race dynamics vs Narrative & meta+Regulatory",delta_ilr_b2,0.14886470410768415,0.20247593639753045,0.3561028265538948,-0.05558768918229895,0.3850935431675576,0.44068123234985657,-0.26762450946928995,0.7729368399630264,3,7,0.34375,True,0.07995707942229002,0.21777232879307828
"B2 ILR, b3 Narrative & meta vs Regulatory",delta_ilr_b3,0.18843848314104372,0.20596864363529094,0.5036164821711896,-0.05679228335252473,0.25939341831189755,0.3161857016644223,-0.41627314915869285,1.2874625548393388,3,7,0.34375,True,0.1609395310345132,0.21593743524757425
B3 log(S/Narrative & meta),delta_logratio_S_over_Narrative & meta,-0.4786819967627396,-0.5671200535075777,0.38776586424768283,-0.869897865544059,-0.2547386196680216,0.6151592458760374,-1.2309392525557503,-0.13630531950724786,10,0,0.001953125,True,-0.575442266851963,-0.3819217266735162
B3 log(S/Race dynamics),delta_logratio_S_over_Race dynamics,-0.6501246422416307,-0.6694595935643529,0.35723847552974525,-0.8959441655948219,-0.5666075993244105,0.3293365662704114,-1.148285589552725,0.10437071056860237,9,1,0.021484375,True,-0.6884154597983081,-0.6118338246849533
B3 log(S/Regulatory),delta_logratio_S_over_Regulatory,-0.2892271586609775,-0.2758364042549582,0.7041818324945159,-0.8021767836488184,-0.0554910866573918,0.7466856969914266,-1.331200587098566,0.828948721719007,8,2,0.109375,True,-0.31049675021795253,-0.2679575671040024
