highlight_cluster,highlight_name,domain,best_second_cluster,centroid_cosine,lexical_weighted_jaccard,lexical_overlap_at_15,null_p95,null_p_empirical,exceeds_null,exceeds_within_register_reference,n_second_above_threshold,second_clusters_above_threshold,relation,availability_class,matched_event_sentences,interpretable_non_recovery,second_cluster_size
0,DRS-assisted battles,Race dynamics,2,0.9710607528686523,0.4113639970076848,0.26666666666666666,0.6830052703619003,0.000999000999000999,True,True,1,2,SINGLE_MATCH,SPARSE,10,False,227
1,Time penalties,Regulatory,0,0.9389739036560059,0.32265809446319244,0.6,0.7263273537158966,0.000999000999000999,True,True,1,0,SINGLE_MATCH,SPARSE,11,False,194
2,Lights-out race starts,Race dynamics,16,0.5352745056152344,0.0,0.0,0.5968990474939346,1.0,False,False,0,,NON_RECOVERY,EFFECTIVELY_ABSENT,1,False,131
3,Mirror checks defending,Race dynamics,47,0.6508402824401855,0.0,0.0,0.7117868423461914,1.0,False,False,0,,NON_RECOVERY,SPARSE,6,False,82
4,Race start launch,Race dynamics,27,0.6462050676345825,0.0,0.0,0.6814859122037887,1.0,False,False,0,,NON_RECOVERY,EFFECTIVELY_ABSENT,4,False,1345
5,Weather conditions,Strategy & technical,18,0.9337661266326904,0.18129733289430358,0.26666666666666666,0.6556129038333892,0.000999000999000999,True,True,1,18,SINGLE_MATCH,EFFECTIVELY_ABSENT,3,False,405
6,Grand Prix wins,Narrative & meta,3,0.9689639806747437,0.41350422134979337,0.26666666666666666,0.8240823447704315,0.000999000999000999,True,True,1,3,MERGE,WELL_REPRESENTED,55,False,1046
7,Race start lights,Race dynamics,3,0.6989315748214722,0.21768455728664432,0.2,0.6236816227436066,0.000999000999000999,True,False,1,3,MERGE,EFFECTIVELY_ABSENT,3,False,1046
8,Race control flags,Regulatory,14,0.9403253793716431,0.4094542547779958,0.6,0.7170192420482635,0.000999000999000999,True,True,1,14,SINGLE_MATCH,SPARSE,11,False,194
9,Formula 1 milestones,Narrative & meta,3,0.8383821249008179,0.10397697438789599,0.06666666666666667,0.756794348359108,0.000999000999000999,True,True,1,3,MERGE,SPARSE,12,False,1046
