,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47
H0,0.36893263,0.37784135,0.97106075,0.35820293,0.39076257,0.4306804,0.3676703,0.49367517,0.37508982,0.35465565,0.33392185,0.37690845,0.4139333,0.3835069,0.3023646,0.26174372,0.35837388,0.37482563,0.32756865,0.31367874,0.2639457,0.557084,0.2574158,0.43200508,0.41928965,0.4730659,0.45901358,0.5269517,0.4750304,0.37650642,0.4976902,0.33088702,0.4472906,0.27084848,0.35194874,0.30261594,0.47058427,0.35863796,0.42451888,0.32151645,0.38471198,0.40529448,0.39196524,0.46522614,0.39452642,0.47942612,0.27026537,0.43919224
H1,0.9389739,0.4261505,0.34798178,0.45517403,0.45062152,0.4035474,0.16887257,0.5409367,0.4702611,0.28187278,0.48353213,0.5449182,0.38596022,0.3907656,0.54665244,0.23638898,0.3077366,0.39129996,0.25173235,0.30910182,0.16743833,0.56957054,0.19656998,0.35708722,0.48204005,0.41778117,0.5081,0.5367933,0.4639491,0.42223144,0.66125774,0.45517045,0.501936,0.34397158,0.5122242,0.44973797,0.58296144,0.40226233,0.3391872,0.43267092,0.555653,0.49986765,0.5056484,0.54165316,0.5263551,0.50604093,0.31828666,0.54781413
H2,0.3632735,0.31760353,0.30226034,0.24082927,0.28004482,0.39802814,0.16389665,0.3674708,0.2758649,0.39460075,0.24725658,0.35178673,0.38467062,0.20975398,0.4773477,0.19215193,0.5352745,0.46877703,0.4841663,0.31186652,0.30355868,0.3565092,0.30106008,0.5038306,0.35732543,0.34519824,0.38251406,0.5126379,0.43394205,0.28414643,0.45965293,0.36263156,0.40818077,0.22632352,0.339,0.22912982,0.38520205,0.19302146,0.36790034,0.34556824,0.3371388,0.3325264,0.2966004,0.39605734,0.38404715,0.32256177,0.33245102,0.43900725
H3,0.45127118,0.43832877,0.40256628,0.41794246,0.48556274,0.48459452,0.24769448,0.5334815,0.37903136,0.3774288,0.34997085,0.49237317,0.34726316,0.3961979,0.45824808,0.272744,0.45256066,0.4052996,0.33113742,0.3351996,0.314022,0.5062428,0.18472628,0.44753492,0.43098202,0.48017842,0.5327292,0.6308261,0.5158103,0.4468653,0.5641259,0.34204417,0.48221195,0.29644173,0.4645796,0.3881221,0.5228982,0.32220185,0.45369455,0.41283798,0.524778,0.4578206,0.42268163,0.5632523,0.43995273,0.52163696,0.40457445,0.6508403
H4,0.360445,0.4010777,0.3589105,0.34968093,0.47397852,0.41290146,0.24501866,0.48633432,0.35426345,0.39890218,0.32640123,0.54738224,0.49879807,0.3233868,0.37576988,0.4148322,0.43165433,0.4200733,0.31969637,0.35261896,0.30059248,0.4624505,0.1789101,0.4234717,0.4275056,0.4173233,0.56580913,0.64620507,0.5460627,0.4184553,0.5720717,0.3332441,0.5216252,0.3087539,0.47657007,0.3687223,0.52782786,0.28690314,0.47432774,0.41860902,0.46810728,0.43114465,0.3140914,0.51112527,0.38596934,0.42088282,0.30629802,0.51084214
H5,0.3307324,0.38368887,0.31500918,0.4242943,0.3232699,0.31291455,0.27291664,0.49299538,0.43134427,0.25716886,0.39428157,0.29122588,0.29100516,0.49434966,0.37492603,0.21860467,0.37968916,0.35564673,0.9337661,0.28800124,0.22395048,0.42399228,0.35976368,0.43241745,0.35786873,0.34890726,0.24072377,0.31100953,0.3166532,0.33059275,0.32917267,0.34624642,0.26278955,0.29852143,0.28992832,0.2952239,0.30194175,0.24105993,0.37405893,0.4858814,0.5165457,0.47495484,0.5559715,0.45148873,0.4871795,0.46539837,0.5149358,0.44519836
H6,0.49344426,0.4735405,0.35932076,0.968964,0.52031565,0.4436763,0.15723208,0.6034825,0.4963202,0.3265791,0.6051779,0.46852726,0.31719083,0.51635253,0.46658218,0.2962923,0.35884574,0.41035277,0.3470601,0.36890554,0.25357497,0.54842687,0.3072124,0.37081522,0.38145423,0.3991479,0.3146636,0.37288147,0.432913,0.631395,0.4143973,0.35604444,0.41407794,0.4757382,0.5441072,0.5840634,0.4709561,0.3987664,0.45549378,0.39474994,0.71507317,0.7010652,0.6526574,0.49433723,0.545974,0.6930337,0.5615418,0.60126895
H7,0.3750856,0.36502093,0.23408186,0.6989316,0.29336116,0.33143145,0.1048104,0.4160182,0.35774225,0.2617429,0.3854372,0.28671938,0.35950834,0.35680878,0.59142077,0.21220066,0.38043678,0.41501778,0.3758666,0.35890722,0.23242769,0.35781983,0.2593178,0.33290225,0.26267838,0.21151596,0.1425094,0.1860869,0.30725247,0.40549564,0.2646901,0.32513177,0.2311325,0.3357191,0.30971396,0.36599183,0.32443368,0.24469441,0.32158816,0.26739094,0.545938,0.5655315,0.5371078,0.34736663,0.47393763,0.50234514,0.49521106,0.42352638
H8,0.59190726,0.489164,0.3040535,0.51430935,0.43628654,0.46933222,0.18140388,0.5578331,0.41357797,0.4427117,0.43093592,0.54415596,0.42189685,0.3677401,0.9403254,0.31574023,0.3964151,0.41488284,0.37279883,0.39340866,0.2614559,0.46376657,0.22335458,0.41847515,0.45844367,0.40044045,0.44921258,0.47099555,0.48654562,0.4484578,0.45206213,0.34999913,0.42354113,0.34023076,0.48285526,0.39676,0.46635938,0.32588565,0.35637695,0.4227716,0.5430623,0.5943592,0.4345938,0.4667492,0.51490813,0.5443825,0.37966838,0.5360971
H9,0.43749142,0.38218102,0.34326035,0.8383821,0.5372836,0.4421088,0.18801582,0.49201506,0.45915562,0.26503688,0.5709724,0.40607986,0.2981704,0.4698075,0.39152017,0.33785635,0.27481169,0.3534962,0.2944786,0.39697763,0.20182487,0.5152651,0.3645807,0.36205775,0.31205016,0.41305786,0.34653324,0.33019066,0.4621657,0.65841687,0.37646532,0.31419307,0.38183445,0.54285705,0.5768728,0.66037726,0.4408899,0.41780254,0.39695567,0.30757797,0.5771855,0.64638096,0.59331524,0.4421671,0.477799,0.69462603,0.5075166,0.53732765
