event_id,primary_sentences,secondary_sentences,Strategy & technical share (primary),Strategy & technical share (secondary),difference,null_lower,null_upper,outside_own_null
2023_Australia_GP,68,2466,0.123077,0.178391,-0.055314,-0.096758,0.110071,False
2023_Qatar_GP,50,1336,0.163265,0.263103,-0.099837,-0.134898,0.147154,False
2023_Singapore_GP,60,1635,0.1,0.255141,-0.155141,-0.115141,0.124859,True
2024_Bahrain_GP,72,1322,0.102941,0.224447,-0.121506,-0.104447,0.115553,True
2024_Italy_GP,69,1458,0.164179,0.258856,-0.094676,-0.113022,0.121144,False
2024_LasVegas_GP,105,1344,0.157303,0.212972,-0.055669,-0.08356,0.087028,False
2024_Qatar_GP,55,1631,0.148148,0.218776,-0.070627,-0.118776,0.131224,False
2024_SaoPaulo_GP,96,1905,0.114943,0.268825,-0.153882,-0.099594,0.102604,True
2025_Belgium_GP,65,2232,0.322581,0.330025,-0.007444,-0.125943,0.136642,False
2025_Japan_GP,81,1547,0.135135,0.242553,-0.107418,-0.099696,0.108324,True
