highlight_cluster,highlight_name,domain,canonical_total_sentences,matched10_sentences,matched10_events,share_of_canonical_total,availability_class
0,DRS-assisted battles,Race dynamics,205,10,5,0.04878048780487805,SPARSE
1,Time penalties,Regulatory,118,11,4,0.09322033898305085,SPARSE
2,Lights-out race starts,Race dynamics,54,1,1,0.018518518518518517,EFFECTIVELY_ABSENT
3,Mirror checks defending,Race dynamics,47,6,6,0.1276595744680851,SPARSE
4,Race start launch,Race dynamics,42,4,4,0.09523809523809523,EFFECTIVELY_ABSENT
5,Weather conditions,Strategy & technical,43,3,3,0.06976744186046512,EFFECTIVELY_ABSENT
6,Grand Prix wins,Narrative & meta,465,55,10,0.11827956989247312,WELL_REPRESENTED
7,Race start lights,Race dynamics,36,3,3,0.08333333333333333,EFFECTIVELY_ABSENT
8,Race control flags,Regulatory,118,11,6,0.09322033898305085,SPARSE
9,Formula 1 milestones,Narrative & meta,134,12,8,0.08955223880597014,SPARSE
10,Chicane moves,Race dynamics,62,5,2,0.08064516129032258,SPARSE
11,Team radio celebrations,Narrative & meta,55,4,3,0.07272727272727272,EFFECTIVELY_ABSENT
12,Podium finishes,Narrative & meta,139,8,5,0.05755395683453238,SPARSE
13,Championship & title,Narrative & meta,158,18,8,0.11392405063291139,WELL_REPRESENTED
14,Pit stops,Strategy & technical,185,17,8,0.0918918918918919,WELL_REPRESENTED
15,Tires & compounds,Strategy & technical,379,32,8,0.08443271767810026,WELL_REPRESENTED
16,Safety car deployment,Regulatory,122,12,6,0.09836065573770492,SPARSE
17,Gap & pace,Strategy & technical,67,6,3,0.08955223880597014,SPARSE
18,Team dynamics,Narrative & meta,600,67,10,0.11166666666666666,WELL_REPRESENTED
19,Race lead holding,Race dynamics,115,8,7,0.06956521739130435,SPARSE
20,Wing & car damage,Strategy & technical,61,4,3,0.06557377049180328,EFFECTIVELY_ABSENT
21,Braking & lockups,Race dynamics,128,13,9,0.1015625,SPARSE
22,Wheel-to-wheel,Race dynamics,71,7,5,0.09859154929577464,SPARSE
23,Circuit action,Race dynamics,72,10,7,0.1388888888888889,SPARSE
24,Inter-car distance,Strategy & technical,60,1,1,0.016666666666666666,EFFECTIVELY_ABSENT
25,Driver & team references,Narrative & meta,69,13,9,0.18840579710144928,SPARSE
26,Defending & attacking,Race dynamics,110,10,6,0.09090909090909091,SPARSE
27,Overtake battles,Race dynamics,762,68,10,0.08923884514435695,WELL_REPRESENTED
28,Corner battles,Race dynamics,82,4,3,0.04878048780487805,EFFECTIVELY_ABSENT
29,Corner specific moves,Race dynamics,60,8,3,0.13333333333333333,SPARSE
30,Lap pace & timing,Strategy & technical,136,14,7,0.10294117647058823,SPARSE
31,Race leader changes,Race dynamics,162,13,6,0.08024691358024691,SPARSE
32,Front position changes,Race dynamics,45,2,2,0.044444444444444446,EFFECTIVELY_ABSENT
33,Field position changes,Race dynamics,122,9,5,0.07377049180327869,SPARSE
