event_id,H_r,F_r,ratio,observed_effect_assigned,null_p2.5_assigned,null_p97.5_assigned,p_depletion_assigned
2023_Australia_GP,68,2466,36.3,-0.055313622786892336,-0.09675789280259094,0.11007099259772302,0.15398460153984603
2023_Qatar_GP,50,1336,26.7,-0.09983741924442732,-0.1348975971617481,0.14715368488953395,0.0866913308669133
2023_Singapore_GP,60,1635,27.2,-0.15514089870525513,-0.11514089870525512,0.12485910129474487,0.0034996500349965005
2024_Bahrain_GP,72,1322,18.4,-0.12150560962003348,-0.10444678609062172,0.11555321390937831,0.011698830116988301
2024_SaoPaulo_GP,96,1905,19.8,-0.15388224255219327,-0.09959400205705621,0.102603800140746,0.0008999100089991
2024_Italy_GP,69,1458,21.1,-0.09467648135345072,-0.11302225249772932,0.12114441416893734,0.05399460053994601
2024_LasVegas_GP,105,1344,12.8,-0.05566855564136311,-0.0835601617219976,0.08702807357212003,0.10438956104389562
2024_Qatar_GP,55,1631,29.7,-0.07062736205593348,-0.11877551020408161,0.13122448979591836,0.12918708129187081
2025_Belgium_GP,65,2232,34.3,-0.00744416873449133,-0.12594318124272041,0.13664185277088503,0.46285371462853714
2025_Japan_GP,81,1547,19.1,-0.10741805635422655,-0.09969604863221884,0.10832400149309443,0.016298370162983702
