event_id,domain,metric,H_r,F_r,observed_effect,null_mean,null_sd,null_p2.5,null_p50,null_p97.5,p_one_sided_depletion,p_one_sided_enrichment,outside_central_95,below_null_p2.5
2023_Australia_GP,Narrative & meta,assigned,68,2466,-0.029782260508203096,0.00016173309035035012,0.0615848616534759,-0.11471815794410054,-0.0005514912774338687,0.12406389333795076,0.32996700329967005,0.6817318268173183,False,False
2023_Australia_GP,Race dynamics,assigned,68,2466,0.10853209817756809,3.8366630763329844e-05,0.07076692903800191,-0.1364606449283826,0.0021775831274008506,0.13930132894679886,0.9375062493750624,0.06259374062593741,False,False
2023_Australia_GP,Regulatory,assigned,68,2466,-0.02343621488247262,-0.00103985886327518,0.03905311260708406,-0.06574390719016493,-0.0033420233597096782,0.0816919902457325,0.3113688631136886,0.6887311268873113,False,False
2023_Australia_GP,Strategy & technical,assigned,68,2466,-0.055313622786892336,0.000839759142161483,0.05380030845317953,-0.09675789280259094,-0.000612768086037635,0.11007099259772302,0.15398460153984603,0.8461153884611539,False,False
2023_Australia_GP,Narrative & meta,all,68,2466,0.03283478841658316,0.0001803766518772842,0.04630525133589761,-0.08481227040694625,0.003423023710700801,0.09165831782834788,0.8074192580741926,0.28777122287771223,False,False
2023_Australia_GP,Race dynamics,all,68,2466,0.21575783598110776,0.00014901245169598665,0.056637760642983474,-0.10777157578359814,-0.004830399313009881,0.1128166595105195,0.9999000099990001,0.00019998000199980003,True,False
2023_Australia_GP,Regulatory,all,68,2466,-0.0024092362005629503,-0.000698942082915889,0.028489775471851757,-0.046526883259386476,-0.0024092362005629503,0.056414293211201755,0.6049395060493951,0.6012398760123988,False,False
2023_Australia_GP,Strategy & technical,all,68,2466,-0.010901197461953144,0.0006738025380468595,0.03987195308637052,-0.06972472687371785,0.003804684890988036,0.0773340966556939,0.47285271472852713,0.6695330466953304,False,False
2023_Qatar_GP,Narrative & meta,assigned,50,1336,0.032473366705172646,0.0012975444532608692,0.07766060238805969,-0.14303683737646,-0.00017969451931715286,0.15775681341719078,0.6655334466553344,0.33456654334566543,False,False
2023_Qatar_GP,Race dynamics,assigned,50,1336,0.08161126085654385,-0.0012042934060334616,0.07866380901490751,-0.15251572327044025,-0.004103024857741833,0.1530398322851153,0.8573142685731426,0.1548845115488451,False,False
2023_Qatar_GP,Regulatory,assigned,50,1336,-0.014247208317289178,0.000632672620701009,0.04384903190821042,-0.07547169811320754,-0.00047169811320754707,0.09595687331536389,0.44075592440755923,0.5593440655934406,False,False
2023_Qatar_GP,Strategy & technical,assigned,50,1336,-0.09983741924442732,-0.0007259236679283727,0.07276104136513736,-0.1348975971617481,-0.0011979634621143709,0.14715368488953395,0.0866913308669133,0.9134086591340866,False,False
2023_Qatar_GP,Narrative & meta,all,50,1336,0.11544910179640722,0.00037310179640719554,0.058367927027525565,-0.10455089820359281,-0.004550898203592807,0.11544910179640722,0.9791020897910209,0.0420957904209579,False,False
2023_Qatar_GP,Race dynamics,all,50,1336,0.17224550898203597,-0.0013804910179640642,0.05989733627707754,-0.10775449101796405,-0.007754491017964077,0.11224550898203592,0.9983001699830018,0.0017998200179982,True,False
2023_Qatar_GP,Regulatory,all,50,1336,0.006107784431137721,0.00038978443113772226,0.03158993935459267,-0.05389221556886228,0.006107784431137721,0.06610778443113771,0.7090290970902909,0.515948405159484,False,False
2023_Qatar_GP,Strategy & technical,all,50,1336,-0.02787425149700598,-0.000834251497005981,0.05461663389178947,-0.10787425149700598,-0.00787425149700599,0.112125748502994,0.3875612438756124,0.7463253674632536,False,False
2023_Singapore_GP,Narrative & meta,assigned,60,1635,0.09772784970804776,0.00010412841331023616,0.06346220021655163,-0.11893881695861894,-0.001238906805878598,0.12743799463558397,0.9362063793620637,0.0638936106389361,False,False
2023_Singapore_GP,Race dynamics,assigned,60,1635,0.06224930185326227,-0.00037384596101457226,0.06903447646614108,-0.13518659558263518,-0.00016204566446825774,0.13558263518659563,0.8181181881811819,0.1867813218678132,False,False
2023_Singapore_GP,Regulatory,assigned,60,1635,-0.00483625285605483,-0.00013546927735152812,0.0325530014775388,-0.05483625285605483,-0.0012648242846262647,0.07016374714394516,0.49865013498650135,0.5021497850214979,False,False
2023_Singapore_GP,Strategy & technical,assigned,60,1635,-0.15514089870525513,0.000405186825055895,0.061139177368089395,-0.11514089870525512,-0.00023893792094142885,0.12485910129474487,0.0034996500349965005,0.9972002799720028,True,True
2023_Singapore_GP,Narrative & meta,all,60,1635,0.15397553516819573,4.053516819570395e-05,0.05297475044958964,-0.0960244648318043,0.00397553516819571,0.10397553516819569,0.9975002499750025,0.0047995200479952005,True,False
2023_Singapore_GP,Race dynamics,all,60,1635,0.1418960244648318,-0.00038397553516821985,0.05896161013209492,-0.1081039755351682,-0.008103975535168229,0.12522935779816513,0.9949005099490051,0.0124987501249875,True,False
2023_Singapore_GP,Regulatory,all,60,1635,0.005963302752293578,-0.00011336391437309133,0.026261056462581152,-0.044036697247706424,0.005963302752293578,0.05596330275229358,0.73002699730027,0.5006499350064993,False,False
2023_Singapore_GP,Strategy & technical,all,60,1635,-0.10489296636085627,0.0002570336391437278,0.0505372207273576,-0.0882262996941896,-0.00489296636085626,0.09510703363914372,0.021897810218978103,0.9923007699230078,True,True
2024_Bahrain_GP,Narrative & meta,assigned,72,1322,0.07983636025537716,-0.000917022945668798,0.06386032845736489,-0.12359501229364242,-0.004655618354248492,0.12807165437302426,0.8998100189981002,0.10648935106489352,False,False
2024_Bahrain_GP,Race dynamics,assigned,72,1322,0.07855017665654251,0.0016977586210698355,0.06645141739132057,-0.12674394099051628,0.001419324315606152,0.13325605900948373,0.8759124087591241,0.12418758124187582,False,False
2024_Bahrain_GP,Regulatory,assigned,72,1322,-0.0368809272918862,-0.00018421436025819226,0.025684036453370446,-0.0368809272918862,0.00015610974515083836,0.05927291886195996,0.14158584141585842,1.0,False,False
2024_Bahrain_GP,Strategy & technical,assigned,72,1322,-0.12150560962003348,-0.0005965213151428305,0.05641935714206744,-0.10444678609062172,-0.002224563868399504,0.11555321390937831,0.011698830116988301,0.9884011598840116,True,True
2024_Bahrain_GP,Narrative & meta,all,72,1322,0.15061354849554548,-0.0008128403933434143,0.04875388738159309,-0.09938645150445452,-0.0021642292822323106,0.0950579929399899,0.9989001099890011,0.0026997300269973002,True,False
2024_Bahrain_GP,Race dynamics,all,72,1322,0.1663514876449823,0.0010264876449823299,0.05199653880448909,-0.09753740124390656,-0.00031517902168431977,0.11079593208942679,0.9998000199980002,0.0014998500149985001,True,False
2024_Bahrain_GP,Regulatory,all,72,1322,-0.0264750378214826,-0.00015003782148260167,0.01847919596633423,-0.0264750378214826,0.0013027399562951757,0.04296940662296185,0.14158584141585842,1.0,False,False
2024_Bahrain_GP,Strategy & technical,all,72,1322,-0.06389729366280048,-0.00047507144057823983,0.04224578160241461,-0.07778618255168936,-0.008341738107244895,0.08888048411497732,0.0390960903909609,0.961003899610039,False,False
2024_SaoPaulo_GP,Narrative & meta,assigned,96,1905,-0.022050199390100833,6.511797617902713e-05,0.051959212667301045,-0.09722882629286567,-0.0007037297677691678,0.10420698451794513,0.3434656534346565,0.6566343365663434,False,False
2024_SaoPaulo_GP,Race dynamics,assigned,96,1905,0.1276096645554774,-0.0003919756371707825,0.055278956893030265,-0.10636923640500129,-0.00044602590914943896,0.11096873129076645,0.9901009899010099,0.009999000099990002,True,False
