n_events,mean_delta,median_delta,sd,q1,q3,iqr,min,max,n_negative,n_positive,n_zero,threshold,category_id,metric,category_name,majority_sign,n_majority
10,-0.001004041029587283,-0.0028093419460292015,0.014985666612302589,-0.011254424940643349,0.00880830484192373,0.02006272978256708,-0.023449319213313162,0.025535168195718657,6,4,0,0.35,0,all,DRS-assisted battles,-1,6
10,-0.003609370099661613,-0.003494324370113997,0.01574463027733659,-0.013630266700007545,0.006837254824453302,0.020467521524460845,-0.029636711281070746,0.02157071783937456,7,3,0,0.35,0,assigned,DRS-assisted battles,-1,7
10,0.010564044283924384,0.0016458233306458183,0.028413288346584742,-0.004513736842958855,0.009962044546873692,0.014475781389832547,-0.009672619047619048,0.08558051390669416,5,5,0,0.35,1,all,Time penalties,0,5
10,0.007889353475424386,-0.003422562141491395,0.027260601086665254,-0.0056222076309291,0.008935282784328553,0.014557490415257654,-0.011680143755615454,0.07929654302711298,6,4,0,0.35,1,assigned,Time penalties,-1,6
10,-0.00568733740500109,-0.005957813960843499,0.0058552235060726765,-0.007189130195348092,-0.004333763665329891,0.002855366530018201,-0.01747311827956989,0.005654761904761907,9,1,0,0.35,2,all,Lights-out race starts,-1,9
10,-0.007497640447205895,-0.0072256326076956656,0.006711864310872024,-0.009043457254896529,-0.005165377700408093,0.0038780795544884356,-0.022058823529411766,0.004446049962486452,9,1,0,0.35,2,assigned,Lights-out race starts,-1,9
10,0.0033469849897591773,0.003131324261471854,0.007570390106734264,-0.003183637256012383,0.008864475628402934,0.012048112884415317,-0.005208333333333333,0.016257485029940122,5,5,0,0.35,3,all,Mirror checks defending,0,5
10,0.002466643510030044,0.002268794654316489,0.007502885577700857,-0.003869956990831137,0.00781163791470572,0.011681594905536857,-0.006289308176100629,0.015219885277246655,5,5,0,0.35,3,assigned,Mirror checks defending,0,5
10,0.006201380194057006,0.0023422957088358723,0.011558464622637585,-0.0035669355199213237,0.01504511176372026,0.018612047283641586,-0.00529500756429652,0.02555615196516968,5,5,0,0.35,4,all,Race start launch,0,5
10,0.005509604759656968,0.0017536161185261207,0.011784823292246258,-0.0043505340393146606,0.014746784827405041,0.0190973188667197,-0.006692160611854685,0.024773207330622812,5,5,0,0.35,4,assigned,Race start launch,0,5
10,-0.015749705480072613,-0.004898216324762767,0.028987552439680882,-0.014227102033027322,-0.002387837773336737,0.011839264259690585,-0.08019713261648745,0.01251497005988024,8,2,0,0.35,5,all,Weather conditions,-1,8
10,-0.020425866732039034,-0.005788967818199896,0.03602006085816916,-0.01743404735427521,-0.0029935116083898063,0.014440535745885405,-0.10124434389140272,0.010439770554493308,8,2,0,0.35,5,assigned,Weather conditions,-1,8
10,0.02697427186053114,0.01894948316765972,0.029733430920479576,0.017124838522453983,0.04182603865895117,0.024701200136497185,-0.03348214285714286,0.07497585928958478,1,9,0,0.35,6,all,Grand Prix wins,1,9
10,0.016747836250548598,0.009673760561617076,0.03220812674994985,0.003274849864002366,0.033236920386603634,0.029962070522601268,-0.046387121275275334,0.07072186488590274,2,8,0,0.35,6,assigned,Grand Prix wins,1,8
10,0.0011387355655210264,-0.0014656900191386774,0.0072290634968770785,-0.0029399903927696696,0.0027892997750281223,0.005729290167797792,-0.0062724014336917565,0.015116214257845158,6,4,0,0.35,7,all,Race start lights,-1,6
10,0.00039380785157150795,-0.0020119100359784533,0.007572638264639525,-0.0034538887356816636,0.0021305081875840725,0.005584396923265737,-0.007918552036199095,0.014817556268333469,7,3,0,0.35,7,assigned,Race start lights,-1,7
10,0.004501348603971315,0.003787147191694049,0.014493101485051235,-0.00762229269704635,0.007812755576683228,0.015435048273729577,-0.010479041916167664,0.03431246864723259,4,6,0,0.35,8,all,Race control flags,1,6
10,0.002464806679741496,0.0018717168412735515,0.014342051176052877,-0.00893699153767808,0.004829238434484174,0.013766229972162253,-0.01338432122370937,0.031129204704334234,4,6,0,0.35,8,assigned,Race control flags,1,6
10,0.004626562365506223,0.0028339256794840256,0.016953943421903386,-0.00904889059006513,0.007960785810050514,0.017009676400115643,-0.012586148932593712,0.037155963302752296,4,6,0,0.35,9,all,Formula 1 milestones,1,6
10,0.0014919232847261296,-0.0007890012239572738,0.017534188962861998,-0.011507118949136653,0.005686867522955767,0.017193986472092422,-0.0193762960170199,0.03507462686567164,6,4,0,0.35,9,assigned,Formula 1 milestones,-1,6
10,0.005132020737860487,0.0,0.01459041166771514,-0.0004598405885959534,0.001987119634178457,0.0024469602227744102,-0.002688172043010753,0.045625335480407946,3,3,4,0.35,10,all,Chicane moves,0,3
10,0.004615779524416416,0.0,0.013867773790644411,-0.0005551443375277572,0.000868019992625672,0.001423164330153429,-0.003393665158371041,0.04280673479603922,3,3,4,0.35,10,assigned,Chicane moves,0,3
10,-0.008299964451533262,-0.01139535795499098,0.01271390362734945,-0.01676235180286106,-0.007920839165401313,0.008841512637459747,-0.01942257217847769,0.02281596399243458,8,2,0,0.35,11,all,Team radio celebrations,-1,8
