pair_id,event_id,threshold,category_id,category_name,register,n_category,n_total,n_assigned,p_all,p_assigned
P01,2023_Australia_GP,0.35,0,DRS-assisted battles,HIGHLIGHT,2,68,65,0.029411764705882353,0.03076923076923077
P01,2023_Australia_GP,0.35,1,Time penalties,HIGHLIGHT,0,68,65,0.0,0.0
P01,2023_Australia_GP,0.35,2,Lights-out race starts,HIGHLIGHT,0,68,65,0.0,0.0
P01,2023_Australia_GP,0.35,3,Mirror checks defending,HIGHLIGHT,1,68,65,0.014705882352941176,0.015384615384615385
P01,2023_Australia_GP,0.35,4,Race start launch,HIGHLIGHT,0,68,65,0.0,0.0
P01,2023_Australia_GP,0.35,5,Weather conditions,HIGHLIGHT,0,68,65,0.0,0.0
P01,2023_Australia_GP,0.35,6,Grand Prix wins,HIGHLIGHT,6,68,65,0.08823529411764706,0.09230769230769231
P01,2023_Australia_GP,0.35,7,Race start lights,HIGHLIGHT,0,68,65,0.0,0.0
P01,2023_Australia_GP,0.35,8,Race control flags,HIGHLIGHT,2,68,65,0.029411764705882353,0.03076923076923077
P01,2023_Australia_GP,0.35,9,Formula 1 milestones,HIGHLIGHT,1,68,65,0.014705882352941176,0.015384615384615385
P01,2023_Australia_GP,0.35,10,Chicane moves,HIGHLIGHT,0,68,65,0.0,0.0
P01,2023_Australia_GP,0.35,11,Team radio celebrations,HIGHLIGHT,0,68,65,0.0,0.0
P01,2023_Australia_GP,0.35,12,Podium finishes,HIGHLIGHT,0,68,65,0.0,0.0
P01,2023_Australia_GP,0.35,13,Championship & title,HIGHLIGHT,1,68,65,0.014705882352941176,0.015384615384615385
P01,2023_Australia_GP,0.35,14,Pit stops,HIGHLIGHT,1,68,65,0.014705882352941176,0.015384615384615385
P01,2023_Australia_GP,0.35,15,Tires & compounds,HIGHLIGHT,0,68,65,0.0,0.0
P01,2023_Australia_GP,0.35,16,Safety car deployment,HIGHLIGHT,2,68,65,0.029411764705882353,0.03076923076923077
P01,2023_Australia_GP,0.35,17,Gap & pace,HIGHLIGHT,1,68,65,0.014705882352941176,0.015384615384615385
P01,2023_Australia_GP,0.35,18,Team dynamics,HIGHLIGHT,3,68,65,0.04411764705882353,0.046153846153846156
P01,2023_Australia_GP,0.35,19,Race lead holding,HIGHLIGHT,1,68,65,0.014705882352941176,0.015384615384615385
P01,2023_Australia_GP,0.35,20,Wing & car damage,HIGHLIGHT,2,68,65,0.029411764705882353,0.03076923076923077
P01,2023_Australia_GP,0.35,21,Braking & lockups,HIGHLIGHT,2,68,65,0.029411764705882353,0.03076923076923077
P01,2023_Australia_GP,0.35,22,Wheel-to-wheel,HIGHLIGHT,3,68,65,0.04411764705882353,0.046153846153846156
P01,2023_Australia_GP,0.35,23,Circuit action,HIGHLIGHT,3,68,65,0.04411764705882353,0.046153846153846156
P01,2023_Australia_GP,0.35,24,Inter-car distance,HIGHLIGHT,4,68,65,0.058823529411764705,0.06153846153846154
P01,2023_Australia_GP,0.35,25,Driver & team references,HIGHLIGHT,4,68,65,0.058823529411764705,0.06153846153846154
P01,2023_Australia_GP,0.35,26,Defending & attacking,HIGHLIGHT,3,68,65,0.04411764705882353,0.046153846153846156
P01,2023_Australia_GP,0.35,27,Overtake battles,HIGHLIGHT,11,68,65,0.16176470588235295,0.16923076923076924
P01,2023_Australia_GP,0.35,28,Corner battles,HIGHLIGHT,3,68,65,0.04411764705882353,0.046153846153846156
P01,2023_Australia_GP,0.35,29,Corner specific moves,HIGHLIGHT,4,68,65,0.058823529411764705,0.06153846153846154
P01,2023_Australia_GP,0.35,30,Lap pace & timing,HIGHLIGHT,0,68,65,0.0,0.0
P01,2023_Australia_GP,0.35,31,Race leader changes,HIGHLIGHT,1,68,65,0.014705882352941176,0.015384615384615385
P01,2023_Australia_GP,0.35,32,Front position changes,HIGHLIGHT,2,68,65,0.029411764705882353,0.03076923076923077
P01,2023_Australia_GP,0.35,33,Field position changes,HIGHLIGHT,2,68,65,0.029411764705882353,0.03076923076923077
P01,2023_Australia_GP,0.35,0,DRS-assisted battles,FULL_RACE,63,2466,1946,0.025547445255474453,0.03237410071942446
P01,2023_Australia_GP,0.35,1,Time penalties,FULL_RACE,21,2466,1946,0.00851581508515815,0.01079136690647482
P01,2023_Australia_GP,0.35,2,Lights-out race starts,FULL_RACE,18,2466,1946,0.0072992700729927005,0.009249743062692703
P01,2023_Australia_GP,0.35,3,Mirror checks defending,FULL_RACE,14,2466,1946,0.0056772100567721,0.007194244604316547
P01,2023_Australia_GP,0.35,4,Race start launch,FULL_RACE,8,2466,1946,0.0032441200324412004,0.0041109969167523125
P01,2023_Australia_GP,0.35,5,Weather conditions,FULL_RACE,16,2466,1946,0.006488240064882401,0.008221993833504625
P01,2023_Australia_GP,0.35,6,Grand Prix wins,FULL_RACE,114,2466,1946,0.046228710462287104,0.05858170606372045
P01,2023_Australia_GP,0.35,7,Race start lights,FULL_RACE,13,2466,1946,0.0052716950527169504,0.006680369989722507
P01,2023_Australia_GP,0.35,8,Race control flags,FULL_RACE,51,2466,1946,0.02068126520681265,0.026207605344295993
P01,2023_Australia_GP,0.35,9,Formula 1 milestones,FULL_RACE,31,2466,1946,0.012570965125709651,0.01593011305241521
P01,2023_Australia_GP,0.35,10,Chicane moves,FULL_RACE,6,2466,1946,0.0024330900243309003,0.003083247687564234
P01,2023_Australia_GP,0.35,11,Team radio celebrations,FULL_RACE,45,2466,1946,0.01824817518248175,0.023124357656731757
P01,2023_Australia_GP,0.35,12,Podium finishes,FULL_RACE,47,2466,1946,0.019059205190592052,0.024152106885919837
P01,2023_Australia_GP,0.35,13,Championship & title,FULL_RACE,79,2466,1946,0.03203568532035685,0.040596094552929084
P01,2023_Australia_GP,0.35,14,Pit stops,FULL_RACE,45,2466,1946,0.01824817518248175,0.023124357656731757
P01,2023_Australia_GP,0.35,15,Tires & compounds,FULL_RACE,80,2466,1946,0.032441200324412,0.041109969167523124
P01,2023_Australia_GP,0.35,16,Safety car deployment,FULL_RACE,91,2466,1946,0.036901865369018655,0.046762589928057555
P01,2023_Australia_GP,0.35,17,Gap & pace,FULL_RACE,68,2466,1946,0.027575020275750203,0.03494347379239465
P01,2023_Australia_GP,0.35,18,Team dynamics,FULL_RACE,147,2466,1946,0.05961070559610705,0.07553956834532374
P01,2023_Australia_GP,0.35,19,Race lead holding,FULL_RACE,18,2466,1946,0.0072992700729927005,0.009249743062692703
P01,2023_Australia_GP,0.35,20,Wing & car damage,FULL_RACE,36,2466,1946,0.014598540145985401,0.018499486125385406
P01,2023_Australia_GP,0.35,21,Braking & lockups,FULL_RACE,70,2466,1946,0.028386050283860504,0.03597122302158273
P01,2023_Australia_GP,0.35,22,Wheel-to-wheel,FULL_RACE,24,2466,1946,0.009732360097323601,0.012332990750256937
P01,2023_Australia_GP,0.35,23,Circuit action,FULL_RACE,50,2466,1946,0.0202757502027575,0.025693730729701953
P01,2023_Australia_GP,0.35,24,Inter-car distance,FULL_RACE,47,2466,1946,0.019059205190592052,0.024152106885919837
P01,2023_Australia_GP,0.35,25,Driver & team references,FULL_RACE,56,2466,1946,0.0227088402270884,0.02877697841726619
P01,2023_Australia_GP,0.35,26,Defending & attacking,FULL_RACE,40,2466,1946,0.016220600162206,0.020554984583761562
P01,2023_Australia_GP,0.35,27,Overtake battles,FULL_RACE,285,2466,1946,0.11557177615571776,0.14645426515930113
P01,2023_Australia_GP,0.35,28,Corner battles,FULL_RACE,48,2466,1946,0.019464720194647202,0.024665981500513873
P01,2023_Australia_GP,0.35,29,Corner specific moves,FULL_RACE,27,2466,1946,0.010948905109489052,0.013874614594039054
P01,2023_Australia_GP,0.35,30,Lap pace & timing,FULL_RACE,63,2466,1946,0.025547445255474453,0.03237410071942446
P01,2023_Australia_GP,0.35,31,Race leader changes,FULL_RACE,93,2466,1946,0.037712895377128956,0.047790339157245634
P01,2023_Australia_GP,0.35,32,Front position changes,FULL_RACE,46,2466,1946,0.0186536901865369,0.023638232271325797
P01,2023_Australia_GP,0.35,33,Field position changes,FULL_RACE,86,2466,1946,0.034874290348742905,0.044193216855087356
P02,2023_Qatar_GP,0.35,0,DRS-assisted battles,HIGHLIGHT,0,50,50,0.0,0.0
P02,2023_Qatar_GP,0.35,1,Time penalties,HIGHLIGHT,2,50,50,0.04,0.04
P02,2023_Qatar_GP,0.35,2,Lights-out race starts,HIGHLIGHT,0,50,50,0.0,0.0
P02,2023_Qatar_GP,0.35,3,Mirror checks defending,HIGHLIGHT,1,50,50,0.02,0.02
P02,2023_Qatar_GP,0.35,4,Race start launch,HIGHLIGHT,1,50,50,0.02,0.02
P02,2023_Qatar_GP,0.35,5,Weather conditions,HIGHLIGHT,1,50,50,0.02,0.02
P02,2023_Qatar_GP,0.35,6,Grand Prix wins,HIGHLIGHT,4,50,50,0.08,0.08
P02,2023_Qatar_GP,0.35,7,Race start lights,HIGHLIGHT,0,50,50,0.0,0.0
P02,2023_Qatar_GP,0.35,8,Race control flags,HIGHLIGHT,0,50,50,0.0,0.0
P02,2023_Qatar_GP,0.35,9,Formula 1 milestones,HIGHLIGHT,1,50,50,0.02,0.02
P02,2023_Qatar_GP,0.35,10,Chicane moves,HIGHLIGHT,0,50,50,0.0,0.0
P02,2023_Qatar_GP,0.35,11,Team radio celebrations,HIGHLIGHT,1,50,50,0.02,0.02
P02,2023_Qatar_GP,0.35,12,Podium finishes,HIGHLIGHT,1,50,50,0.02,0.02
P02,2023_Qatar_GP,0.35,13,Championship & title,HIGHLIGHT,1,50,50,0.02,0.02
P02,2023_Qatar_GP,0.35,14,Pit stops,HIGHLIGHT,2,50,50,0.04,0.04
P02,2023_Qatar_GP,0.35,15,Tires & compounds,HIGHLIGHT,3,50,50,0.06,0.06
P02,2023_Qatar_GP,0.35,16,Safety car deployment,HIGHLIGHT,1,50,50,0.02,0.02
P02,2023_Qatar_GP,0.35,17,Gap & pace,HIGHLIGHT,0,50,50,0.0,0.0
P02,2023_Qatar_GP,0.35,18,Team dynamics,HIGHLIGHT,8,50,50,0.16,0.16
P02,2023_Qatar_GP,0.35,19,Race lead holding,HIGHLIGHT,0,50,50,0.0,0.0
P02,2023_Qatar_GP,0.35,20,Wing & car damage,HIGHLIGHT,0,50,50,0.0,0.0
P02,2023_Qatar_GP,0.35,21,Braking & lockups,HIGHLIGHT,5,50,50,0.1,0.1
P02,2023_Qatar_GP,0.35,22,Wheel-to-wheel,HIGHLIGHT,3,50,50,0.06,0.06
P02,2023_Qatar_GP,0.35,23,Circuit action,HIGHLIGHT,1,50,50,0.02,0.02
P02,2023_Qatar_GP,0.35,24,Inter-car distance,HIGHLIGHT,0,50,50,0.0,0.0
P02,2023_Qatar_GP,0.35,25,Driver & team references,HIGHLIGHT,2,50,50,0.04,0.04
P02,2023_Qatar_GP,0.35,26,Defending & attacking,HIGHLIGHT,3,50,50,0.06,0.06
P02,2023_Qatar_GP,0.35,27,Overtake battles,HIGHLIGHT,2,50,50,0.04,0.04
P02,2023_Qatar_GP,0.35,28,Corner battles,HIGHLIGHT,0,50,50,0.0,0.0
P02,2023_Qatar_GP,0.35,29,Corner specific moves,HIGHLIGHT,1,50,50,0.02,0.02
P02,2023_Qatar_GP,0.35,30,Lap pace & timing,HIGHLIGHT,2,50,50,0.04,0.04
P02,2023_Qatar_GP,0.35,31,Race leader changes,HIGHLIGHT,0,50,50,0.0,0.0
P02,2023_Qatar_GP,0.35,32,Front position changes,HIGHLIGHT,2,50,50,0.04,0.04
P02,2023_Qatar_GP,0.35,33,Field position changes,HIGHLIGHT,2,50,50,0.04,0.04
P02,2023_Qatar_GP,0.35,0,DRS-assisted battles,FULL_RACE,4,1336,1046,0.0029940119760479044,0.0038240917782026767
P02,2023_Qatar_GP,0.35,1,Time penalties,FULL_RACE,45,1336,1046,0.033682634730538924,0.043021032504780114
P02,2023_Qatar_GP,0.35,2,Lights-out race starts,FULL_RACE,6,1336,1046,0.004491017964071856,0.0057361376673040155
P02,2023_Qatar_GP,0.35,3,Mirror checks defending,FULL_RACE,5,1336,1046,0.0037425149700598802,0.004780114722753346
P02,2023_Qatar_GP,0.35,4,Race start launch,FULL_RACE,2,1336,1046,0.0014970059880239522,0.0019120458891013384
P02,2023_Qatar_GP,0.35,5,Weather conditions,FULL_RACE,10,1336,1046,0.0074850299401197605,0.009560229445506692
P02,2023_Qatar_GP,0.35,6,Grand Prix wins,FULL_RACE,81,1336,1046,0.06062874251497006,0.07743785850860421
P02,2023_Qatar_GP,0.35,7,Race start lights,FULL_RACE,3,1336,1046,0.002245508982035928,0.0028680688336520078
P02,2023_Qatar_GP,0.35,8,Race control flags,FULL_RACE,14,1336,1046,0.010479041916167664,0.01338432122370937
P02,2023_Qatar_GP,0.35,9,Formula 1 milestones,FULL_RACE,22,1336,1046,0.016467065868263474,0.021032504780114723
P02,2023_Qatar_GP,0.35,10,Chicane moves,FULL_RACE,0,1336,1046,0.0,0.0
P02,2023_Qatar_GP,0.35,11,Team radio celebrations,FULL_RACE,23,1336,1046,0.01721556886227545,0.02198852772466539
P02,2023_Qatar_GP,0.35,12,Podium finishes,FULL_RACE,18,1336,1046,0.01347305389221557,0.017208413001912046
P02,2023_Qatar_GP,0.35,13,Championship & title,FULL_RACE,38,1336,1046,0.02844311377245509,0.036328871892925434
P02,2023_Qatar_GP,0.35,14,Pit stops,FULL_RACE,39,1336,1046,0.029191616766467067,0.0372848948374761
P02,2023_Qatar_GP,0.35,15,Tires & compounds,FULL_RACE,108,1336,1046,0.08083832335329341,0.10325047801147227
P02,2023_Qatar_GP,0.35,16,Safety car deployment,FULL_RACE,20,1336,1046,0.014970059880239521,0.019120458891013385
P02,2023_Qatar_GP,0.35,17,Gap & pace,FULL_RACE,37,1336,1046,0.027694610778443114,0.03537284894837476
P02,2023_Qatar_GP,0.35,18,Team dynamics,FULL_RACE,89,1336,1046,0.06661676646706587,0.08508604206500955
P02,2023_Qatar_GP,0.35,19,Race lead holding,FULL_RACE,7,1336,1046,0.005239520958083832,0.006692160611854685
P02,2023_Qatar_GP,0.35,20,Wing & car damage,FULL_RACE,26,1336,1046,0.019461077844311378,0.0248565965583174
P02,2023_Qatar_GP,0.35,21,Braking & lockups,FULL_RACE,39,1336,1046,0.029191616766467067,0.0372848948374761
P02,2023_Qatar_GP,0.35,22,Wheel-to-wheel,FULL_RACE,9,1336,1046,0.006736526946107785,0.008604206500956023
P02,2023_Qatar_GP,0.35,23,Circuit action,FULL_RACE,37,1336,1046,0.027694610778443114,0.03537284894837476
P02,2023_Qatar_GP,0.35,24,Inter-car distance,FULL_RACE,12,1336,1046,0.008982035928143712,0.011472275334608031
P02,2023_Qatar_GP,0.35,25,Driver & team references,FULL_RACE,51,1336,1046,0.03817365269461078,0.04875717017208413
P02,2023_Qatar_GP,0.35,26,Defending & attacking,FULL_RACE,25,1336,1046,0.0187125748502994,0.02390057361376673
P02,2023_Qatar_GP,0.35,27,Overtake battles,FULL_RACE,106,1336,1046,0.07934131736526946,0.10133843212237094
P02,2023_Qatar_GP,0.35,28,Corner battles,FULL_RACE,21,1336,1046,0.015718562874251496,0.020076481835564052
P02,2023_Qatar_GP,0.35,29,Corner specific moves,FULL_RACE,7,1336,1046,0.005239520958083832,0.006692160611854685
P02,2023_Qatar_GP,0.35,30,Lap pace & timing,FULL_RACE,39,1336,1046,0.029191616766467067,0.0372848948374761
P02,2023_Qatar_GP,0.35,31,Race leader changes,FULL_RACE,49,1336,1046,0.036676646706586824,0.04684512428298279
P02,2023_Qatar_GP,0.35,32,Front position changes,FULL_RACE,21,1336,1046,0.015718562874251496,0.020076481835564052
P02,2023_Qatar_GP,0.35,33,Field position changes,FULL_RACE,33,1336,1046,0.02470059880239521,0.03154875717017208
P03,2023_Singapore_GP,0.35,0,DRS-assisted battles,HIGHLIGHT,3,60,60,0.05,0.05
P03,2023_Singapore_GP,0.35,1,Time penalties,HIGHLIGHT,1,60,60,0.016666666666666666,0.016666666666666666
P03,2023_Singapore_GP,0.35,2,Lights-out race starts,HIGHLIGHT,0,60,60,0.0,0.0
P03,2023_Singapore_GP,0.35,3,Mirror checks defending,HIGHLIGHT,0,60,60,0.0,0.0
P03,2023_Singapore_GP,0.35,4,Race start launch,HIGHLIGHT,1,60,60,0.016666666666666666,0.016666666666666666
P03,2023_Singapore_GP,0.35,5,Weather conditions,HIGHLIGHT,0,60,60,0.0,0.0
P03,2023_Singapore_GP,0.35,6,Grand Prix wins,HIGHLIGHT,6,60,60,0.1,0.1
P03,2023_Singapore_GP,0.35,7,Race start lights,HIGHLIGHT,0,60,60,0.0,0.0
P03,2023_Singapore_GP,0.35,8,Race control flags,HIGHLIGHT,0,60,60,0.0,0.0
P03,2023_Singapore_GP,0.35,9,Formula 1 milestones,HIGHLIGHT,3,60,60,0.05,0.05
P03,2023_Singapore_GP,0.35,10,Chicane moves,HIGHLIGHT,0,60,60,0.0,0.0
P03,2023_Singapore_GP,0.35,11,Team radio celebrations,HIGHLIGHT,0,60,60,0.0,0.0
P03,2023_Singapore_GP,0.35,12,Podium finishes,HIGHLIGHT,1,60,60,0.016666666666666666,0.016666666666666666
P03,2023_Singapore_GP,0.35,13,Championship & title,HIGHLIGHT,1,60,60,0.016666666666666666,0.016666666666666666
P03,2023_Singapore_GP,0.35,14,Pit stops,HIGHLIGHT,3,60,60,0.05,0.05
P03,2023_Singapore_GP,0.35,15,Tires & compounds,HIGHLIGHT,0,60,60,0.0,0.0
P03,2023_Singapore_GP,0.35,16,Safety car deployment,HIGHLIGHT,2,60,60,0.03333333333333333,0.03333333333333333
P03,2023_Singapore_GP,0.35,17,Gap & pace,HIGHLIGHT,1,60,60,0.016666666666666666,0.016666666666666666
P03,2023_Singapore_GP,0.35,18,Team dynamics,HIGHLIGHT,8,60,60,0.13333333333333333,0.13333333333333333
P03,2023_Singapore_GP,0.35,19,Race lead holding,HIGHLIGHT,1,60,60,0.016666666666666666,0.016666666666666666
P03,2023_Singapore_GP,0.35,20,Wing & car damage,HIGHLIGHT,0,60,60,0.0,0.0
P03,2023_Singapore_GP,0.35,21,Braking & lockups,HIGHLIGHT,2,60,60,0.03333333333333333,0.03333333333333333
P03,2023_Singapore_GP,0.35,22,Wheel-to-wheel,HIGHLIGHT,1,60,60,0.016666666666666666,0.016666666666666666
P03,2023_Singapore_GP,0.35,23,Circuit action,HIGHLIGHT,1,60,60,0.016666666666666666,0.016666666666666666
P03,2023_Singapore_GP,0.35,24,Inter-car distance,HIGHLIGHT,1,60,60,0.016666666666666666,0.016666666666666666
P03,2023_Singapore_GP,0.35,25,Driver & team references,HIGHLIGHT,4,60,60,0.06666666666666667,0.06666666666666667
P03,2023_Singapore_GP,0.35,26,Defending & attacking,HIGHLIGHT,1,60,60,0.016666666666666666,0.016666666666666666
P03,2023_Singapore_GP,0.35,27,Overtake battles,HIGHLIGHT,9,60,60,0.15,0.15
P03,2023_Singapore_GP,0.35,28,Corner battles,HIGHLIGHT,2,60,60,0.03333333333333333,0.03333333333333333
P03,2023_Singapore_GP,0.35,29,Corner specific moves,HIGHLIGHT,0,60,60,0.0,0.0
P03,2023_Singapore_GP,0.35,30,Lap pace & timing,HIGHLIGHT,1,60,60,0.016666666666666666,0.016666666666666666
P03,2023_Singapore_GP,0.35,31,Race leader changes,HIGHLIGHT,3,60,60,0.05,0.05
P03,2023_Singapore_GP,0.35,32,Front position changes,HIGHLIGHT,4,60,60,0.06666666666666667,0.06666666666666667
P03,2023_Singapore_GP,0.35,33,Field position changes,HIGHLIGHT,0,60,60,0.0,0.0
P03,2023_Singapore_GP,0.35,0,DRS-assisted battles,FULL_RACE,40,1635,1407,0.024464831804281346,0.028429282160625444
P03,2023_Singapore_GP,0.35,1,Time penalties,FULL_RACE,13,1635,1407,0.007951070336391437,0.00923951670220327
P03,2023_Singapore_GP,0.35,2,Lights-out race starts,FULL_RACE,7,1635,1407,0.004281345565749235,0.004975124378109453
P03,2023_Singapore_GP,0.35,3,Mirror checks defending,FULL_RACE,4,1635,1407,0.0024464831804281344,0.0028429282160625444
P03,2023_Singapore_GP,0.35,4,Race start launch,FULL_RACE,3,1635,1407,0.001834862385321101,0.0021321961620469083
P03,2023_Singapore_GP,0.35,5,Weather conditions,FULL_RACE,9,1635,1407,0.005504587155963303,0.006396588486140725
P03,2023_Singapore_GP,0.35,6,Grand Prix wins,FULL_RACE,96,1635,1407,0.05871559633027523,0.06823027718550106
P03,2023_Singapore_GP,0.35,7,Race start lights,FULL_RACE,5,1635,1407,0.0030581039755351682,0.0035536602700781805
P03,2023_Singapore_GP,0.35,8,Race control flags,FULL_RACE,14,1635,1407,0.00856269113149847,0.009950248756218905
P03,2023_Singapore_GP,0.35,9,Formula 1 milestones,FULL_RACE,21,1635,1407,0.012844036697247707,0.014925373134328358
P03,2023_Singapore_GP,0.35,10,Chicane moves,FULL_RACE,0,1635,1407,0.0,0.0
P03,2023_Singapore_GP,0.35,11,Team radio celebrations,FULL_RACE,17,1635,1407,0.010397553516819572,0.012082444918265814
P03,2023_Singapore_GP,0.35,12,Podium finishes,FULL_RACE,31,1635,1407,0.018960244648318043,0.02203269367448472
P03,2023_Singapore_GP,0.35,13,Championship & title,FULL_RACE,64,1635,1407,0.03914373088685015,0.04548685145700071
P03,2023_Singapore_GP,0.35,14,Pit stops,FULL_RACE,54,1635,1407,0.03302752293577982,0.03837953091684435
P03,2023_Singapore_GP,0.35,15,Tires & compounds,FULL_RACE,109,1635,1407,0.06666666666666667,0.07746979388770434
P03,2023_Singapore_GP,0.35,16,Safety car deployment,FULL_RACE,48,1635,1407,0.029357798165137616,0.03411513859275053
P03,2023_Singapore_GP,0.35,17,Gap & pace,FULL_RACE,66,1635,1407,0.04036697247706422,0.046908315565031986
P03,2023_Singapore_GP,0.35,18,Team dynamics,FULL_RACE,113,1635,1407,0.0691131498470948,0.08031272210376687
P03,2023_Singapore_GP,0.35,19,Race lead holding,FULL_RACE,7,1635,1407,0.004281345565749235,0.004975124378109453
P03,2023_Singapore_GP,0.35,20,Wing & car damage,FULL_RACE,31,1635,1407,0.018960244648318043,0.02203269367448472
P03,2023_Singapore_GP,0.35,21,Braking & lockups,FULL_RACE,39,1635,1407,0.023853211009174313,0.02771855010660981
P03,2023_Singapore_GP,0.35,22,Wheel-to-wheel,FULL_RACE,3,1635,1407,0.001834862385321101,0.0021321961620469083
P03,2023_Singapore_GP,0.35,23,Circuit action,FULL_RACE,46,1635,1407,0.028134556574923548,0.032693674484719264
P03,2023_Singapore_GP,0.35,24,Inter-car distance,FULL_RACE,39,1635,1407,0.023853211009174313,0.02771855010660981
P03,2023_Singapore_GP,0.35,25,Driver & team references,FULL_RACE,60,1635,1407,0.03669724770642202,0.042643923240938165
P03,2023_Singapore_GP,0.35,26,Defending & attacking,FULL_RACE,39,1635,1407,0.023853211009174313,0.02771855010660981
P03,2023_Singapore_GP,0.35,27,Overtake battles,FULL_RACE,201,1635,1407,0.12293577981651377,0.14285714285714285
P03,2023_Singapore_GP,0.35,28,Corner battles,FULL_RACE,11,1635,1407,0.00672782874617737,0.007818052594171997
P03,2023_Singapore_GP,0.35,29,Corner specific moves,FULL_RACE,21,1635,1407,0.012844036697247707,0.014925373134328358
P03,2023_Singapore_GP,0.35,30,Lap pace & timing,FULL_RACE,56,1635,1407,0.03425076452599388,0.03980099502487562
P03,2023_Singapore_GP,0.35,31,Race leader changes,FULL_RACE,71,1635,1407,0.04342507645259939,0.05046197583511016
P03,2023_Singapore_GP,0.35,32,Front position changes,FULL_RACE,34,1635,1407,0.020795107033639144,0.024164889836531627
P03,2023_Singapore_GP,0.35,33,Field position changes,FULL_RACE,35,1635,1407,0.021406727828746176,0.024875621890547265
P04,2024_Bahrain_GP,0.35,0,DRS-assisted battles,HIGHLIGHT,0,72,71,0.0,0.0
P04,2024_Bahrain_GP,0.35,1,Time penalties,HIGHLIGHT,0,72,71,0.0,0.0
P04,2024_Bahrain_GP,0.35,2,Lights-out race starts,HIGHLIGHT,0,72,71,0.0,0.0
P04,2024_Bahrain_GP,0.35,3,Mirror checks defending,HIGHLIGHT,1,72,71,0.013888888888888888,0.014084507042253521
P04,2024_Bahrain_GP,0.35,4,Race start launch,HIGHLIGHT,0,72,71,0.0,0.0
P04,2024_Bahrain_GP,0.35,5,Weather conditions,HIGHLIGHT,0,72,71,0.0,0.0
P04,2024_Bahrain_GP,0.35,6,Grand Prix wins,HIGHLIGHT,5,72,71,0.06944444444444445,0.07042253521126761
P04,2024_Bahrain_GP,0.35,7,Race start lights,HIGHLIGHT,1,72,71,0.013888888888888888,0.014084507042253521
P04,2024_Bahrain_GP,0.35,8,Race control flags,HIGHLIGHT,0,72,71,0.0,0.0
P04,2024_Bahrain_GP,0.35,9,Formula 1 milestones,HIGHLIGHT,1,72,71,0.013888888888888888,0.014084507042253521
P04,2024_Bahrain_GP,0.35,10,Chicane moves,HIGHLIGHT,0,72,71,0.0,0.0
P04,2024_Bahrain_GP,0.35,11,Team radio celebrations,HIGHLIGHT,1,72,71,0.013888888888888888,0.014084507042253521
P04,2024_Bahrain_GP,0.35,12,Podium finishes,HIGHLIGHT,1,72,71,0.013888888888888888,0.014084507042253521
P04,2024_Bahrain_GP,0.35,13,Championship & title,HIGHLIGHT,1,72,71,0.013888888888888888,0.014084507042253521
P04,2024_Bahrain_GP,0.35,14,Pit stops,HIGHLIGHT,2,72,71,0.027777777777777776,0.028169014084507043
