category_id,category_name,metric,omitted_event,n_events_used,median_delta,sign
0,DRS-assisted battles,all,2023_Australia_GP,9,-0.0029940119760479044,-1
0,DRS-assisted battles,all,2023_Qatar_GP,9,-0.0015748031496062992,-1
0,DRS-assisted battles,all,2023_Singapore_GP,9,-0.0029940119760479044,-1
0,DRS-assisted battles,all,2024_Bahrain_GP,9,-0.0015748031496062992,-1
0,DRS-assisted battles,all,2024_Italy_GP,9,-0.0015748031496062992,-1
0,DRS-assisted battles,all,2024_LasVegas_GP,9,-0.0029940119760479044,-1
0,DRS-assisted battles,all,2024_Qatar_GP,9,-0.0015748031496062992,-1
0,DRS-assisted battles,all,2024_SaoPaulo_GP,9,-0.0029940119760479044,-1
0,DRS-assisted battles,all,2025_Belgium_GP,9,-0.0029940119760479044,-1
0,DRS-assisted battles,all,2025_Japan_GP,9,-0.0015748031496062992,-1
0,DRS-assisted battles,assigned,2023_Australia_GP,9,-0.0041928721174004195,-1
0,DRS-assisted battles,assigned,2023_Qatar_GP,9,-0.004121033721483917,-1
0,DRS-assisted battles,assigned,2023_Singapore_GP,9,-0.0041928721174004195,-1
0,DRS-assisted battles,assigned,2024_Bahrain_GP,9,-0.004121033721483917,-1
0,DRS-assisted battles,assigned,2024_Italy_GP,9,-0.004121033721483917,-1
0,DRS-assisted battles,assigned,2024_LasVegas_GP,9,-0.0041928721174004195,-1
0,DRS-assisted battles,assigned,2024_Qatar_GP,9,-0.004121033721483917,-1
0,DRS-assisted battles,assigned,2024_SaoPaulo_GP,9,-0.0041928721174004195,-1
0,DRS-assisted battles,assigned,2025_Belgium_GP,9,-0.0041928721174004195,-1
0,DRS-assisted battles,assigned,2025_Japan_GP,9,-0.004121033721483917,-1
1,Time penalties,all,2023_Australia_GP,9,0.008562874251497009,1
1,Time penalties,all,2023_Qatar_GP,9,-0.002240143369175627,-1
1,Time penalties,all,2023_Singapore_GP,9,-0.002240143369175627,-1
1,Time penalties,all,2024_Bahrain_GP,9,0.008562874251497009,1
1,Time penalties,all,2024_Italy_GP,9,-0.002240143369175627,-1
1,Time penalties,all,2024_LasVegas_GP,9,0.008562874251497009,1
1,Time penalties,all,2024_Qatar_GP,9,-0.002240143369175627,-1
1,Time penalties,all,2024_SaoPaulo_GP,9,-0.002240143369175627,-1
1,Time penalties,all,2025_Belgium_GP,9,0.008562874251497009,1
1,Time penalties,all,2025_Japan_GP,9,0.008562874251497009,1
1,Time penalties,assigned,2023_Australia_GP,9,-0.003101736972704715,-1
1,Time penalties,assigned,2023_Qatar_GP,9,-0.003101736972704715,-1
1,Time penalties,assigned,2023_Singapore_GP,9,-0.003208830702092158,-1
1,Time penalties,assigned,2024_Bahrain_GP,9,-0.003101736972704715,-1
1,Time penalties,assigned,2024_Italy_GP,9,-0.003208830702092158,-1
1,Time penalties,assigned,2024_LasVegas_GP,9,-0.003101736972704715,-1
1,Time penalties,assigned,2024_Qatar_GP,9,-0.003208830702092158,-1
1,Time penalties,assigned,2024_SaoPaulo_GP,9,-0.003208830702092158,-1
1,Time penalties,assigned,2025_Belgium_GP,9,-0.003208830702092158,-1
1,Time penalties,assigned,2025_Japan_GP,9,-0.003101736972704715,-1
2,Lights-out race starts,all,2023_Australia_GP,9,-0.0018393623543838135,-1
2,Lights-out race starts,all,2023_Qatar_GP,9,-0.003429355281207133,-1
2,Lights-out race starts,all,2023_Singapore_GP,9,-0.003429355281207133,-1
2,Lights-out race starts,all,2024_Bahrain_GP,9,-0.0018393623543838135,-1
2,Lights-out race starts,all,2024_Italy_GP,9,-0.0018393623543838135,-1
2,Lights-out race starts,all,2024_LasVegas_GP,9,-0.003429355281207133,-1
2,Lights-out race starts,all,2024_Qatar_GP,9,-0.003429355281207133,-1
2,Lights-out race starts,all,2024_SaoPaulo_GP,9,-0.003429355281207133,-1
2,Lights-out race starts,all,2025_Belgium_GP,9,-0.0018393623543838135,-1
2,Lights-out race starts,all,2025_Japan_GP,9,-0.0018393623543838135,-1
2,Lights-out race starts,assigned,2023_Australia_GP,9,-0.0024489795918367346,-1
2,Lights-out race starts,assigned,2023_Qatar_GP,9,-0.004541326067211626,-1
2,Lights-out race starts,assigned,2023_Singapore_GP,9,-0.004541326067211626,-1
2,Lights-out race starts,assigned,2024_Bahrain_GP,9,-0.0024489795918367346,-1
2,Lights-out race starts,assigned,2024_Italy_GP,9,-0.0024489795918367346,-1
2,Lights-out race starts,assigned,2024_LasVegas_GP,9,-0.004541326067211626,-1
2,Lights-out race starts,assigned,2024_Qatar_GP,9,-0.004541326067211626,-1
2,Lights-out race starts,assigned,2024_SaoPaulo_GP,9,-0.004541326067211626,-1
2,Lights-out race starts,assigned,2025_Belgium_GP,9,-0.0024489795918367346,-1
2,Lights-out race starts,assigned,2025_Japan_GP,9,-0.0024489795918367346,-1
3,Mirror checks defending,all,2023_Australia_GP,9,-0.0010498687664041995,-1
3,Mirror checks defending,all,2023_Qatar_GP,9,-0.0010498687664041995,-1
3,Mirror checks defending,all,2023_Singapore_GP,9,0.008593881324592368,1
3,Mirror checks defending,all,2024_Bahrain_GP,9,-0.0010498687664041995,-1
3,Mirror checks defending,all,2024_Italy_GP,9,0.008593881324592368,1
3,Mirror checks defending,all,2024_LasVegas_GP,9,0.008593881324592368,1
