pair_id,event_id,register,threshold,n_total,n_assigned,n_unassigned,coverage,unassigned_rate
P01,2023_Australia_GP,HIGHLIGHT,0.35,68,65,3,0.9558823529411765,0.04411764705882353
P01,2023_Australia_GP,FULL_RACE,0.35,2466,1946,520,0.7891321978913219,0.21086780210867803
P02,2023_Qatar_GP,HIGHLIGHT,0.35,50,50,0,1.0,0.0
P02,2023_Qatar_GP,FULL_RACE,0.35,1336,1046,290,0.7829341317365269,0.21706586826347304
P03,2023_Singapore_GP,HIGHLIGHT,0.35,60,60,0,1.0,0.0
P03,2023_Singapore_GP,FULL_RACE,0.35,1635,1407,228,0.8605504587155963,0.13944954128440368
P04,2024_Bahrain_GP,HIGHLIGHT,0.35,72,71,1,0.9861111111111112,0.013888888888888888
P04,2024_Bahrain_GP,FULL_RACE,0.35,1322,1046,276,0.7912254160363086,0.2087745839636914
P05,2024_SaoPaulo_GP,HIGHLIGHT,0.35,96,92,4,0.9583333333333334,0.041666666666666664
P05,2024_SaoPaulo_GP,FULL_RACE,0.35,1905,1580,325,0.8293963254593176,0.17060367454068243
P06,2024_Italy_GP,HIGHLIGHT,0.35,69,69,0,1.0,0.0
P06,2024_Italy_GP,FULL_RACE,0.35,1458,1187,271,0.8141289437585734,0.1858710562414266
P07,2024_LasVegas_GP,HIGHLIGHT,0.35,105,97,8,0.9238095238095239,0.0761904761904762
P07,2024_LasVegas_GP,FULL_RACE,0.35,1344,1113,231,0.828125,0.171875
P08,2024_Qatar_GP,HIGHLIGHT,0.35,55,54,1,0.9818181818181818,0.01818181818181818
P08,2024_Qatar_GP,FULL_RACE,0.35,1631,1351,280,0.8283261802575107,0.17167381974248927
P09,2025_Belgium_GP,HIGHLIGHT,0.35,65,63,2,0.9692307692307692,0.03076923076923077
P09,2025_Belgium_GP,FULL_RACE,0.35,2232,1768,464,0.7921146953405018,0.2078853046594982
P10,2025_Japan_GP,HIGHLIGHT,0.35,81,77,4,0.9506172839506173,0.04938271604938271
P10,2025_Japan_GP,FULL_RACE,0.35,1547,1268,279,0.8196509372979961,0.18034906270200388
P01,2023_Australia_GP,HIGHLIGHT,0.4,68,65,3,0.9558823529411765,0.04411764705882353
P01,2023_Australia_GP,FULL_RACE,0.4,2466,1777,689,0.7206001622060016,0.27939983779399835
