fr_cluster,size,n_enriched,sessions_present,mean_cosine_to_centroid
0,194,38,10,0.6737370491027832
1,41,12,5,0.7052692770957947
2,227,43,10,0.6358394026756287
3,1046,220,10,0.672071635723114
4,58,10,9,0.6771073937416077
5,44,10,10,0.6721773147583008
6,57,9,9,0.5728631019592285
7,468,70,10,0.6323065757751465
8,49,15,10,0.7019498944282532
9,69,13,10,0.6411641240119934
10,74,15,10,0.6692950129508972
11,61,19,10,0.6895407438278198
12,117,22,9,0.5768892168998718
13,758,144,10,0.637231171131134
14,194,39,10,0.6143710613250732
15,44,11,10,0.6366081833839417
16,131,8,10,0.5512108206748962
17,94,13,10,0.5971623063087463
18,405,93,10,0.5299506783485413
19,76,11,10,0.6283066868782043
20,72,11,10,0.6206874847412109
21,366,60,10,0.6553432941436768
22,50,10,10,0.606210470199585
23,1429,16,10,0.40380001068115234
24,97,11,10,0.6192491054534912
25,495,6,10,0.5129396319389343
26,74,13,10,0.6739961504936218
27,1345,7,10,0.6337077617645264
28,692,10,10,0.6328506469726562
29,198,45,10,0.6723238229751587
30,152,24,10,0.7175825238227844
31,137,21,10,0.6011125445365906
32,48,8,9,0.6787378191947937
33,44,10,9,0.7001546621322632
34,57,12,10,0.6958643794059753
35,89,35,10,0.6726104021072388
36,258,35,10,0.6585182547569275
37,47,6,10,0.6780449151992798
38,49,11,10,0.6717563271522522
39,44,6,8,0.6757074594497681
40,51,7,10,0.7221071720123291
41,732,75,10,0.6425204873085022
42,171,24,10,0.7025088667869568
43,108,28,10,0.6040225028991699
44,118,25,10,0.6707955598831177
45,270,25,10,0.6458669304847717
46,69,10,10,0.610020101070404
47,82,8,10,0.6534340381622314
