mcs,n_clusters,noise_fraction,assigned_fraction,DBCV,silhouette,min_cluster_size_observed,median_cluster_size,max_cluster_size,mean_enriched_terms,degenerate_flag
10,202,0.36394880303389426,0.6360511969661057,0.20047508295863448,0.5395850539207458,10,25.5,1051,4.623762376237623,False
15,145,0.3893695188433278,0.6106304811566722,0.17029441076081903,0.5547310709953308,15,33.0,660,5.551724137931035,False
20,112,0.3728371652050249,0.6271628347949751,0.20749350536442773,0.5865508913993835,20,40.5,821,6.705357142857143,False
25,81,0.3720668404835269,0.6279331595164731,0.30127128977496487,0.602064847946167,25,55.0,1069,8.876543209876543,False
30,65,0.31672197203128705,0.683278027968713,0.17387578330754414,0.5484241247177124,31,61.0,1427,10.307692307692308,False
35,53,0.3177293197440152,0.6822706802559848,0.24962717051017627,0.5767199993133545,35,77.0,1446,12.452830188679245,False
40,48,0.3155368570751363,0.6844631429248638,0.3909595031449056,0.5776184797286987,41,95.5,1429,14.25,False
45,43,0.33088409575728844,0.6691159042427115,0.24509968873262689,0.5859895348548889,45,115.0,1469,15.0,False
50,38,0.38990282057359565,0.6100971794264044,0.26910222618854024,0.6245841979980469,51,128.0,1326,16.394736842105264,False
60,32,0.39280635221616494,0.607193647783835,0.21112982319202733,0.6348527073860168,62,189.0,1332,18.46875,False
70,28,0.40424271154301966,0.5957572884569803,0.19476413413793403,0.6551034450531006,74,236.0,1415,19.571428571428573,False
80,22,0.3542308603934582,0.6457691396065418,0.17970251899726092,0.579276442527771,89,333.0,2533,25.5,False
100,18,0.3717705617444892,0.6282294382555108,0.23545313043538144,0.5972559452056885,125,374.5,2315,28.88888888888889,False
125,16,0.3765110215690922,0.6234889784309078,0.3342624715870952,0.6018341779708862,194,377.0,2391,31.5,False
150,16,0.39179900450343685,0.6082009954965631,0.32338674562957037,0.6125156283378601,194,374.5,2282,31.1875,False
200,3,0.019435885280872246,0.9805641147191277,0.0056324692102342365,0.28385841846466064,228,1128.0,15192,47.0,True
