seed,failed,n_clusters,noise_fraction,is_degenerate
0,False,51,0.357963972505333,False
1,False,44,0.33449869637354823,False
2,False,46,0.3358023228253141,False
3,False,48,0.36898554159753494,False
4,False,47,0.36768191514576914,False
5,False,49,0.3777553922730505,False
6,False,51,0.37882199573358616,False
7,False,50,0.3577862052619104,False
8,False,48,0.3722446077269495,False
9,False,52,0.3881251481393695,False
10,False,48,0.3574899265228727,False
11,False,47,0.37105949277079875,False
12,False,47,0.3557122540886466,False
13,False,47,0.38628821995733587,False
14,False,51,0.3665560559374259,False
15,False,54,0.37686655605593744,False
16,False,46,0.3003081298885992,False
17,False,48,0.37165205024887416,False
18,False,48,0.34789049537805167,False
19,False,49,0.3904361223038635,False
