fr_cluster,term,in_cluster,cluster_size,p_value,significant,weight
0,penalty,149,194,5.976694773064678e-297,True,0.7680412371134021
0,second penalty,52,194,2.075659278280352e-100,True,0.268041237113402
0,second,72,194,8.786881704840257e-50,True,0.3711340206185567
0,10 second,24,194,1.8573142935724571e-44,True,0.1237113402061855
0,stewards,23,194,1.0874809977005058e-41,True,0.1185567010309278
0,10,28,194,8.84121133605416e-25,True,0.1443298969072164
0,penalties,14,194,3.2686210878955353e-22,True,0.0721649484536082
0,time penalty,10,194,3.4763238631431083e-19,True,0.0515463917525773
0,stop penalty,9,194,2.9101969767957147e-18,True,0.0463917525773195
0,second time,9,194,7.68237782669573e-12,True,0.0463917525773195
0,got penalty,5,194,1.9070277803443807e-10,True,0.0257731958762886
0,collision,7,194,4.2003401353560736e-10,True,0.0360824742268041
0,second stop,8,194,4.859768908421459e-10,True,0.0412371134020618
0,place penalty,5,194,1.1335347806337195e-09,True,0.0257731958762886
0,penalty causing,4,194,1.6934406689458103e-08,True,0.0206185567010309
0,penalty track,4,194,1.6934406689458103e-08,True,0.0206185567010309
0,causing collision,5,194,2.3144044801377633e-08,True,0.0257731958762886
0,got second,6,194,3.5348510744709935e-08,True,0.0309278350515463
0,grid penalty,4,194,8.390922233515275e-08,True,0.0206185567010309
0,causing,5,194,1.414448458572353e-07,True,0.0257731958762886
0,applied,4,194,5.768342710445175e-07,True,0.0206185567010309
0,going penalty,3,194,1.495990806655636e-06,True,0.0154639175257731
0,penalty 10,3,194,1.495990806655636e-06,True,0.0154639175257731
0,penalty applied,3,194,1.495990806655636e-06,True,0.0154639175257731
0,penalty dropped,3,194,1.495990806655636e-06,True,0.0154639175257731
0,warning,4,194,5.245649921014979e-06,True,0.0206185567010309
0,incoming,3,194,5.93316000655417e-06,True,0.0154639175257731
0,penalty hanging,3,194,5.93316000655417e-06,True,0.0154639175257731
0,track limits,6,194,9.140213900212124e-06,True,0.0309278350515463
0,limits,6,194,1.048289846439374e-05,True,0.0309278350515463
0,time,24,194,1.1596579764343335e-05,True,0.1237113402061855
0,penalised,3,194,1.4707036182882696e-05,True,0.0154639175257731
0,given,7,194,4.036172446215672e-05,True,0.0360824742268041
0,place grid,3,194,5.060544489127872e-05,True,0.0154639175257731
0,serve,3,194,5.060544489127872e-05,True,0.0154639175257731
0,expect,6,194,0.0001094234570137,True,0.0309278350515463
0,stop,13,194,0.0001949588089955,True,0.0670103092783505
0,confirmation,3,194,0.0002305922954512,True,0.0154639175257731
1,chicane,40,41,3.3798324673108195e-107,True,0.975609756097561
1,speed chicane,6,41,9.801448886576758e-16,True,0.1463414634146341
1,second chicane,5,41,1.375551817998772e-12,True,0.1219512195121951
1,chicane end,4,41,1.4961523437689456e-10,True,0.0975609756097561
1,high speed,6,41,2.590079190345442e-10,True,0.1463414634146341
1,speed,8,41,5.895684546964338e-09,True,0.1951219512195122
1,high,6,41,2.4978981495428005e-08,True,0.1463414634146341
1,final chicane,3,41,2.648528832427053e-07,True,0.073170731707317
1,end lap,3,41,1.7171999372888167e-05,True,0.073170731707317
1,slipstream,3,41,5.162941833589741e-05,True,0.073170731707317
1,run,5,41,5.938688152546069e-05,True,0.1219512195121951
1,second,8,41,0.0002228294592024,True,0.1951219512195122
2,drs,214,227,0.0,True,0.9427312775330396
2,drs zone,21,227,3.852728982244407e-37,True,0.092511013215859
2,got drs,18,227,1.9476009270238588e-32,True,0.079295154185022
