mcs,effective_min_samples,min_samples_passed,n_clusters,noise_fraction,assigned_fraction,DBCV,silhouette,min_cluster_size_observed,median_cluster_size,max_cluster_size,mean_enriched_terms,frac_interpretable,degenerate_flag
10,10,None (resolves to min_cluster_size),202,0.3639488030338942,0.6360511969661057,0.2004750829586344,0.5395850539207458,10,25.5,1051,5.633663366336633,0.4405940594059406,False
15,15,None (resolves to min_cluster_size),145,0.3893695188433278,0.6106304811566722,0.170294410760819,0.5547310709953308,15,33.0,660,7.0137931034482754,0.5586206896551724,False
20,20,None (resolves to min_cluster_size),112,0.3728371652050249,0.6271628347949751,0.2074935053644277,0.5865508913993835,20,40.5,821,8.008928571428571,0.6160714285714286,False
25,25,None (resolves to min_cluster_size),81,0.3720668404835269,0.6279331595164731,0.3012712897749648,0.602064847946167,25,55.0,1069,10.209876543209877,0.7160493827160493,False
30,30,None (resolves to min_cluster_size),65,0.316721972031287,0.683278027968713,0.1738757833075441,0.5484241247177124,31,61.0,1427,11.707692307692309,0.8153846153846154,False
35,35,None (resolves to min_cluster_size),53,0.3177293197440152,0.6822706802559848,0.2496271705101762,0.5767199993133545,35,77.0,1446,14.320754716981131,0.9056603773584906,False
40,40,None (resolves to min_cluster_size),48,0.3155368570751363,0.6844631429248638,0.3909595031449056,0.5776184797286987,41,95.5,1429,15.875,0.9583333333333334,False
45,45,None (resolves to min_cluster_size),43,0.3308840957572884,0.6691159042427115,0.2450996887326268,0.5859895348548889,45,115.0,1469,16.767441860465116,0.9534883720930232,False
50,50,None (resolves to min_cluster_size),38,0.3899028205735956,0.6100971794264044,0.2691022261885402,0.6245841979980469,51,128.0,1326,17.973684210526315,0.9210526315789472,False
60,60,None (resolves to min_cluster_size),32,0.3928063522161649,0.607193647783835,0.2111298231920273,0.6348527073860168,62,189.0,1332,20.28125,0.9375,False
70,70,None (resolves to min_cluster_size),28,0.4042427115430196,0.5957572884569803,0.194764134137934,0.6551034450531006,74,236.0,1415,21.535714285714285,0.9285714285714286,False
80,80,None (resolves to min_cluster_size),22,0.3542308603934582,0.6457691396065418,0.1797025189972609,0.579276442527771,89,333.0,2533,26.681818181818183,0.9090909090909092,False
100,100,None (resolves to min_cluster_size),18,0.3717705617444892,0.6282294382555108,0.2354531304353814,0.5972559452056885,125,374.5,2315,29.38888888888889,0.8888888888888888,False
125,125,None (resolves to min_cluster_size),16,0.3765110215690922,0.6234889784309078,0.3342624715870952,0.6018341779708862,194,377.0,2391,31.5625,0.9375,False
150,150,None (resolves to min_cluster_size),16,0.3917990045034368,0.6082009954965631,0.3233867456295703,0.6125156283378601,194,374.5,2282,30.9375,0.9375,False
200,200,None (resolves to min_cluster_size),3,0.0194358852808722,0.9805641147191276,0.0056324692102342,0.2838584184646606,228,1128.0,15192,39.333333333333336,1.0,True
