mcs_low,mcs_high,n_clusters_low,n_clusters_high,ari_all,ari_co_clustered,hungarian_mean_jaccard,median_matched_jaccard,recovery_proportion,major_splits,major_merges,either_degenerate
10,15,202,145,0.7105018708587504,0.8903352202700188,0.8635982079381077,0.9263157894736842,0.9448275862068966,0,1,False
15,20,145,112,0.721071260869468,0.9149157119485744,0.912876353560909,0.955070281124498,0.9821428571428572,0,1,False
20,25,112,81,0.7798170689748967,0.924866516399818,0.896495945092519,0.956989247311828,0.9876543209876544,0,0,False
25,30,81,65,0.6677951725661831,0.9541236343515574,0.9243929631289334,0.9666666666666668,0.9846153846153848,0,0,False
30,35,65,53,0.8740169136006846,0.9917690907179162,0.9265381455355814,0.975,0.981132075471698,0,1,False
35,40,53,48,0.8577796696203202,0.9928066255117638,0.9517434669033568,0.9679945522642152,0.9791666666666666,0,0,False
40,45,48,43,0.9143014491283236,0.9993008181299808,0.950852896550003,0.9827586206896552,1.0,0,1,False
45,50,43,38,0.7532378585300524,0.986617232193067,0.893019537823459,0.9767854649887318,0.8947368421052632,0,0,False
50,60,38,32,0.8852542750721395,0.9981154770163504,0.9215978294325238,0.9748039049715028,0.9375,0,1,False
60,70,32,28,0.8969976649840762,0.9799738662371388,0.92821791938559,0.9728786666105004,0.9642857142857144,0,1,False
70,80,28,22,0.7319548846866474,0.8946576654045437,0.9381908928753828,0.9764446472019463,0.9545454545454546,0,0,False
80,100,22,18,0.8113088838982102,0.9946974827859044,0.9326427075883325,0.9635715031383348,1.0,0,0,False
100,125,18,16,0.8545145251255165,0.991470126088352,0.9368923010935816,0.9463086280953616,1.0,0,0,False
125,150,16,16,0.9349360399454332,0.999824606751594,0.965794456273296,0.9864850395793952,1.0,0,0,False
150,200,16,3,0.0765986033400841,0.0727691745722606,0.6957557915887048,0.9370567375886524,0.6666666666666666,0,0,True
