fr_cluster,size,n_enriched,top_terms,races_present,mean_cosine_to_centroid,representative_1_sha1,representative_2_sha1,representative_3_sha1
0,194,38,"penalty, second penalty, second, 10 second, stewards, 10, penalties, time penalty, stop penalty, second time, got penalty, collision, second stop, place penalty, penalty track",10,0.673737108707428,3ccd6c7657a1a648,3d5736f477d0abe4,d47c19ae727e740b
1,41,12,"chicane, speed chicane, second chicane, chicane end, high speed, speed, high, final chicane, end lap, slipstream, run, second",5,0.7052692770957947,f20f0c5dcd30e641,2216112e4cdeed46,cd069601606fbe29
2,227,43,"drs, drs zone, got drs, drs range, zone, range, zones, drs zones, slam, slam dunk, dunk, drs train, defend, inside drs, drs try",10,0.6358395218849182,4d25eedda972349b,cb36de667ee418ae,1fe2a49d00b3bda6
3,1046,220,"prix, grand prix, grand, formula, prix year, winner, lap grand, prix far, prix victory, australian, australian grand, time grand, win grand, prix winner, won",10,0.6720716953277588,4a2ea175502bbdb7,023c7e5336295c9c,df84212283896e2a
4,58,10,"sonoda, ricardo, sonota, 11th, position, position lost, past sonoda, rb, score, place",9,0.6771073937416077,1998bd314b797537,9b379ce1dbc15fd6,6caf523d80e3c4c4
5,44,10,"commentary, commentary box, box, dc, louis, past commentary, yeah looking, window, box window, watching",10,0.6721773147583008,8dfc2c4c4b380019,9decdc8cd85b0b25,a3ad72dae5284493
6,57,9,"medium, mediums, hards, soft, softs, hard, set hards, started soft, soft hard",9,0.5728630423545837,c7a355d361d6aaa4,e816362bf4acecb6,764b944e34073044
7,468,70,"pit, lane, pit lane, pit stop, pits, stop, pitted, pit stops, stops, make pit, pit wall, pitting, started pit, pit exit, coming pits",10,0.6323066353797913,6fc76148729d533f,25f1867d3cdc909d,e88b275d6bb6050b
8,49,15,"overtake, overtaking, overtakes, overtake start, start finish, finish line, ve seen, lot overtaking, brilliant, easy, overtaking going, plenty overtakes, finish, seen, possibility",10,0.7019498944282532,d029bb24052279d2,430c3dc8938ae0ab,5919d8a2641ddcc2
9,69,13,"radio, radio message, team radio, message, radio saying, hear, heard, chatter, engineer, broadcast, headphones, reporting, loud",10,0.6411641836166382,c97ffcb56914f6b0,a968c4a66fde0833,7d000c32332e3ad6
10,74,15,"qualifying, yesterday, qualifying yesterday, qualifying performance, session, qualified, yesterday qualifying, qualifying session, worst qualifying, best qualifying, performance, result year, worst, good qualifying, practice",10,0.6692950129508972,c815fb64be59f660,8fd6ee34d5f02459,a268bc7c5e55b9ba
11,61,19,"pole, pole position, position, pole sitter, sitter, took pole, fourth pole, position season, pole year, time career, career, yesterday, convert, fourth, took",10,0.689540684223175,757803119fd52ed4,593588b834e2b3f3,05af0f81a2d290f4
12,117,22,"restart, aborted, procedure, order, aborted start, going restart, start, start aborted, standing start, restart going, start procedure, restart order, standing, restart procedure, reset",9,0.5768892168998718,6c81bf6893a9883b,b84aa4bd576c3748,82038d28bded70d0
13,758,144,"tyres, tires, tyre, tire, hard, medium, soft, hard tyre, hard tyres, hard tires, hard tire, soft tire, medium tyre, new, medium tire",10,0.637231171131134,6ad139828f8f902d,0c40c552ad37c858,7e7b1e6f062d00ea
14,194,39,"flag, red, red flag, yellow, green, yellow flag, green flag, flags, black, chequered, chequered flag, green light, light, yellow flags, black white",10,0.6143710613250732,b4bf8c49f159b2ef,c93ca7c2b5cd06fe,5c92984760726318
15,44,11,"strategy, strategic, play, choices, audacious, different strategy, strategy work, options, stop strategy, tactical, like ve",10,0.6366081833839417,dc4082981fccc4d7,d7aa185c6b92c31f,7119711ea4ca9397
16,131,8,"drink, cup tea, tea, traveled, party, cup, moment, venue",10,0.551210880279541,a1e6345b3cb79378,418c886c8d0c10cc,07510725f22aec3e
17,94,13,"circuit, degradation, circuits, street circuit, street, high, fans, fans circuit, handers, right handers, week, corners circuit, debris circuit",10,0.5971623063087463,d1e00e3c305a8c45,629146161f08cb5e,084e5e2814e8eb22
18,405,93,"rain, wet, dry, weather, drying, water, heavy, raining, sun, temperature, degrees, shower, rain coming, standing water, surface",10,0.5299506783485413,08c5c72a6e0857c2,f6c6024b710c9713,0e4dd73f47297e21
19,76,11,"battle, fight, got battle, battle second, looking battle, battle win, fighting, interesting, battle fifth, ll fight, really interesting",10,0.6283066868782043,617aeb83e4ce53fb,a9cdd36f1a3219ab,09ee4dd9b6c71cde
20,72,11,"thank, thanks, company, appreciate, good job, job, congratulations, thank having, good, meet, really good",10,0.6206874847412109,c42ef627d0130f87,2487e30ad665cf2f,bb7554cf498a7655
21,366,60,"lap, fastest lap, quicker lap, fastest, quicker, lap lap, opening lap, tenths, lap time, restart lap, lap times, point fastest, tenths quicker, second lap, bonus point",10,0.6553432941436768,240bdd685eacfa39,ac27910d74f8873b,ad8f0391e0ee7848
22,50,10,"season, long season, long, competitive season, perfect season, spoiled, competitive, highlights, job today, rest season",10,0.606210470199585,2fd3f96192737704,728a028fc5b47e25,6d936999ffef9d37
23,1429,16,"weekend, yeah, fans, fun, oh, exciting, drama, let look, let, grateful, don, thing, special, going happen, happen",10,0.4038000106811523,781b7eede025eb4f,f2190e0e364a0941,458f5f4f321f6609
24,97,11,"corner, final corner, corners, final, couple corners, understeer, entry, wall, curb, fast corner, greedy",10,0.619249165058136,8244d640c076823a,a81fcad169f401ce,e514ca800b0392cc
25,495,6,"inside, stop, stopper, don think, dive, inside line",10,0.5129396319389343,3f4976b3490a96b8,f9c60a0604052ef5,879f199e0bc7d30c
26,74,13,"battle, fight, fighting, attacking, defend, fights way, defensive, fights, defence, defending, trying fight, battle looking, battling",10,0.6739961504936218,3acffcbc6e5f3797,a8ccbdb7f9d4777f,665149382cd1911a
27,1345,7,"past, outside, close, ahead, corner, inside, getting away",10,0.6337077617645264,b72895d54bca2889,3a6a9c87858d3f3d,15d9a991f8e03610
28,692,10,"team, principal, team principal, run ended, strategy, teammates, asking, role, winning run, smiles",10,0.6328506469726562,9647a4495f668bb5,ef877842af86cab1,9508c00b18a28b82
29,198,45,"podium, trophy, career podium, career, podiums, podium year, enjoy podium, enjoy, podium season, double podium, podium time, gold medal, medal, fourth career, podium today",10,0.6723238229751587,7c32fe7c3ddc92e9,ed9204dda22e90f8,76d510cf83f6d690
30,152,24,"seconds, second, gap, tenths, quicker, half, tenths second, seconds away, gap seconds, second away, seconds ahead, away, seconds quicker, half second, ahead",10,0.717582643032074,c921296b9d6e3736,f80e66e73a1f6877,e0b9fe259f74de80
31,137,21,"gap, seconds, tenths, tenths second, gap seconds, second, separated, second gap, gaps, separated tenths, gap half, gap just, half, local time, local",10,0.6011124849319458,d750f0cc79cd11ea,3850dcc0f234ad5b,a903d20ca1689839
32,48,8,"points, going points, way points, point, point currently, couple points, points year, currently",9,0.6787378191947937,c9daca34e0a9c826,abffcc0e72f9f8c0,6d84d8411f52b8b2
33,44,10,"constructors, championship, constructors championship, win constructors, points, position win, stands, championship year, context, crown",9,0.7001546621322632,1a25c99e5fc3e211,f84591d96a87cf77,f8ebee552d825537
34,57,12,"win, wins, winner, won, win number, fourth, win year, history, title, win row, 10 points, going win",10,0.6958644390106201,dee47bf73fe99e06,3021a75c40a1123b,f375bd0a09e5df8b
35,89,35,"world, champion, world champion, time world, time, championship, world championship, seven time, time champion, seven, got world, time winner, title, win, winner circuit",10,0.6726104617118835,4cfd536a1087f677,e4eafe2b23717257,a4b7f529d9ff5826
36,258,35,"fifth, place, position, sixth, seventh, fourth, ninth, eighth, 7th, fifth place, 10th, 14th, ninth position, 11th, fifth sixth",10,0.6585182547569275,31be2a41332be820,85e0b9e07b8e2bcb,9a1230de0f703400
37,47,6,"position, eighth, fourth, eighth position, eighth place, fourth position",10,0.6780449151992798,1653e80f8c8220af,87f2f162ef0b2831,9ee118ea0313d810
