iteration,n_lcs_in_10of10_races_under_shuffle,mean_races_per_lc_under_shuffle
0,40,9.64406779661017
1,32,9.338983050847459
2,33,9.40677966101695
3,38,9.508474576271187
4,37,9.40677966101695
5,36,9.525423728813559
6,37,9.525423728813559
7,37,9.508474576271187
8,30,9.305084745762711
9,35,9.440677966101696
10,36,9.457627118644067
11,39,9.40677966101695
12,38,9.491525423728813
13,40,9.559322033898304
14,35,9.440677966101696
15,38,9.559322033898304
16,38,9.508474576271187
17,42,9.542372881355933
18,37,9.457627118644067
19,37,9.440677966101696
20,39,9.542372881355933
21,37,9.423728813559322
22,36,9.40677966101695
23,37,9.576271186440678
24,39,9.40677966101695
25,35,9.389830508474576
26,37,9.389830508474576
27,35,9.423728813559322
28,31,9.338983050847459
29,35,9.440677966101696
30,40,9.491525423728813
31,33,9.305084745762711
32,36,9.457627118644067
33,35,9.40677966101695
34,40,9.542372881355933
35,38,9.508474576271187
36,39,9.508474576271187
37,36,9.423728813559322
38,36,9.474576271186441
39,35,9.423728813559322
40,42,9.627118644067796
41,39,9.576271186440678
42,39,9.474576271186441
43,34,9.440677966101696
44,40,9.508474576271187
45,33,9.40677966101695
46,35,9.423728813559322
47,36,9.474576271186441
48,42,9.610169491525424
49,33,9.35593220338983
50,33,9.322033898305085
51,35,9.457627118644067
52,33,9.338983050847459
53,39,9.542372881355933
54,36,9.457627118644067
55,39,9.559322033898304
56,37,9.457627118644067
57,34,9.389830508474576
58,36,9.525423728813559
59,37,9.491525423728813
60,33,9.389830508474576
61,38,9.542372881355933
62,38,9.440677966101696
63,34,9.457627118644067
64,29,9.220338983050848
65,31,9.338983050847459
66,37,9.491525423728813
67,41,9.64406779661017
68,42,9.627118644067796
69,29,9.271186440677965
70,38,9.525423728813559
71,33,9.40677966101695
72,39,9.491525423728813
73,33,9.423728813559322
74,35,9.491525423728813
75,35,9.40677966101695
76,36,9.508474576271187
77,36,9.440677966101696
78,38,9.559322033898304
79,32,9.322033898305085
80,32,9.40677966101695
81,40,9.525423728813559
82,36,9.372881355932204
83,33,9.389830508474576
84,42,9.59322033898305
85,34,9.474576271186441
86,33,9.288135593220339
87,35,9.457627118644067
88,40,9.508474576271187
89,38,9.576271186440678
90,42,9.559322033898304
91,41,9.525423728813559
92,39,9.525423728813559
93,37,9.508474576271187
94,42,9.610169491525424
95,39,9.491525423728813
96,39,9.457627118644067
97,33,9.440677966101696
98,39,9.64406779661017
99,35,9.372881355932204
100,41,9.474576271186441
101,36,9.440677966101696
102,39,9.559322033898304
103,44,9.677966101694915
104,33,9.474576271186441
105,40,9.559322033898304
106,40,9.440677966101696
107,36,9.508474576271187
108,38,9.474576271186441
109,36,9.508474576271187
110,37,9.491525423728813
111,37,9.491525423728813
112,39,9.542372881355933
113,39,9.576271186440678
114,39,9.491525423728813
115,36,9.508474576271187
116,35,9.491525423728813
117,32,9.271186440677965
118,37,9.576271186440678
119,37,9.40677966101695
120,42,9.559322033898304
121,40,9.542372881355933
