cell,cache,mcs,cluster,n_viable_runs,n_pass,pass_rate_viable,n_reconstructed,reconstruction_rate_all_runs,median_rep_strict,iqr_lo_rep_strict,iqr_hi_rep_strict,median_rep_dir,iqr_lo_rep_dir,iqr_hi_rep_dir,median_den,min_den,max_den
A30,A,30,0,44,23,0.5227272727272727,44,1.0,0.5,0.44362745098039214,0.5714285714285714,0.725975975975976,0.681549960660897,0.7792792792792793,33.0,25,45
A30,A,30,1,44,44,1.0,44,1.0,0.8169856459330144,0.7449324324324325,0.8611111111111112,0.8683298683298684,0.8132309941520468,0.9379734848484849,34.0,27,39
A30,A,30,2,44,31,0.7045454545454546,43,0.96,0.5333333333333333,0.4641025641025641,0.6666666666666666,0.6153846153846154,0.5,0.6833333333333333,10.0,0,18
A30,A,30,3,44,17,0.38636363636363635,27,0.58,0.5263157894736842,0.4232954545454546,0.6055555555555556,0.6111111111111112,0.5,0.6899038461538461,10.5,0,22
A30,A,30,4,44,19,0.4318181818181818,26,0.52,0.5643939393939394,0.47115384615384615,0.6363636363636364,0.6,0.5402097902097902,0.7272727272727273,10.0,0,15
A30,A,30,5,44,2,0.045454545454545456,15,0.3,0.14285714285714285,0.1111111111111111,0.275,0.2,0.11805555555555555,0.275,0.0,0,17
A30,A,30,6,44,16,0.36363636363636365,44,0.88,0.47646733111849393,0.4379625255865218,0.5188834154351396,0.736863711001642,0.7099637681159421,0.7758506407423773,85.0,62,94
A30,A,30,7,44,4,0.09090909090909091,5,0.1,0.6363636363636364,0.5555555555555556,0.64,0.76,0.6296296296296297,0.8181818181818182,0.0,0,27
A30,A,30,8,44,44,1.0,44,0.9,0.6909814323607427,0.6034883720930232,0.7916666666666666,0.8311111111111111,0.7610837438423645,0.8846153846153846,27.0,18,45
A30,A,30,9,44,31,0.7045454545454546,44,0.88,0.5297619047619048,0.4777432712215321,0.6205357142857143,0.7060185185185186,0.626984126984127,0.782608695652174,24.0,13,31
A30,A,30,10,44,18,0.4090909090909091,35,0.72,0.5,0.26785714285714285,0.6666666666666666,0.5,0.30952380952380953,0.6666666666666666,5.0,0,9
A30,A,30,11,44,17,0.38636363636363635,41,0.82,0.4642857142857143,0.4,0.5238095238095238,0.625,0.5483870967741935,0.7083333333333334,24.5,0,33
A30,A,30,12,44,28,0.6363636363636364,44,0.88,0.5317028985507246,0.47408026755852845,0.5913299663299664,0.7037037037037037,0.6666666666666666,0.76,25.0,20,30
A30,A,30,13,44,24,0.5454545454545454,44,0.88,0.5092592592592593,0.44619565217391305,0.5823586744639376,0.729020979020979,0.6482793522267206,0.8,21.5,13,32
A30,A,30,14,44,15,0.3409090909090909,44,0.88,0.45416666666666666,0.3924689440993789,0.5282738095238095,0.6324561403508772,0.5833333333333334,0.6967391304347825,24.0,17,33
A30,A,30,15,44,39,0.8863636363636364,44,0.88,0.5727513227513228,0.5240396378761928,0.6056079664570231,0.770125786163522,0.718640350877193,0.8,59.0,51,71
A30,A,30,16,44,32,0.7272727272727273,43,0.86,0.5625,0.4880952380952381,0.6360294117647058,0.6666666666666666,0.5555555555555556,0.7459893048128342,16.5,0,29
A30,A,30,17,44,9,0.20454545454545456,33,0.66,0.4,0.3125,0.5,0.5555555555555556,0.47619047619047616,0.6111111111111112,10.0,0,21
A30,A,30,18,44,30,0.6818181818181818,44,0.88,0.5,0.39375000000000004,0.6666666666666666,0.75,0.61875,1.0,5.0,2,9
A30,A,30,19,44,29,0.6590909090909091,43,0.86,0.5,0.4305555555555556,0.6,0.6666666666666666,0.5634920634920635,0.8,9.0,0,13
A30,A,30,20,44,17,0.38636363636363635,37,0.74,0.4666666666666667,0.4,0.5625,0.6153846153846154,0.5,0.6875,14.0,0,19
