cluster_id,thematic_label,domain,size,mp_agree,mp_class,mp_jaccard,bs_jaccard,bs_class,rep_n_train,rep_dir,rep_strict,npmi,r3_enriched,r3_top_terms,mean_defects,pct_clean,mp_pass,bs_pass,rep_pass,n_axes_passed
6,Grand Prix wins,Narrative & meta,465,7,ROBUST,0.7273333333333333,0.8519275183310876,highly_stable,26.0,0.9615384615384616,0.6153846153846154,0.1751903613593123,79,"prix, grand prix, grand, wins, place grand, person wins, prix person, british, british grand, win, dutch grand, dutch, saudi, belgian, belgian grand",0.29,73.76,True,True,True,3
27,Overtake battles,Race dynamics,762,7,ROBUST,0.6396666666666667,0.6881468366052068,stable,8.0,1.0,0.75,0.0466068947880576,25,"person, inside, person person, past person, inside person, door, corner, ahead person, outside, space, outside person, gets away, getaway, past, goes",0.09,90.81,True,True,True,3
10,Chicane moves,Race dynamics,62,6,ROBUST,0.6766666666666667,0.853236266651907,highly_stable,1.0,1.0,1.0,0.0500497440070985,7,"chicane, place chicane, person chicane, second chicane, chicane person, bold, braking",0.27,74.19,True,True,True,3
28,Corner battles,Race dynamics,82,6,ROBUST,0.3591666666666666,0.6168162246669119,stable,4.0,1.0,0.5,0.0427061864735557,9,"turn, abreast, outside turn, person turn, turns, run, wide, turn number, outside",0.15,85.37,True,True,True,3
2,Lights-out race starts,Race dynamics,54,6,ROBUST,0.6998333333333333,0.8759300481164051,highly_stable,4.0,1.0,0.75,0.1087173214975632,14,"lights, away, away person, getting away, better start, gets decent, start person, good start, start, crazy, reaction, gets away, better, person gets",0.09,90.74,True,True,True,3
26,Defending & attacking,Race dynamics,110,6,ROBUST,0.4404999999999999,0.6641812116224334,stable,9.0,0.7777777777777778,0.3333333333333333,0.0276121563025159,14,"fight, defend, battle, defensive, going fight, person fight, defense, thrown, person going, fights, person fights, attacking, think, person",0.14,87.27,True,True,True,3
22,Wheel-to-wheel,Race dynamics,71,6,ROBUST,0.4735,0.7107576589840524,stable,6.0,0.8333333333333334,0.3333333333333333,0.037725872303461,16,"wheel, wheel wheel, going wheel, went wheel, goes wheel, wheel person, person wheel, wheel action, gaining person, disaster, wheels, tracks, wheel tracks, went, person",0.15,84.51,True,True,True,3
15,Tires & compounds,Strategy & technical,379,7,ROBUST,0.7726666666666667,0.8274382117021774,highly_stable,29.0,0.7931034482758621,0.5172413793103449,0.2916832679045334,71,"tires, tire, hard, tyres, medium, compound, tyre, fresher, soft, hard compound, fresher tires, compound tire, medium tires, medium tire, intermediate",0.26,76.25,True,True,True,3
18,Team dynamics,Narrative & meta,600,7,ROBUST,0.7248333333333333,0.7089008440803826,stable,3.0,1.0,1.0,0.0509992287990369,18,"team, teammate, team person, teammate person, person team, team getting, team team, team order, team goes, team going, team versus, versus team, old teammate, double stack, fast starting",0.2,81.5,True,True,True,3
23,Circuit action,Race dynamics,72,4,ROBUST,0.2336666666666666,0.7001869202982108,stable,1.0,1.0,1.0,0.0307401011202897,5,"racetrack, racetrack person, fireworks, dirty, throttle",0.24,77.78,True,True,True,3
0,DRS-assisted battles,Race dynamics,205,7,ROBUST,0.7909999999999999,0.9666427767395336,highly_stable,14.0,0.7857142857142857,0.6428571428571429,0.0491544304050003,41,"drs, got drs, drs person, drs zone, zone, enabled, bit drs, open, got, extra, drs open, second drs, speed, speed advantage, wing open",0.3,72.2,True,True,True,3
