pipeline,n_clusters,noise_rate,ari_vs_p1,nmi_vs_p1,jaccard_vs_p1,note
P0b_OurStack_mcs10,86,0.3219563227409441,0.9174002414225384,0.9556257623084194,0.7645687187204447,"SUPERSEDED 2026-08-16: 86 clusters came from a UMAP realisation since overwritten. Canonical mcs=10 on the UMAP that reproduces the published partition (ARI 1.0) gives 83 clusters; ari_vs_p1 here is the co-clustered variant (0.917), not the all-points 0.456 quoted in Methods 4.2. See scripts/regen_mcs10_canonical.py"
P0a_BERTopic_default,125,0.2734405649274225,0.0711865494956868,0.3732778827102097,0.1908856601749548,
P*1_LDA,34,0.0,0.0410138523406271,0.2032749504766844,0.3034551690230998,
P*2_HDBSCAN_no_UMAP,2,0.8904145416503204,0.0259668358424329,0.0585086896717555,0.5476190476190476,
P*3_E5_UMAP_HDBSCAN,3,0.0030077154439649,0.0124863395134528,0.0658943466245265,0.5317460317460317,
P*4_PCA_HDBSCAN,2,0.9180070615927814,0.0156974833832041,0.0769589240493064,0.6228070175438596,
P*5_PCA_L2_HDBSCAN,5,0.8396756898129986,0.0581910769075644,0.1819570977190343,0.392644456992283,
P*6_PCA_cosine_HDBSCAN,5,0.8395449195763044,0.0580433509158283,0.1815734250365934,0.392644456992283,
P*7_KPCA_RBF_HDBSCAN,2,0.8522296325356349,0.0302554889766412,0.1126331767710939,0.6666666666666666,
P*8_PCA_kNN_HDBSCAN,0,1.0,0.0,0.0,0.0,
