cluster,has_estimate,n_train_enriched,n_test_strict,n_test_lenient,n_test_direction,rep_strict,rep_lenient,rep_dir,axis3_pass,axis3_score
0,True,32,16,17,20,0.5,0.53125,0.625,True,0.5
1,True,27,25,26,26,0.9259259259259259,0.9629629629629629,0.9629629629629629,True,0.9259259259259259
2,True,10,6,6,6,0.6,0.6,0.6,True,0.6
3,True,16,9,10,10,0.5625,0.625,0.625,True,0.5625
4,True,10,6,6,6,0.6,0.6,0.6,True,0.6
5,True,6,4,4,4,0.6666666666666666,0.6666666666666666,0.6666666666666666,True,0.6666666666666666
6,True,62,31,44,48,0.5,0.7096774193548387,0.7741935483870968,True,0.5
7,True,11,7,9,9,0.6363636363636364,0.8181818181818182,0.8181818181818182,True,0.6363636363636364
8,True,43,26,27,34,0.6046511627906976,0.627906976744186,0.7906976744186046,True,0.6046511627906976
9,True,13,11,12,12,0.8461538461538461,0.9230769230769231,0.9230769230769231,True,0.8461538461538461
10,True,3,3,3,3,1.0,1.0,1.0,True,1.0
11,True,20,14,16,16,0.7,0.8,0.8,True,0.7
12,True,26,12,15,16,0.46153846153846156,0.5769230769230769,0.6153846153846154,False,0.46153846153846156
13,True,25,15,17,20,0.6,0.68,0.8,True,0.6
14,True,18,12,13,13,0.6666666666666666,0.7222222222222222,0.7222222222222222,True,0.6666666666666666
15,True,65,25,34,40,0.38461538461538464,0.5230769230769231,0.6153846153846154,False,0.38461538461538464
16,True,16,9,10,10,0.5625,0.625,0.625,True,0.5625
17,True,18,6,12,12,0.3333333333333333,0.6666666666666666,0.6666666666666666,False,0.3333333333333333
18,True,3,3,3,3,1.0,1.0,1.0,True,1.0
19,True,10,3,4,5,0.3,0.4,0.5,False,0.3
20,True,16,10,10,12,0.625,0.625,0.75,True,0.625
21,True,15,9,9,9,0.6,0.6,0.6,True,0.6
22,True,9,5,5,7,0.5555555555555556,0.5555555555555556,0.7777777777777778,True,0.5555555555555556
23,True,5,2,2,2,0.4,0.4,0.4,False,0.4
24,True,12,5,5,6,0.4166666666666667,0.4166666666666667,0.5,False,0.4166666666666667
25,True,11,5,6,7,0.45454545454545453,0.5454545454545454,0.6363636363636364,False,0.45454545454545453
26,True,6,2,3,4,0.3333333333333333,0.5,0.6666666666666666,False,0.3333333333333333
27,True,9,5,7,7,0.5555555555555556,0.7777777777777778,0.7777777777777778,True,0.5555555555555556
28,True,6,3,5,5,0.5,0.8333333333333334,0.8333333333333334,True,0.5
29,True,16,6,9,12,0.375,0.5625,0.75,False,0.375
30,True,10,9,9,9,0.9,0.9,0.9,True,0.9
31,True,14,7,9,9,0.5,0.6428571428571429,0.6428571428571429,True,0.5
32,False,0,0,0,0,,,,False,
33,True,21,13,16,17,0.6190476190476191,0.7619047619047619,0.8095238095238095,True,0.6190476190476191
