cluster_id,label,domain,size,A1_score,A2_score,rep_strict,rep_dir,A3_score,A4_score,A1_survival_4of7,A2_bootstrap,A3_heldout,A4_hierarchical,n_met,band
0,DRS-assisted battles,Race dynamics,205,1.000000,0.966643,0.642857,0.785714,0.642857,0.819902,1,1,1,1,4,Strict-core
1,Time penalties,Regulatory,118,1.000000,0.965570,0.833333,0.916667,0.833333,0.797917,1,1,1,1,4,Strict-core
2,Lights-out race starts,Race dynamics,54,1.000000,0.875930,0.750000,1.000000,0.750000,0.702917,1,1,1,1,4,Strict-core
3,Mirror checks defending,Race dynamics,47,1.000000,0.532212,0.750000,0.875000,0.750000,0.727672,1,1,1,1,4,Strict-core
4,Race start launch,Race dynamics,42,1.000000,0.357596,0.500000,0.500000,0.500000,0.861373,1,0,1,1,3,Robust
5,Weather conditions,Strategy & technical,43,1.000000,0.074885,0.428571,0.571429,0.428571,0.716034,1,0,0,1,2,Moderate
6,Grand Prix wins,Narrative & meta,465,0.571429,0.851928,0.615385,0.961538,0.615385,0.686303,1,1,1,1,4,Strict-core
7,Race start lights,Race dynamics,36,0.428571,0.041137,0.571429,0.857143,0.571429,0.864485,0,0,1,1,2,Moderate
8,Race control flags,Regulatory,118,0.857143,0.771984,0.650000,0.950000,0.650000,0.728824,1,1,1,1,4,Strict-core
9,Formula 1 milestones,Narrative & meta,134,0.571429,0.797159,0.833333,1.000000,0.833333,0.671169,1,1,1,1,4,Strict-core
10,Chicane moves,Race dynamics,62,0.857143,0.853236,1.000000,1.000000,1.000000,0.823260,1,1,1,1,4,Strict-core
11,Team radio celebrations,Narrative & meta,55,0.714286,0.640254,0.777778,0.944444,0.777778,0.768748,1,1,1,1,4,Strict-core
12,Podium finishes,Narrative & meta,139,1.000000,0.826374,0.454545,0.818182,0.454545,0.766865,1,1,0,1,3,Robust
13,Championship & title,Narrative & meta,158,0.714286,0.693110,0.500000,0.750000,0.500000,0.491832,1,1,1,0,3,Robust
14,Pit stops,Strategy & technical,185,1.000000,0.775812,0.625000,0.750000,0.625000,0.446841,1,1,1,0,3,Robust
15,Tires & compounds,Strategy & technical,379,0.857143,0.827438,0.517241,0.793103,0.517241,0.575147,1,1,1,1,4,Strict-core
16,Safety car deployment,Regulatory,122,1.000000,0.688725,0.400000,0.500000,0.400000,0.625658,1,1,0,1,3,Robust
17,Gap & pace,Strategy & technical,67,1.000000,0.460959,0.285714,0.642857,0.285714,0.601582,1,0,0,1,2,Moderate
18,Team dynamics,Narrative & meta,600,0.857143,0.708901,1.000000,1.000000,1.000000,0.365429,1,1,1,0,3,Robust
19,Race lead holding,Race dynamics,115,0.857143,0.693910,0.500000,0.500000,0.500000,0.619597,1,1,1,1,4,Strict-core
20,Wing & car damage,Strategy & technical,61,0.714286,0.625832,0.454545,0.636364,0.454545,0.669559,1,1,0,1,3,Robust
21,Braking & lockups,Race dynamics,128,0.571429,0.579301,0.750000,0.750000,0.750000,0.531874,1,1,1,1,4,Strict-core
22,Wheel-to-wheel,Race dynamics,71,0.857143,0.710758,0.333333,0.833333,0.333333,0.639465,1,1,0,1,3,Robust
23,Circuit action,Race dynamics,72,0.142857,0.700187,1.000000,1.000000,1.000000,0.585244,0,1,1,1,3,Robust
24,Inter-car distance,Strategy & technical,60,0.142857,0.411272,0.444444,0.666667,0.444444,0.474830,0,0,0,0,0,Fragile
25,Driver & team references,Narrative & meta,69,0.142857,0.471821,0.571429,0.857143,0.571429,0.480582,0,0,1,0,1,Weak
26,Defending & attacking,Race dynamics,110,0.714286,0.664181,0.333333,0.777778,0.333333,0.481424,1,1,0,0,2,Moderate
27,Overtake battles,Race dynamics,762,0.571429,0.688147,0.750000,1.000000,0.750000,0.338750,1,1,1,0,3,Robust
28,Corner battles,Race dynamics,82,0.571429,0.616816,0.500000,1.000000,0.500000,0.674589,1,1,1,1,4,Strict-core
29,Corner specific moves,Race dynamics,60,0.142857,0.445305,0.333333,0.666667,0.333333,0.716944,0,0,0,1,1,Weak
30,Lap pace & timing,Strategy & technical,136,0.428571,0.697011,0.666667,0.666667,0.666667,0.534262,0,1,1,1,3,Robust
31,Race leader changes,Race dynamics,162,0.571429,0.635146,0.600000,0.600000,0.600000,0.605533,1,1,1,1,4,Strict-core
32,Front position changes,Race dynamics,45,0.000000,0.240853,,,,0.407461,0,0,0,0,0,Fragile
33,Field position changes,Race dynamics,122,0.571429,0.509916,0.727273,0.909091,0.727273,0.391927,1,1,1,0,3,Robust
