handle,cluster,size,share_of_clustered,keywords,n_enriched,external_label,exemplar_1_sha1,exemplar_2_sha1,exemplar_3_sha1,exemplars_withheld
K00,27,762,0.14988198269079464,inside / door / corner / gets away,17,,7afda532e599343e,cd3db95a6d3109d2,d4451dc1ecf2f054,raw broadcast text withheld (restricted corpus); sha1 retained
K01,18,600,0.11801730920535011,teammate / ahead / past,5,,20cb5262e702b369,3931480f7e695b51,7386b5f9af8766d6,raw broadcast text withheld (restricted corpus); sha1 retained
K02,6,465,0.09146341463414634,grand / prix / wins / british,115,,305847540750b7dc,e664fa95fab065b4,4fb26b8446dbd9c8,raw broadcast text withheld (restricted corpus); sha1 retained
K03,15,379,0.07454760031471283,tires / tyres / hard / medium,83,,ad206c05de56c356,490919564209bb71,a3e720a95ad4f64e,raw broadcast text withheld (restricted corpus); sha1 retained
K04,0,205,0.04032258064516129,drs / got / zone / open,49,,5f12bf509a296586,f7cbcd8d3d2f864e,af7deef4b9c5fcb2,raw broadcast text withheld (restricted corpus); sha1 retained
K05,14,185,0.03638867033831629,pit / lane / stop / comes,41,,265de7dcf9bbbc24,ddec6d1b2cf0278f,2677418bce4792da,raw broadcast text withheld (restricted corpus); sha1 retained
K06,31,162,0.031864673485444535,race / lead,18,,ed6250edc163475c,97b10a46678f9fed,b0fc16bb4a09f07a,raw broadcast text withheld (restricted corpus); sha1 retained
K07,13,158,0.03107789142407553,championship / world / title / constructors,36,,f99a7a6b2dac836d,3beec148fc5d6e7d,c95566033c768e63,raw broadcast text withheld (restricted corpus); sha1 retained
K08,12,139,0.027340676632572777,podium / home / completes / places,36,,ec09b5069298623b,063b78b1fbf227ca,bf6cc3f52c6b0389,raw broadcast text withheld (restricted corpus); sha1 retained
K09,30,136,0.02675059008654603,lap / fastest / opening / previous,23,,5bc62c0840d7dd09,664e8e76ad0f352b,f0bae8393e86eaab,raw broadcast text withheld (restricted corpus); sha1 retained
K10,9,134,0.026357199055861525,formula / podium / world championship / career,36,,40bb061d4f2495fd,66670aedfba8ab5c,137bd857de1be078,raw broadcast text withheld (restricted corpus); sha1 retained
K11,21,128,0.025177025963808025,braking / brakes / zone / late,19,,e80311e8e69b9381,a56edd8bb4831438,0b1d7967e4e629bf,raw broadcast text withheld (restricted corpus); sha1 retained
K12,16,122,0.023996852871754525,safety / car / virtual / deployed,25,,4cb33f9c45e1e06d,0cc3b6c2a1476d8c,aa3ad1df36a1229c,raw broadcast text withheld (restricted corpus); sha1 retained
K13,33,122,0.023996852871754525,seventh / place / sixth / fifth,16,,ef76097e1bd0deae,85808f7ca1fb3190,49e38d94fdbf6e56,raw broadcast text withheld (restricted corpus); sha1 retained
K14,1,118,0.023210070810385522,penalty / second / causing collision / 10,39,,8143f691675eb3e9,204ddb5a1b0e212d,3294624d7c4073d6,raw broadcast text withheld (restricted corpus); sha1 retained
K15,8,118,0.023210070810385522,flag / checkered / yellow / green,34,,8834c133bcdb7bdc,5e2a029993f07b2c,4d49c87c741f77f6,raw broadcast text withheld (restricted corpus); sha1 retained
K16,19,115,0.022619984264358774,lead / holds / maintains,14,,a3be19e4c00d6666,1df4fd8de528ef27,692d186e6238e32f,raw broadcast text withheld (restricted corpus); sha1 retained
K17,26,110,0.021636506687647522,fight / defend / battle / defensive,11,,038fd613ce06df8e,5bab08037f8bbf54,4fb9c87fda53840d,raw broadcast text withheld (restricted corpus); sha1 retained
K18,28,82,0.016129032258064516,turn / abreast / run,7,,e9a56133fb7db045,3aea71716aa8f92b,0c3d290143b6ff22,raw broadcast text withheld (restricted corpus); sha1 retained
K19,23,72,0.014162077104642014,racetrack,4,,c41406054830dde5,5371de628adb99db,4538f6d033994693,raw broadcast text withheld (restricted corpus); sha1 retained
K20,22,71,0.013965381589299764,wheel / went,11,,85bd34330f752149,e6068f550ff9cf6a,8465e9c3ffb45103,raw broadcast text withheld (restricted corpus); sha1 retained
K21,25,69,0.013571990558615264,driver / nation / contract,8,,e00a1d552542b546,9b45bda9638d898b,62429a6b3c4d6b5e,raw broadcast text withheld (restricted corpus); sha1 retained
K22,17,67,0.013178599527930763,seconds / gap / tenths / hour,20,,cd27b9d9b0eff4c0,1e26806d5f868c39,65d0174aaefaf9df,raw broadcast text withheld (restricted corpus); sha1 retained
K23,10,62,0.012195121951219513,chicane / braking / bold,8,,b17ceb0d8cd8769a,07634cf860fed416,f073f07e077554d6,raw broadcast text withheld (restricted corpus); sha1 retained
K24,20,61,0.011998426435877263,wing / puncture / damage / contact,16,,c1e4f79873c85252,7710bc294e343f21,6b88869ca2d9defa,raw broadcast text withheld (restricted corpus); sha1 retained
K25,24,60,0.011801730920535013,car / length / width,17,,196bda5f857d075d,f78442a334d03b2f,87592111b1b37128,raw broadcast text withheld (restricted corpus); sha1 retained
K26,29,60,0.011801730920535013,turn / 11 / 13 / 12,18,,a8c994883946c19d,b28fa7a07201fe92,536fe6152fabcb78,raw broadcast text withheld (restricted corpus); sha1 retained
K27,11,55,0.010818253343823761,thank / job / mate / weekend,36,,7792edb18a4594bc,a269b33070459f34,3215bf7299ee55e8,raw broadcast text withheld (restricted corpus); sha1 retained
