cluster_id,thematic_label,domain,size,npmi,r3_enriched
11,Team radio celebrations,Narrative & meta,55,0.3293686066163662,37
1,Time penalties,Regulatory,118,0.313834570419722,28
15,Tires & compounds,Strategy & technical,379,0.2916832679045334,71
7,Race start lights,Race dynamics,36,0.2569836628759199,27
5,Weather conditions,Strategy & technical,43,0.2340772550934506,13
16,Safety car deployment,Regulatory,122,0.2195827478019193,28
17,Gap & pace,Strategy & technical,67,0.2093783499866831,14
9,Formula 1 milestones,Narrative & meta,134,0.194752715346094,30
13,Championship & title,Narrative & meta,158,0.1921024649411092,33
20,Wing & car damage,Strategy & technical,61,0.190257356526306,22
6,Grand Prix wins,Narrative & meta,465,0.1751903613593123,79
8,Race control flags,Regulatory,118,0.1672294918231453,30
3,Mirror checks defending,Race dynamics,47,0.1659258450888511,21
33,Field position changes,Race dynamics,122,0.1555922855624213,16
4,Race start launch,Race dynamics,42,0.1541139319218093,15
12,Podium finishes,Narrative & meta,139,0.1249221932528569,30
2,Lights-out race starts,Race dynamics,54,0.1087173214975632,14
21,Braking & lockups,Race dynamics,128,0.1053811785725715,17
32,Front position changes,Race dynamics,45,0.0996072294537151,7
29,Corner specific moves,Race dynamics,60,0.0988546991639432,7
14,Pit stops,Strategy & technical,185,0.0939344193568635,35
25,Driver & team references,Narrative & meta,69,0.0924720429021741,11
19,Race lead holding,Race dynamics,115,0.0835105985935391,16
24,Inter-car distance,Strategy & technical,60,0.0753231560687075,17
30,Lap pace & timing,Strategy & technical,136,0.0677737490506971,21
31,Race leader changes,Race dynamics,162,0.0519435621721162,14
18,Team dynamics,Narrative & meta,600,0.0509992287990369,18
10,Chicane moves,Race dynamics,62,0.0500497440070985,7
0,DRS-assisted battles,Race dynamics,205,0.0491544304050003,41
27,Overtake battles,Race dynamics,762,0.0466068947880576,25
28,Corner battles,Race dynamics,82,0.0427061864735557,9
22,Wheel-to-wheel,Race dynamics,71,0.037725872303461,16
23,Circuit action,Race dynamics,72,0.0307401011202897,5
26,Defending & attacking,Race dynamics,110,0.0276121563025159,14
