cluster_id,thematic_label,domain,louvain_community,degree,participation_P,within_module_z,ga_role
5,Weather conditions,Strategy & technical,1,3,0.0,-2.321191727213149,R1 ultra-peripheral
11,Team radio celebrations,Narrative & meta,3,0,0.0,0.0,R1 ultra-peripheral
25,Driver & team references,Narrative & meta,1,30,0.5977777777777777,0.8975274678557504,R2 peripheral
30,Lap pace & timing,Strategy & technical,1,29,0.5945303210463733,0.495187568472138,R2 peripheral
24,Inter-car distance,Strategy & technical,2,28,0.6020408163265306,1.2247448713915894,R2 peripheral
14,Pit stops,Strategy & technical,0,27,0.598079561042524,0.7755149821534612,R2 peripheral
23,Circuit action,Race dynamics,1,27,0.5925925925925926,1.2998673672393628,R2 peripheral
31,Race leader changes,Race dynamics,1,27,0.5816186556927299,0.495187568472138,R2 peripheral
18,Team dynamics,Narrative & meta,0,25,0.5823999999999999,0.7755149821534612,R2 peripheral
10,Chicane moves,Race dynamics,0,24,0.59375,0.32810249244954104,R2 peripheral
21,Braking & lockups,Race dynamics,2,24,0.5798611111111112,0.2041241452319317,R2 peripheral
28,Corner battles,Race dynamics,0,24,0.5694444444444444,0.7755149821534612,R2 peripheral
22,Wheel-to-wheel,Race dynamics,0,23,0.5708884688090738,0.32810249244954104,R2 peripheral
27,Overtake battles,Race dynamics,0,23,0.551984877126654,0.7755149821534612,R2 peripheral
32,Front position changes,Race dynamics,0,23,0.5444234404536862,0.7755149821534612,R2 peripheral
12,Podium finishes,Narrative & meta,1,22,0.5619834710743802,-0.3094922302950868,R2 peripheral
33,Field position changes,Race dynamics,0,22,0.5578512396694215,0.32810249244954104,R2 peripheral
1,Time penalties,Regulatory,2,21,0.6077097505668935,0.2041241452319317,R2 peripheral
3,Mirror checks defending,Race dynamics,0,21,0.5941043083900226,-0.5667224869582992,R2 peripheral
4,Race start launch,Race dynamics,0,20,0.5549999999999999,-0.11930999725437907,R2 peripheral
19,Race lead holding,Race dynamics,0,20,0.485,0.32810249244954104,R2 peripheral
26,Defending & attacking,Race dynamics,0,20,0.595,-0.5667224869582992,R2 peripheral
29,Corner specific moves,Race dynamics,0,20,0.54,-0.11930999725437907,R2 peripheral
17,Gap & pace,Strategy & technical,0,19,0.5706371191135734,-0.5667224869582992,R2 peripheral
16,Safety car deployment,Regulatory,1,17,0.6089965397923875,0.09284766908852561,R2 peripheral
6,Grand Prix wins,Narrative & meta,1,15,0.4177777777777778,0.8975274678557504,R2 peripheral
15,Tires & compounds,Strategy & technical,1,15,0.6044444444444445,-0.3094922302950868,R2 peripheral
9,Formula 1 milestones,Narrative & meta,1,12,0.1527777777777779,0.8975274678557504,R2 peripheral
13,Championship & title,Narrative & meta,1,12,0.48611111111111105,-0.7118321296786992,R2 peripheral
0,DRS-assisted battles,Race dynamics,0,7,0.40816326530612246,-3.25119742518182,R2 peripheral
7,Race start lights,Race dynamics,1,6,0.2777777777777777,-1.516511928445924,R2 peripheral
8,Race control flags,Regulatory,1,19,0.6315789473684211,0.09284766908852561,R3 non-hub connector
20,Wing & car damage,Strategy & technical,2,15,0.6311111111111111,0.2041241452319317,R3 non-hub connector
2,Lights-out race starts,Race dynamics,2,4,0.625,-1.8371173070873834,R3 non-hub connector
