cluster_id,label,domain,size,A1_survival_4of7,A2_bootstrap,A3_heldout,A4_hierarchical,n_met,band,A1_score,A2_score,A3_score,A4_score
15,Tires & compounds,Strategy & technical,379,1,1,1,1,4,Strict-core,0.8571428571428571,0.8274382117021774,0.5172413793103449,0.6721078431372549
0,DRS-assisted battles,Race dynamics,205,1,1,1,1,4,Strict-core,1.0,0.9666427767395336,0.6428571428571429,0.823357843137255
14,Pit stops,Strategy & technical,185,1,1,1,1,4,Strict-core,1.0,0.775811887545082,0.625,0.5153212926370322
13,Championship & title,Narrative & meta,158,1,1,1,1,4,Strict-core,0.8571428571428571,0.6931098099877998,0.5,0.5480499376784207
9,Formula 1 milestones,Narrative & meta,134,1,1,1,1,4,Strict-core,0.5714285714285714,0.7971585539612664,0.8333333333333334,0.7239755612389883
21,Braking & lockups,Race dynamics,128,1,1,1,1,4,Strict-core,0.8571428571428571,0.5793012119801995,0.75,0.505717660475725
1,Time penalties,Regulatory,118,1,1,1,1,4,Strict-core,1.0,0.965570285193992,0.8333333333333334,0.7779166666666667
8,Race control flags,Regulatory,118,1,1,1,1,4,Strict-core,0.8571428571428571,0.7719835320911608,0.65,0.7466666666666667
19,Race lead holding,Race dynamics,115,1,1,1,1,4,Strict-core,0.7142857142857143,0.6939100333890857,0.5,0.6070301798669354
28,Corner battles,Race dynamics,82,1,1,1,1,4,Strict-core,0.5714285714285714,0.6168162246669119,0.5,0.6383939393939394
10,Chicane moves,Race dynamics,62,1,1,1,1,4,Strict-core,0.5714285714285714,0.853236266651907,1.0,0.8295833333333335
11,Team radio celebrations,Narrative & meta,55,1,1,1,1,4,Strict-core,0.7142857142857143,0.6402543557262289,0.7777777777777778,0.7586928104575164
2,Lights-out race starts,Race dynamics,54,1,1,1,1,4,Strict-core,1.0,0.8759300481164051,0.75,0.7191627966976265
3,Mirror checks defending,Race dynamics,47,1,1,1,1,4,Strict-core,1.0,0.5322123829980098,0.75,0.7170833333333333
27,Overtake battles,Race dynamics,762,1,1,1,0,3,Robust,0.7142857142857143,0.6881468366052068,0.75,0.357108284187744
18,Team dynamics,Narrative & meta,600,1,1,1,0,3,Robust,0.8571428571428571,0.7089008440803826,1.0,0.3931454967446347
6,Grand Prix wins,Narrative & meta,465,0,1,1,1,3,Robust,0.42857142857142855,0.8519275183310876,0.6153846153846154,0.6952542321276336
31,Race leader changes,Race dynamics,162,0,1,1,1,3,Robust,0.42857142857142855,0.6351457992541313,0.6,0.5922671857885563
12,Podium finishes,Narrative & meta,139,1,1,0,1,3,Robust,0.8571428571428571,0.8263737653868771,0.4545454545454545,0.768921568627451
30,Lap pace & timing,Strategy & technical,136,0,1,1,1,3,Robust,0.42857142857142855,0.6970114928602408,0.6666666666666666,0.5884848484848486
16,Safety car deployment,Regulatory,122,1,1,0,1,3,Robust,0.8571428571428571,0.6887250344549645,0.4,0.5984988875933148
26,Defending & attacking,Race dynamics,110,1,1,0,1,3,Robust,0.5714285714285714,0.6641812116224334,0.3333333333333333,0.5191475543804474
23,Circuit action,Race dynamics,72,0,1,1,1,3,Robust,0.14285714285714285,0.7001869202982108,1.0,0.5343602229315156
22,Wheel-to-wheel,Race dynamics,71,1,1,0,1,3,Robust,0.8571428571428571,0.7107576589840524,0.3333333333333333,0.6037628910698919
20,Wing & car damage,Strategy & technical,61,1,1,0,1,3,Robust,0.7142857142857143,0.6258319845674472,0.4545454545454545,0.6968627450980392
4,Race start launch,Race dynamics,42,1,0,1,1,3,Robust,1.0,0.357595770445965,0.5,0.8809722222222222
33,Field position changes,Race dynamics,122,0,1,1,0,2,Moderate,0.42857142857142855,0.5099163827575338,0.7272727272727273,0.3472638406802593
17,Gap & pace,Strategy & technical,67,1,0,0,1,2,Moderate,0.8571428571428571,0.4609585682791801,0.2857142857142857,0.637437896211116
5,Weather conditions,Strategy & technical,43,1,0,0,1,2,Moderate,1.0,0.0748849391443725,0.4285714285714285,0.7704166666666666
7,Race start lights,Race dynamics,36,0,0,1,1,2,Moderate,0.2857142857142857,0.0411369116750484,0.5714285714285714,0.8765760869565218
25,Driver & team references,Narrative & meta,69,0,0,1,0,1,Weak,0.14285714285714285,0.4718212959931907,0.5714285714285714,0.4926760025877672
29,Corner specific moves,Race dynamics,60,0,0,0,1,1,Weak,0.14285714285714285,0.4453053682127489,0.3333333333333333,0.6587036899506902
24,Inter-car distance,Strategy & technical,60,0,0,0,0,0,Fragile,0.14285714285714285,0.4112717011382784,0.4444444444444444,0.4541641480561359
32,Front position changes,Race dynamics,45,0,0,0,0,0,Fragile,0.14285714285714285,0.2408531945621324,,0.417500037662297
