cluster_broad,n_sentences,mean_words,mean_defects,pct_clean,pct_heavy_disfluency,pct_interj_start
21,128,21.78,0.39,65.62,3.91,25.0
9,134,21.22,0.34,71.64,0.0,20.9
5,43,21.95,0.33,69.77,2.33,25.58
0,205,22.35,0.3,72.2,0.0,27.32
6,465,21.62,0.29,73.76,0.43,20.86
11,55,19.47,0.29,78.18,16.36,23.64
10,62,20.87,0.27,74.19,0.0,20.97
15,379,22.26,0.26,76.25,0.53,18.47
30,136,21.35,0.26,75.74,1.47,19.12
31,162,19.64,0.25,75.31,0.0,22.84
20,61,21.02,0.25,80.33,6.56,29.51
16,122,20.83,0.25,75.41,0.82,29.51
23,72,23.29,0.24,77.78,0.0,27.78
1,118,18.49,0.24,77.12,0.85,19.49
14,185,22.33,0.23,77.3,0.54,29.19
3,47,21.4,0.21,80.85,2.13,34.04
18,600,19.63,0.2,81.5,0.67,23.17
24,60,20.43,0.2,80.0,0.0,35.0
8,118,19.72,0.19,80.51,0.85,21.19
29,60,19.25,0.18,81.67,0.0,26.67
13,158,16.83,0.17,82.91,0.0,20.89
25,69,20.86,0.16,85.51,0.0,23.19
28,82,19.13,0.15,85.37,0.0,28.05
22,71,19.62,0.15,84.51,0.0,9.86
12,139,19.37,0.14,86.33,0.72,15.83
7,36,17.17,0.14,86.11,0.0,5.56
4,42,19.07,0.14,85.71,0.0,7.14
26,110,19.28,0.14,87.27,0.91,25.45
17,67,17.7,0.1,89.55,0.0,17.91
27,762,15.76,0.09,90.81,0.92,23.36
19,115,16.3,0.09,91.3,0.87,16.52
2,54,14.83,0.09,90.74,0.0,16.67
32,45,13.36,0.09,91.11,0.0,24.44
33,122,15.48,0.09,90.98,0.0,24.59
