session,sentences,median_cosine,covered,coverage_pct
2024_Monaco_GP,68,0.5892538,57,83.82352941176471
2025_AbuDhabi_GP,91,0.6358253,79,86.81318681318682
2025_Netherlands_GP,70,0.64921504,61,87.14285714285714
2022_SaudiArabia_GP,60,0.68687093,53,88.33333333333333
2025_Hungary_GP,89,0.60804236,80,89.88764044943821
2025_Singapore_GP,80,0.60981476,72,90.0
2024_China_GP,82,0.65471065,74,90.2439024390244
2025_Japan_GP,81,0.62967986,74,91.35802469135803
2024_Spain_GP,61,0.64956725,56,91.80327868852459
2024_Hungarian_GP,88,0.6390945,81,92.04545454545455
2021_USA_GP,77,0.6621059,71,92.20779220779221
2022_Azerbaijan_GP,65,0.6386745,60,92.3076923076923
2022_USA_GP,56,0.6813272,52,92.85714285714286
2023_Azerbaijan_GP,57,0.6533525,53,92.98245614035088
2024_Bahrain_GP,72,0.63919145,67,93.05555555555556
2022_AbuDhabi_GP,74,0.6486728,69,93.24324324324324
2024_Imola_GP,62,0.6406485,58,93.54838709677419
2025_USA_GP,80,0.64530617,75,93.75
2025_Miami_GP,80,0.66856396,75,93.75
2025_Bahrain_GP,87,0.6500944,82,94.25287356321839
2021_Spain_GP,56,0.6461253,53,94.64285714285714
2024_USA_GP,59,0.6542815,56,94.91525423728814
2025_Azerbaijan_GP,81,0.65609354,77,95.06172839506173
2022_Bahrain_GP,62,0.6378206,59,95.16129032258064
2023_Canada_GP,63,0.66604745,60,95.23809523809524
2021_Imola_GP,67,0.6766974,64,95.5223880597015
2021_Belgium_GP,23,0.6247729,22,95.65217391304348
2024_Canada_GP,69,0.67024684,66,95.65217391304348
2022_Belgium_GP,56,0.70308506,54,96.42857142857143
2023_Hungary_GP,58,0.6529981,56,96.55172413793103
2023_Mexico_GP,58,0.65461385,56,96.55172413793103
2022_Singapore_GP,59,0.657482,57,96.61016949152543
2021_Styria_GP,60,0.6683408,58,96.66666666666667
2022_Netherlands_GP,61,0.6764816,59,96.72131147540983
2023_Spain_GP,64,0.6928054,62,96.875
2025_Imola_GP,66,0.7040585,64,96.96969696969697
2024_Mexico_GP,66,0.6428282,64,96.96969696969697
2025_Australia_GP,103,0.6423049,100,97.0873786407767
2025_Austria_GP,72,0.64435846,70,97.22222222222223
2021_AbuDhabi_GP,78,0.6316066,76,97.43589743589743
2025_Mexico_GP,79,0.69107753,77,97.46835443037975
2024_Japan_GP,81,0.64240265,79,97.53086419753086
2021_Monaco_GP,48,0.6874888,47,97.91666666666667
2023_Qatar_GP,50,0.6734149,49,98.0
2024_Qatar_GP,55,0.65908664,54,98.18181818181819
2022_Canada_GP,58,0.68517387,57,98.27586206896552
2024_Singapore_GP,59,0.6563134,58,98.30508474576271
2024_Belgium_GP,61,0.6907129,60,98.36065573770492
2022_Japan_GP,63,0.6918565,62,98.41269841269842
2021_Azerbaijan_GP,66,0.69062644,65,98.48484848484848
2022_SaoPaulo_GP,68,0.70689285,67,98.52941176470588
2023_Italy_GP,52,0.6772338,52,100.0
2023_Austria_GP,59,0.6814566,59,100.0
2022_France_GP,54,0.68149364,54,100.0
2022_Britain_GP,60,0.6909864,60,100.0
2023_Miami_GP,60,0.69150686,60,100.0
