cluster,size,n_enriched,pct_bigram
0,204,49,0.6122448979591837
1,118,39,0.6153846153846154
2,55,16,0.6875
3,46,23,0.5652173913043478
4,41,15,0.5333333333333333
5,43,15,0.2
6,120,115,0.6521739130434783
7,385,26,0.5769230769230769
8,464,34,0.5294117647058824
9,41,36,0.4722222222222222
10,137,8,0.625
11,143,36,0.3055555555555556
12,78,36,0.5555555555555556
13,52,36,0.4444444444444444
14,150,41,0.5853658536585366
15,181,83,0.5542168674698795
16,121,25,0.52
17,63,20,0.45
18,109,5,0.2
19,573,14,0.7142857142857143
20,58,16,0.4375
21,65,19,0.5263157894736842
22,116,11,0.7272727272727273
23,59,4,0.75
24,127,17,0.5294117647058824
25,83,8,0.5
26,70,11,0.2727272727272727
27,792,17,0.4117647058823529
28,136,7,0.5714285714285714
29,183,18,0.5555555555555556
30,81,23,0.6521739130434783
31,62,18,0.7777777777777778
32,132,7,0.42857142857142855
33,42,16,0.375
