P1_cluster,size,P1_top_terms,P2_KMeans_MiniLM_UMAP_matched_cluster,P2_KMeans_MiniLM_UMAP_top_terms,P2_KMeans_MiniLM_UMAP_jaccard,P3_Ward_MiniLM_UMAP_matched_cluster,P3_Ward_MiniLM_UMAP_top_terms,P3_Ward_MiniLM_UMAP_jaccard,P4_HDBSCAN_BGE_UMAP_matched_cluster,P4_HDBSCAN_BGE_UMAP_top_terms,P4_HDBSCAN_BGE_UMAP_jaccard,P5_GMM_MiniLM_PCA_matched_cluster,P5_GMM_MiniLM_PCA_top_terms,P5_GMM_MiniLM_PCA_jaccard,P6_Spectral_MiniLM_UMAP_matched_cluster,P6_Spectral_MiniLM_UMAP_top_terms,P6_Spectral_MiniLM_UMAP_jaccard,P7_GMM_MiniLM_UMAP_matched_cluster,P7_GMM_MiniLM_UMAP_top_terms,P7_GMM_MiniLM_UMAP_jaccard
27,762,"hamilton, verstappen, inside, norris, leclerc, perez, lando, russell",6,"verstappen, hamilton, norris, leclerc, perez, sainz, lando, russell",0.667,7,"verstappen, hamilton, norris, leclerc, russell, ahead, perez, sainz",0.5,62,"verstappen, norris, hamilton, sainz, perez, comes, russell, perez norris",0.364,31,"hamilton, inside, verstappen, going, perez, norris, leclerc, russell",0.667,6,"hamilton, verstappen, inside, leclerc, norris, perez, russell, going",0.765,5,"inside, verstappen, hamilton, norris, past, leclerc, going, alonso",0.875
18,600,"ferrari, red, bull, red bull, mercedes, mclaren, hamilton, teammate",31,"ferrari, bull, red bull, red, mercedes, mclaren, hamilton, team",0.765,5,"ferrari, bull, red bull, red, mercedes, hamilton, verstappen, mclaren",0.875,24,"ferrari, red bull, bull, red, mercedes, mclaren, teammate, team",0.5,13,"ferrari, verstappen, leclerc, teammate, red bull, bull, hamilton, sainz",0.667,3,"ferrari, red, red bull, bull, mercedes, hamilton, verstappen, teammate",0.667,9,"ferrari, red, bull, red bull, mercedes, mclaren, hamilton, teammate",0.875
6,465,"grand prix, grand, prix, wins, verstappen, verstappen wins, max verstappen, max",0,"grand prix, grand, prix, wins, verstappen, verstappen wins, max, max verstappen",0.875,21,"grand prix, grand, prix, wins, verstappen, verstappen wins, max, max verstappen",0.875,41,"grand prix, grand, prix, lead, lead grand, takes lead, verstappen, british grand",0.364,28,"prix, grand, grand prix, wins, formula, verstappen wins, podium, verstappen",0.5,4,"grand, grand prix, prix, wins, verstappen, max verstappen, max, verstappen wins",0.875,10,"grand, grand prix, prix, wins, verstappen, verstappen wins, max verstappen, max",0.875
15,379,"tires, tire, tyres, hard, medium, compound, tyre, fresher",13,"tires, tire, tyres, medium, hard, compound, tyre, fresher",0.875,18,"tires, tire, tyres, hard, medium, compound, tyre, soft",0.875,32,"tires, tire, medium, hard, compound, fresher, compound tire, medium tires",0.765,15,"tires, tire, tyres, hard, medium, medium tires, hard tires, tyre",0.579,12,"tires, tire, tyres, hard, medium, compound, tyre, soft",0.875,4,"tires, tire, tyres, hard, medium, compound, rain, tyre",0.667
0,205,"drs, got drs, got, drs zone, zone, hamilton, going, open",4,"drs, got drs, got, drs zone, going, hamilton, zone, verstappen",0.875,17,"drs, got drs, got, drs zone, going, hamilton, zone, verstappen",0.875,7,"drs, got drs, got, drs zone, hamilton, zone, going, extra",0.579,6,"drs, got drs, got, going, hamilton, lap, drs zone, zone",0.667,8,"drs, got drs, got, drs zone, zone, going, hamilton, leclerc",0.875,3,"drs, got drs, got, drs zone, going, hamilton, zone, verstappen",0.875
14,185,"pit, lane, pit lane, pit stop, stop, pits, verstappen, hamilton",12,"pit, pit lane, lane, pit stop, stop, pits, verstappen, hamilton",0.875,29,"pit, pit stop, pit lane, lane, stop, pits, verstappen, hamilton",0.875,27,"pit, lane, pit lane, stop, pits, pit stop, verstappen, comes pits",0.5,32,"pit, pit stop, pits, stop, pit lane, lane, verstappen, hamilton",0.667,24,"pit, pit stop, stop, lane, pit lane, pits, verstappen, hamilton",0.875,15,"pit, pit stop, lane, pit lane, pits, stop, verstappen, hamilton",0.765
31,162,"race, lead race, lead, verstappen, hamilton, max, max verstappen, leader",27,"race, lead race, verstappen, lead, max, hamilton, race leader, max verstappen",0.579,22,"race, verstappen, lead race, lead, max, hamilton, race max, max verstappen",0.579,33,"race, lap, fastest, fastest lap, lead, lap race, lead race, verstappen",0.429,29,"race, verstappen, racetrack, lead race, lead, hamilton, track, max",0.429,1,"race, car, verstappen, going, driver, just, hamilton, braking",0.2,18,"race, lead race, verstappen, lead, hamilton, max, max verstappen, race verstappen",0.579
13,158,"championship, world, champion, world championship, win, world champion, time, constructors",20,"championship, world, world championship, champion, win, thank, verstappen, max",0.667,3,"championship, world, world championship, champion, win, thank, verstappen, constructors",0.579,40,"championship, world, world championship, win, champion, points, verstappen, championship lead",0.364,9,"championship, world, red bull, bull, red, constructors, thank, champions",0.2,9,"championship, world, world championship, champion, win, verstappen, victory, max",0.579,27,"championship, world, world championship, champion, win, thank, verstappen, max",0.5
12,139,"podium, podium places, home, place, hamilton podium, time, comes home, hamilton",11,"podium, podium places, home, completes podium, second, place, comes home, verstappen",0.765,28,"podium, podium places, home, verstappen, place, second, max, hamilton podium",0.765,46,"podium, podium places, places, step, hamilton podium, step podium, goes podium, complete podium",0.154,25,"podium, verstappen, max, world, podium places, championship, max verstappen, champion",0.304,19,"podium, podium places, home, place, second, hamilton podium, time, leclerc",0.765,2,"podium, podium places, home, hamilton podium, place, comes home, second, podium place",0.765
30,136,"lap, fastest lap, fastest, lap lap, previous lap, opening lap, opening, previous",28,"lap, fastest lap, fastest, verstappen, opening lap, lap lap, hamilton, opening",0.579,25,"lap, fastest lap, fastest, lap lap, opening lap, verstappen, opening, previous lap",0.667,29,"laps, lap, grand prix, grand, prix, 53, races, race",0.034,19,"lap, race, driver, fastest lap, fastest, verstappen, going, lap race",0.25,29,"lap, fastest lap, fastest, verstappen, opening, lap lap, opening lap, hamilton",0.667,20,"lap, fastest lap, fastest, lap lap, verstappen, opening lap, previous lap, going",0.667
