,MPNet+UMAP+HDBSCAN,BGE+UMAP+HDBSCAN,GTE+UMAP+HDBSCAN,MiniLM+UMAP+OPTICS,MiniLM+UMAP+KMeans,MiniLM+UMAP+Ward,MiniLM+UMAP+Leiden,survival_count,meets_majority,meets_strict
C0,0.7906976744186046,0.740909090909091,0.8280542986425339,1.0,1.0,1.0,1.0,7,1,1
C1,0.44166666666666665,0.7559055118110236,0.84,0.4830508474576271,1.0,1.0,1.0,7,1,1
C2,0.7241379310344828,0.7213114754098361,0.7666666666666667,1.0,1.0,1.0,1.0,7,1,1
C3,0.5918367346938775,0.6666666666666666,0.6530612244897959,1.0,1.0,1.0,1.0,7,1,1
C4,0.6530612244897959,0.4339622641509434,0.4788732394366197,1.0,1.0,0.49411764705882355,1.0,7,1,1
C5,0.58,0.6226415094339622,0.5918367346938775,1.0,0.524390243902439,0.42574257425742573,1.0,7,1,1
C6,0.2689784442361762,0.2283464566929134,0.24080882352941177,0.32903225806451614,0.9893617021276596,0.9810126582278481,0.9893617021276596,4,1,0
C7,0.2248062015503876,0.65,0.23387096774193547,0.8780487804878049,0.2236024844720497,0.2222222222222222,0.8181818181818182,3,0,0
C8,0.7213114754098361,0.018633540372670808,0.36065573770491804,0.576271186440678,0.7329192546583851,0.7283950617283951,0.9833333333333333,6,1,0
C9,0.08598726114649681,0.09737827715355805,0.12786885245901639,0.44029850746268656,0.9236111111111112,0.9568345323741008,0.9366197183098591,4,1,0
C10,0.03821656050955414,0.3577981651376147,0.5866666666666667,1.0,0.96875,1.0,0.9841269841269841,6,1,0
C11,0.6172839506172839,0.5714285714285714,0.6125,0.8461538461538461,0.16467065868263472,0.16566265060240964,0.8852459016393442,5,1,0
C12,0.5273972602739726,0.5555555555555556,0.5177304964539007,0.4028776978417266,0.8910256410256411,0.8853503184713376,0.9455782312925171,7,1,1
C13,0.10326659641728135,0.436046511627907,0.25,0.31645569620253167,0.46865671641791046,0.4759036144578313,0.558303886925795,5,1,0
C14,0.47150259067357514,0.5150501672240803,0.539622641509434,0.34054054054054056,0.9068627450980392,0.9068627450980392,0.8809523809523809,7,1,1
C15,0.687192118226601,0.6752941176470588,0.7328605200945626,0.19788918205804748,0.959493670886076,0.9423558897243107,0.959493670886076,6,1,0
C16,0.6906474820143885,0.644927536231884,0.6038961038961039,0.680327868852459,0.9312977099236641,0.9457364341085271,0.6929133858267716,7,1,1
C17,0.3194444444444444,0.3950617283950617,0.43243243243243246,0.7738095238095238,0.4888888888888889,0.66,0.6055045871559633,7,1,1
C18,0.40963855421686746,0.5613793103448276,0.5698166431593794,0.0,0.6277955271565495,0.8242424242424242,0.7924016282225237,6,1,0
C19,0.045180722891566265,0.3064516129032258,0.3025210084033613,0.9349593495934959,0.42592592592592593,0.7098765432098766,0.444015444015444,6,1,0
C20,0.5138888888888888,0.2446043165467626,0.29906542056074764,0.8108108108108109,0.5398230088495575,0.7176470588235294,0.7721518987341772,5,1,0
C21,0.41358024691358025,0.32934131736526945,0.34545454545454546,0.0,0.4652014652014652,0.1802030456852792,0.29698375870069604,4,1,0
C22,0.3246753246753247,0.44047619047619047,0.5172413793103449,0.9594594594594594,0.696078431372549,0.21068249258160238,0.7171717171717171,6,1,0
C23,0.03333333333333333,0.021341463414634148,0.010256410256410256,0.7608695652173914,0.22153846153846155,0.2356902356902357,0.13636363636363635,1,0,0
C24,0.025,0.19672131147540983,0.022727272727272728,0.8333333333333334,0.23046875,0.14492753623188406,0.13657407407407407,1,0,0
C25,0.20454545454545456,0.05063291139240506,0.08791208791208792,0.0,0.2123076923076923,0.2255892255892256,0.3026315789473684,1,0,0
C26,0.049680624556423,0.265625,0.4329268292682927,0.38181818181818183,0.34055727554179566,0.738255033557047,0.5670103092783505,5,1,0
C27,0.41219350563286944,0.17739975698663427,0.4929840972871843,0.05380577427821522,0.5426356589147286,0.2994475138121547,0.3983050847457627,4,1,0
C28,0.22178988326848248,0.23008849557522124,0.2577777777777778,0.9285714285714286,0.36444444444444446,0.3778801843317972,0.37272727272727274,4,1,0
C29,0.140625,0.1743119266055046,0.1917808219178082,0.821917808219178,0.26666666666666666,0.2764976958525346,0.2727272727272727,1,0,0
C30,0.06882168925964546,0.1565217391304348,0.18404907975460122,0.0,0.6666666666666666,0.7431693989071039,0.5862068965517241,3,0,0
C31,0.08799171842650104,0.18055555555555555,0.018604651162790697,0.36419753086419754,0.6584362139917695,0.5536332179930796,0.30434782608695654,4,1,0
C32,0.10511363636363637,0.09308510638297872,0.10557184750733138,0.0,0.10915492957746478,0.15306122448979592,0.17374517374517376,0,0,0
C33,0.2802197802197802,0.24489795918367346,0.2611111111111111,0.9180327868852459,0.3515850144092219,0.3639344262295082,0.4295774647887324,4,1,0
