cluster_id,size,n_enriched_terms,n_enriched_auto,n_enriched_whitelist,n_enriched_bigram,top_enriched_terms
0,205,49,49,0,30,"drs, got drs, drs zone, drs got, got, zone, open, drs enabled, enabled, going drs, bit drs, drs going, extra, drs open, drs time"
1,118,39,39,0,24,"penalty, time penalty, second penalty, second, second time, 10 second, causing collision, penalty causing, collision, causing, 10, time, penalty forcing, got second, forcing"
2,54,16,16,0,11,"lights away, lights, away, away gets, away getting, start, lights lights, away ahead, start good, getting away, better start, gets away, away comes, reaction, better"
3,47,23,23,0,13,"mirrors, mirror, checking, scarlet, checks, checking mirrors, checking left, hand mirror, left mirror, looking mirrors, left, checks mirrors, looking, checks mirror, driving mirrors"
4,42,15,15,0,8,"launch, launch line, good launch, line, good, got good, got launch, gets launch, chops, pole sitter, sitter, chop, got, initial launch, great launch"
5,43,15,15,0,3,"rain, rain coming, wet, minutes, rain falling, falling, light, expected, track, extraordinary, class, lasting, temperature, 10 minutes, 30"
6,465,115,115,0,75,"grand, grand prix, prix, wins, wins grand, lead grand, british, british grand, win, place grand, dutch, dutch grand, prix victory, lead, prix underway"
7,36,26,26,0,15,"lights, red lights, prix underway, underway, grand, grand prix, prix, red, lights time, lights away, green flag, begins, racing lights, green, away"
8,118,34,34,0,18,"flag, checkered, checkered flag, yellow, green, yellow flag, chequered, chequered flag, green flag, red flag, red, flag flies, sees checkered, sees, nation driver"
9,134,36,36,0,17,"formula, formula world, time formula, podium formula, podium, formula career, world championship, world, championship, career, best formula, formula 2025, formula podium, 2025, time"
10,62,8,8,0,5,"chicane, second chicane, going chicane, goes chicane, braking, bold, chicane going, make chicane"
11,55,36,36,0,11,"thank, job, mate, weekend, guys, amazing, fantastic, thanks, unbelievable, great job, thank guys, drive, good job, yeah, awesome"
12,139,36,36,0,20,"podium, podium places, home, place podium, comes home, podium place, completes, places, finish, completes podium, podium finish, complete podium, step, step podium, stand podium"
13,158,36,36,0,16,"championship, world, world championship, champion, world champion, title, constructors, win, time world, championship leader, trophy, 2025, points, leader, 2024"
14,185,41,41,0,24,"pit, pit stop, lane, pit lane, stop, pits, coming pit, comes pit, come pits, comes, coming, come pit, pitted, stops, slow"
15,379,83,83,0,46,"tires, tire, tyres, hard, medium, compound, tyre, soft, fresher, compound tire, fresher tires, hard compound, medium tires, hard tires, intermediate"
16,122,25,25,0,13,"safety, safety car, car, virtual, virtual safety, deployed, car deployed, car safety, ending, car ending, going safety, got safety, lapped cars, timing, car coming"
17,67,20,20,0,9,"seconds, gap, tenths, hour, miles hour, tenths second, gap seconds, miles, half, extra, 20, pace, 10 seconds, second, 10"
18,600,5,5,0,1,"teammate, team, ahead teammate, ahead, past"
19,115,14,14,0,10,"lead, leads, leads second, lead second, maintains lead, holds lead, lead comes, holds, leads comes, maintains, leads inside, leads leads, takes lead, maintain lead"
20,61,16,16,0,7,"wing, puncture, damage, damaged, got puncture, contact, bit contact, damage wing, damaged wing, rear, wing endplate, think, endplate, ripped, rear wing"
21,128,19,19,0,10,"braking, brakes, braking zone, zone, brake, late, late braking, brake pedal, pedal, lock, brakes just, way traffic, outside brakes, curb, brakes late"
22,71,11,11,0,8,"wheel, wheel wheel, going wheel, wheel turn, wheel goes, goes wheel, went wheel, wheel action, wheel gets, wheels, went"
23,72,4,4,0,3,"racetrack, corner racetrack, turn racetrack, turns racetrack"
24,60,17,17,0,9,"car, cars, car length, car lengths, length, lengths, couple car, width, got car, length ahead, car ahead, car width, flat floor, floor, flat"
25,69,8,8,0,4,"driver, nation driver, nation, drivers, driver getting, board nation, driver trying, contract"
26,110,11,11,0,3,"fight, defend, battle, defensive, going fight, try defend, defended, try fight, defense, fights, going"
27,762,17,17,0,7,"inside, door, corner, gets away, past, outside, open door, getaway, space, ahead, close, goes corner, leads corner, past outside, goes"
28,82,7,7,0,4,"turn, run turn, abreast, way turn, run, heading turn, outside turn"
29,60,18,18,0,10,"turn, turn 11, 11, turn 10, turn seven, 13, turn 12, 12, inside turn, seven, heading turn, heading, coming turn, turn 13, 10"
30,136,23,23,0,15,"lap, fastest lap, fastest, opening, previous lap, opening lap, previous, lap lap, turn lap, lap goes, lap going, lap time, quicker, end lap, middle"
31,162,18,18,0,14,"race, lead race, lead, race leader, leader, takes lead, race lead, start race, started race, win race, going lead, race going, race control, lap race, race far"
32,45,7,7,0,3,"fourth, place, position, fourth place, second, second place, couple positions"
33,122,16,16,0,6,"seventh, place, sixth, fifth, sixth place, eighth, seventh place, 11th, position, fifth place, sixth position, 10th, ninth, 12th, seventh position"
