cluster_id,term,is_bigram,in_cluster,corpus_docfreq,cluster_size,expected,p_value,q_value_fdr,significant
0,200,0,6,20,205,0.536,9.768229095637311e-06,0.0022435504644553275,True
0,200 mph,1,6,17,205,0.456,3.3365127737519804e-06,0.0008749255532224354,True
0,advantage,0,8,62,205,1.662,0.00022685191514623478,0.03547963952887112,True
0,bit drs,1,6,6,205,0.161,3.454323793049797e-10,1.6265779305939434e-07,True
0,chance,0,11,105,205,2.815,0.0001078796315048054,0.019075093497409577,True
0,defensive,0,8,39,205,1.046,7.004239877890408e-06,0.001646134200711503,True
0,drs,0,202,234,205,6.273,0.0,0.0,True
0,drs enabled,1,7,7,205,0.188,8.996341248748979e-12,5.276354142391276e-09,True
0,drs getting,1,3,3,205,0.08,1.8992283865244655e-05,0.0038986410704380963,True
0,drs goes,1,3,3,205,0.08,1.8992283865244655e-05,0.0038986410704380963,True
0,drs going,1,6,6,205,0.161,3.454323793049797e-10,1.6265779305939434e-07,True
0,drs got,1,12,13,205,0.349,1.2708111327886914e-18,1.284262179855747e-15,True
0,drs ll,1,3,3,205,0.08,1.8992283865244655e-05,0.0038986410704380963,True
0,drs main,1,3,3,205,0.08,1.8992283865244655e-05,0.0038986410704380963,True
0,drs open,1,6,8,205,0.214,9.245178416896903e-09,3.7603546739883822e-06,True
0,drs range,1,3,3,205,0.08,1.8992283865244655e-05,0.0038986410704380963,True
0,drs right,1,3,3,205,0.08,1.8992283865244655e-05,0.0038986410704380963,True
0,drs time,1,5,5,205,0.134,1.3198971213243274e-08,5.238755414232775e-06,True
0,drs turn,1,3,3,205,0.08,1.8992283865244655e-05,0.0038986410704380963,True
0,drs wide,1,3,4,205,0.107,7.446346774481713e-05,0.013739764801184122,True
0,drs zone,1,15,16,205,0.429,2.488230955846384e-23,3.14320990437764e-20,True
0,enabled,0,7,8,205,0.214,7.033867122418475e-11,3.6963253082993985e-08,True
0,extra,0,10,28,205,0.751,1.3271303569509154e-09,5.930376795060663e-07,True
0,extra pace,1,4,6,205,0.161,7.215017595482552e-06,0.0016926431279002067,True
0,going drs,1,7,8,205,0.214,7.033867122418475e-11,3.6963253082993985e-08,True
0,got,0,57,668,205,17.908,5.712659056796573e-16,5.036955008360446e-13,True
0,got drs,1,34,37,205,0.992,1.568276958103895e-51,4.292374034330361e-48,True
0,help,0,5,11,205,0.295,5.343184280786606e-06,0.0013071995867274138,True
0,helping,0,5,9,205,0.241,1.5227737760774211e-06,0.00042838528395277794,True
0,line drs,1,3,3,205,0.08,1.8992283865244655e-05,0.0038986410704380963,True
0,ll,0,16,172,205,4.611,1.3553455036795396e-05,0.002943138361841375,True
0,ll drs,1,5,5,205,0.134,1.3198971213243274e-08,5.238755414232775e-06,True
0,main,0,7,42,205,1.126,0.00010915576124876408,0.019223119691444544,True
0,main straight,1,7,33,205,0.885,2.121132350998157e-05,0.004333839560571289,True
0,mph,0,6,24,205,0.643,3.100831537865289e-05,0.006200530351881129,True
0,open,0,14,39,205,1.046,5.316179209659413e-13,3.581632614606231e-10,True
0,range,0,3,5,205,0.134,0.00018247369389891866,0.02992841948772077,True
0,rear wing,1,6,16,205,0.429,2.208026889898749e-06,0.0006043369597652876,True
