train_raw_id,p1_id,overlap,train_size,p1_size_in_train,precision,recall
0,0,141,143,144,0.986013986013986,0.9791666666666666
1,1,70,71,76,0.9859154929577465,0.9210526315789473
2,2,34,35,36,0.9714285714285714,0.9444444444444444
3,3,36,39,36,0.9230769230769231,1.0
4,4,32,35,34,0.9142857142857143,0.9411764705882353
5,8,85,113,92,0.7522123893805309,0.9239130434782609
6,9,72,74,89,0.972972972972973,0.8089887640449438
7,7,0,37,29,0.0,0.0
8,6,239,242,337,0.987603305785124,0.7091988130563798
9,17,42,78,48,0.5384615384615384,0.875
10,11,31,34,35,0.9117647058823529,0.8857142857142857
11,5,32,33,34,0.9696969696969697,0.9411764705882353
12,12,93,98,95,0.9489795918367347,0.9789473684210527
13,13,98,110,114,0.8909090909090909,0.8596491228070176
14,24,0,40,39,0.0,0.0
15,16,88,91,93,0.967032967032967,0.946236559139785
16,14,111,114,129,0.9736842105263158,0.8604651162790697
17,15,270,279,284,0.967741935483871,0.9507042253521126
18,20,44,57,45,0.7719298245614035,0.9777777777777777
19,10,44,45,45,0.9777777777777777,0.9777777777777777
20,19,64,67,79,0.9552238805970149,0.810126582278481
21,22,46,47,53,0.9787234042553191,0.8679245283018868
22,21,83,91,101,0.9120879120879121,0.8217821782178217
23,25,30,99,48,0.30303030303030304,0.625
24,23,46,52,53,0.8846153846153846,0.8679245283018868
25,29,33,47,36,0.7021276595744681,0.9166666666666666
26,30,63,80,82,0.7875,0.7682926829268293
27,31,106,157,114,0.6751592356687898,0.9298245614035088
28,27,444,525,508,0.8457142857142858,0.8740157480314961
29,26,59,93,76,0.6344086021505376,0.7763157894736842
30,18,325,362,415,0.8977900552486188,0.7831325301204819
31,28,30,34,46,0.8823529411764706,0.6521739130434783
32,33,82,157,87,0.5222929936305732,0.9425287356321839
