cluster_id,thematic_label,domain,train_size,test_size,n_train_enriched,n_test_strict,n_test_lenient,n_test_direction,repl_rate_strict,repl_rate_lenient,repl_rate_dir
9,(no label),,74,38,6,5,6,6,0.8333333333333334,1.0,1.0
2,(no label),,35,16,4,3,4,4,0.75,1.0,1.0
28,(no label),,34,24,4,2,3,4,0.5,0.75,1.0
27,(no label),,525,211,8,6,6,8,0.75,0.75,1.0
23,(no label),,52,22,1,1,1,1,1.0,1.0,1.0
18,(no label),,362,152,3,3,3,3,1.0,1.0,1.0
10,(no label),,45,16,1,1,1,1,1.0,1.0,1.0
6,(no label),,242,80,26,16,22,25,0.6153846153846154,0.8461538461538461,0.9615384615384616
8,(no label),,113,31,20,13,14,19,0.65,0.7,0.95
11,(no label),,34,22,18,14,17,17,0.7777777777777778,0.9444444444444444,0.9444444444444444
1,(no label),,71,42,12,10,11,11,0.8333333333333334,0.9166666666666666,0.9166666666666666
33,(no label),,157,49,11,8,8,10,0.7272727272727273,0.7272727272727273,0.9090909090909091
3,(no label),,39,11,8,6,7,7,0.75,0.875,0.875
25,(no label),,99,31,7,4,5,6,0.5714285714285714,0.7142857142857143,0.8571428571428571
7,(no label),,37,29,7,4,6,6,0.5714285714285714,0.8571428571428571,0.8571428571428571
22,(no label),,47,20,6,2,2,5,0.3333333333333333,0.3333333333333333,0.8333333333333334
12,(no label),,98,47,11,5,7,9,0.45454545454545453,0.6363636363636364,0.8181818181818182
15,(no label),,279,89,29,15,19,23,0.5172413793103449,0.6551724137931034,0.7931034482758621
0,(no label),,143,59,14,9,10,11,0.6428571428571429,0.7142857142857143,0.7857142857142857
26,(no label),,93,22,9,3,5,7,0.3333333333333333,0.5555555555555556,0.7777777777777778
21,(no label),,91,24,8,6,6,6,0.75,0.75,0.75
14,(no label),,114,54,8,5,6,6,0.625,0.75,0.75
13,(no label),,110,30,16,8,9,12,0.5,0.5625,0.75
24,(no label),,40,7,9,4,5,6,0.4444444444444444,0.5555555555555556,0.6666666666666666
29,(no label),,47,18,3,1,1,2,0.3333333333333333,0.3333333333333333,0.6666666666666666
30,(no label),,80,40,6,4,4,4,0.6666666666666666,0.6666666666666666,0.6666666666666666
17,(no label),,78,17,14,4,7,9,0.2857142857142857,0.5,0.6428571428571429
20,(no label),,57,15,11,5,5,7,0.45454545454545453,0.45454545454545453,0.6363636363636364
31,(no label),,157,63,5,3,3,3,0.6,0.6,0.6
5,(no label),,33,6,7,3,3,4,0.42857142857142855,0.42857142857142855,0.5714285714285714
19,(no label),,67,33,6,3,3,3,0.5,0.5,0.5
4,(no label),,35,7,6,3,3,3,0.5,0.5,0.5
16,(no label),,91,29,10,4,5,5,0.4,0.5,0.5
