cluster_id,size,n_enriched_terms,n_enriched_auto,n_enriched_whitelist,n_enriched_bigram,top_enriched_terms
6,465,79,79,0,37,"prix, grand prix, grand, wins, place grand, person wins, prix person, british, british grand, win, dutch grand, dutch, saudi, belgian, belgian grand"
15,379,71,71,0,31,"tires, tire, hard, tyres, medium, compound, tyre, fresher, soft, hard compound, fresher tires, compound tire, medium tires, medium tire, intermediate"
0,205,41,41,0,21,"drs, got drs, drs person, drs zone, zone, enabled, bit drs, open, got, extra, drs open, second drs, speed, speed advantage, wing open"
11,55,37,37,0,9,"thank, mate, job, guys, weekend, fantastic, awesome, amazing, unbelievable, good job, thanks, deserve, job guys, really really, great job"
14,185,35,35,0,19,"pit, pit stop, lane, pit lane, stop, pits, person pits, team pit, high pressure, slow pit, second pit, fast lane, pit person, pit crew, pitted"
13,158,33,33,0,14,"championship, world, world championship, champion, constructors, world champion, title, time world, trophy, championship leader, championship battle, constructors championship, world title, seven time, champion person"
9,134,30,30,0,12,"formula, formula world, podium formula, time formula, formula career, formula podium, formula person, welcome, best formula, formula champion, podium, world championship, formula returns, returns, personal"
12,139,30,30,0,13,"podium, podium places, home, completes, podium place, podium finish, comes home, person completes, finish, come home, podium person, seventh podium, career podium, step, rostrum"
8,118,30,30,0,14,"flag, checkered, checkered flag, yellow, yellow flag, chequered, chequered flag, green, green flag, flag flies, red flag, flies, fly, red, got yellow"
1,118,28,28,0,13,"penalty, time penalty, second penalty, second time, causing, collision, causing collision, second, given second, forcing, unsafe release, unsafe, leaving, got second, gaining advantage"
16,122,28,28,0,13,"safety, safety car, car, virtual, virtual safety, deployed, car deployed, lapped cars, car ending, ending, car coming, impact, lapped, allowed overtake, need safety"
7,36,27,27,0,14,"lights, red lights, lights time, prix underway, underway, lights away, lights place, begins, red, away formula, racing place, green flag, formula goes, goes racing, grand prix"
27,762,25,25,0,13,"person, inside, person person, past person, inside person, door, corner, ahead person, outside, space, outside person, gets away, getaway, past, goes"
20,61,22,21,1,8,"front wing, wing, damaged, damage, puncture, bit contact, got puncture, ripped, got damage, wing endplate, endplate, rear wing, broken, rear, contact"
3,47,21,21,0,11,"mirrors, mirror, checking, checks, scarlet, scarlet team, left mirror, hand mirror, person checks, mirrors person, having look, person checking, doesn need, person closer, left"
30,136,21,21,0,11,"lap, fastest lap, fastest, previous lap, previous, opening lap, opening, lap person, place lap, lap time, lap number, quicker, middle sector, seconds away, middle"
18,600,18,18,0,14,"team, teammate, team person, teammate person, person team, team getting, team team, team order, team goes, team going, team versus, versus team, old teammate, double stack, fast starting"
21,128,17,17,0,5,"braking, brakes, braking zone, zone, brake, brake pedal, late braking, pedal, late, curb, super late, locking, braking person, lock, laid"
24,60,17,17,0,9,"car length, length, car, lengths, car lengths, width, cars, length ahead, couple car, floor, car width, got car, flat, car ahead, given person"
22,71,16,16,0,9,"wheel, wheel wheel, going wheel, went wheel, goes wheel, wheel person, person wheel, wheel action, gaining person, disaster, wheels, tracks, wheel tracks, went, person"
33,122,16,16,0,9,"seventh, sixth, sixth place, seventh place, eighth, fifth, person seventh, sixth position, fifth place, eighth person, position, person ninth, place, person sixth, ninth"
19,115,16,16,0,9,"person leads, leads, lead, leads person, lead person, person holds, maintains, person, holds, second person, person maintains, person second, maintain, person person, comes person"
4,42,15,15,0,6,"launch, good launch, line, got good, pole sitter, sitter, reaction time, initial, great launch, chop, chops, good, reaction, person got, got"
26,110,14,14,0,4,"fight, defend, battle, defensive, going fight, person fight, defense, thrown, person going, fights, person fights, attacking, think, person"
2,54,14,14,0,8,"lights, away, away person, getting away, better start, gets decent, start person, good start, start, crazy, reaction, gets away, better, person gets"
31,162,14,14,0,8,"race, race person, lead, race leader, leader, person race, race lead, review, race control, race far, net, leader person, control, person takes"
17,67,14,14,0,5,"seconds, gap, tenths, hour, tenths second, seconds person, miles, half, half seconds, miles hour, extra, pace, person seconds, second"
5,43,13,13,0,2,"rain, minutes, rain coming, rain falling, wet, falling, light, extraordinary, expected, temperature, track, laps, going"
25,69,11,11,0,6,"driver, nation driver, nation, team driver, drivers, driver getting, drivers person, driver person, team drivers, contract, team"
28,82,9,9,0,3,"turn, abreast, outside turn, person turn, turns, run, wide, turn number, outside"
10,62,7,7,0,4,"chicane, place chicane, person chicane, second chicane, chicane person, bold, braking"
29,60,7,7,0,3,"turn, turn seven, turn person, seven, stick, going try, heading"
32,45,7,7,0,3,"fourth, fourth place, position, fourth position, place, second, second place"
23,72,5,5,0,1,"racetrack, racetrack person, fireworks, dirty, throttle"
