phase,config,nc,noise_pct,ari,jaccard,max_diff,rows_diff,notes
A,emb_compare,,,,,2.980e-08,0,canonical vs regenerated
B,umap_repeat_seed42_njobs1,,,,,0.000e+00,0,5 UMAP runs deterministic=True
B,umap_repeat_seed42_multithread,,,,,0.000e+00,,3 multi-thread runs
C,hdb_mcs25_msNone_eom,38,29.45,0.8055,0.9148,,,grid on PHASE-B umap_ref
C,hdb_mcs25_msNone_leaf,46,46.57,0.5460,0.8162,,,grid on PHASE-B umap_ref
C,hdb_mcs25_ms5_eom,50,31.15,0.5831,0.8369,,,grid on PHASE-B umap_ref
C,hdb_mcs25_ms5_leaf,63,47.39,0.3258,0.6804,,,grid on PHASE-B umap_ref
C,hdb_mcs25_ms10_eom,50,34.77,0.5876,0.8507,,,grid on PHASE-B umap_ref
C,hdb_mcs25_ms10_leaf,59,47.31,0.3661,0.7201,,,grid on PHASE-B umap_ref
C,hdb_mcs25_ms15_eom,44,29.55,0.7159,0.8874,,,grid on PHASE-B umap_ref
C,hdb_mcs25_ms15_leaf,55,48.74,0.3907,0.7535,,,grid on PHASE-B umap_ref
C,hdb_mcs25_ms20_eom,43,30.31,0.7630,0.9067,,,grid on PHASE-B umap_ref
C,hdb_mcs25_ms20_leaf,52,50.18,0.4017,0.7878,,,grid on PHASE-B umap_ref
C,hdb_mcs25_ms25_eom,38,29.45,0.8055,0.9148,,,grid on PHASE-B umap_ref
C,hdb_mcs25_ms25_leaf,46,46.57,0.5460,0.8162,,,grid on PHASE-B umap_ref
C,hdb_mcs25_ms30_eom,35,34.38,0.9132,0.9492,,,grid on PHASE-B umap_ref
C,hdb_mcs25_ms30_leaf,41,45.25,0.6572,0.8846,,,grid on PHASE-B umap_ref
C,hdb_mcs27_msNone_eom,36,31.63,0.8928,0.9425,,,grid on PHASE-B umap_ref
C,hdb_mcs27_msNone_leaf,43,42.68,0.6437,0.8636,,,grid on PHASE-B umap_ref
C,hdb_mcs27_ms5_eom,50,31.15,0.5831,0.8369,,,grid on PHASE-B umap_ref
C,hdb_mcs27_ms5_leaf,61,46.78,0.3353,0.6956,,,grid on PHASE-B umap_ref
C,hdb_mcs27_ms10_eom,43,28.77,0.6641,0.8698,,,grid on PHASE-B umap_ref
C,hdb_mcs27_ms10_leaf,56,47.61,0.3734,0.7311,,,grid on PHASE-B umap_ref
C,hdb_mcs27_ms15_eom,40,28.85,0.7066,0.8552,,,grid on PHASE-B umap_ref
C,hdb_mcs27_ms15_leaf,52,49.74,0.4071,0.7535,,,grid on PHASE-B umap_ref
C,hdb_mcs27_ms20_eom,39,31.65,0.7988,0.9067,,,grid on PHASE-B umap_ref
C,hdb_mcs27_ms20_leaf,47,45.94,0.5221,0.8099,,,grid on PHASE-B umap_ref
C,hdb_mcs27_ms25_eom,38,29.45,0.8055,0.9148,,,grid on PHASE-B umap_ref
C,hdb_mcs27_ms25_leaf,46,46.57,0.5460,0.8162,,,grid on PHASE-B umap_ref
C,hdb_mcs27_ms30_eom,35,34.38,0.9132,0.9492,,,grid on PHASE-B umap_ref
C,hdb_mcs27_ms30_leaf,41,45.25,0.6572,0.8846,,,grid on PHASE-B umap_ref
C,hdb_mcs28_msNone_eom,36,31.61,0.8981,0.9458,,,grid on PHASE-B umap_ref
C,hdb_mcs28_msNone_leaf,42,42.19,0.6576,0.8820,,,grid on PHASE-B umap_ref
C,hdb_mcs28_ms5_eom,44,25.85,0.6171,0.8537,,,grid on PHASE-B umap_ref
C,hdb_mcs28_ms5_leaf,59,46.28,0.3455,0.6987,,,grid on PHASE-B umap_ref
C,hdb_mcs28_ms10_eom,40,29.83,0.6916,0.8698,,,grid on PHASE-B umap_ref
C,hdb_mcs28_ms10_leaf,52,49.03,0.3952,0.7311,,,grid on PHASE-B umap_ref
C,hdb_mcs28_ms15_eom,39,29.20,0.7160,0.8552,,,grid on PHASE-B umap_ref
C,hdb_mcs28_ms15_leaf,51,50.10,0.4136,0.7535,,,grid on PHASE-B umap_ref
C,hdb_mcs28_ms20_eom,37,32.35,0.8177,0.9067,,,grid on PHASE-B umap_ref
C,hdb_mcs28_ms20_leaf,45,46.65,0.5366,0.8099,,,grid on PHASE-B umap_ref
C,hdb_mcs28_ms25_eom,36,29.61,0.8203,0.9293,,,grid on PHASE-B umap_ref
C,hdb_mcs28_ms25_leaf,44,43.74,0.6180,0.8354,,,grid on PHASE-B umap_ref
C,hdb_mcs28_ms30_eom,35,34.38,0.9132,0.9492,,,grid on PHASE-B umap_ref
C,hdb_mcs28_ms30_leaf,41,45.25,0.6572,0.8846,,,grid on PHASE-B umap_ref
C,hdb_mcs29_msNone_eom,35,33.73,0.8978,0.9442,,,grid on PHASE-B umap_ref
C,hdb_mcs29_msNone_leaf,41,44.25,0.6491,0.8804,,,grid on PHASE-B umap_ref
C,hdb_mcs29_ms5_eom,42,26.59,0.6361,0.8537,,,grid on PHASE-B umap_ref
C,hdb_mcs29_ms5_leaf,55,45.90,0.3760,0.7175,,,grid on PHASE-B umap_ref
C,hdb_mcs29_ms10_eom,39,30.19,0.7011,0.8698,,,grid on PHASE-B umap_ref
C,hdb_mcs29_ms10_leaf,51,49.39,0.4021,0.7311,,,grid on PHASE-B umap_ref
C,hdb_mcs29_ms15_eom,39,29.20,0.7160,0.8552,,,grid on PHASE-B umap_ref
C,hdb_mcs29_ms15_leaf,51,50.10,0.4136,0.7535,,,grid on PHASE-B umap_ref
C,hdb_mcs29_ms20_eom,37,32.35,0.8177,0.9067,,,grid on PHASE-B umap_ref
C,hdb_mcs29_ms20_leaf,45,46.65,0.5366,0.8099,,,grid on PHASE-B umap_ref
C,hdb_mcs29_ms25_eom,36,29.61,0.8203,0.9293,,,grid on PHASE-B umap_ref
C,hdb_mcs29_ms25_leaf,43,43.26,0.6293,0.8517,,,grid on PHASE-B umap_ref
C,hdb_mcs29_ms30_eom,35,34.38,0.9132,0.9492,,,grid on PHASE-B umap_ref
C,hdb_mcs29_ms30_leaf,41,45.25,0.6572,0.8846,,,grid on PHASE-B umap_ref
C,hdb_mcs30_msNone_eom,35,34.38,0.9132,0.9492,,,grid on PHASE-B umap_ref
C,hdb_mcs30_msNone_leaf,41,45.25,0.6572,0.8846,,,grid on PHASE-B umap_ref
C,hdb_mcs30_ms5_eom,41,26.96,0.6459,0.8537,,,grid on PHASE-B umap_ref
C,hdb_mcs30_ms5_leaf,54,46.28,0.3832,0.7175,,,grid on PHASE-B umap_ref
C,hdb_mcs30_ms10_eom,38,30.57,0.7110,0.8698,,,grid on PHASE-B umap_ref
C,hdb_mcs30_ms10_leaf,49,48.84,0.4276,0.7455,,,grid on PHASE-B umap_ref
C,hdb_mcs30_ms15_eom,38,29.58,0.7261,0.8552,,,grid on PHASE-B umap_ref
C,hdb_mcs30_ms15_leaf,49,50.01,0.4298,0.7697,,,grid on PHASE-B umap_ref
C,hdb_mcs30_ms20_eom,36,32.73,0.8279,0.9067,,,grid on PHASE-B umap_ref
C,hdb_mcs30_ms20_leaf,43,46.55,0.5547,0.8261,,,grid on PHASE-B umap_ref
C,hdb_mcs30_ms25_eom,35,29.99,0.8308,0.9293,,,grid on PHASE-B umap_ref
C,hdb_mcs30_ms25_leaf,41,42.43,0.6611,0.8717,,,grid on PHASE-B umap_ref
C,hdb_mcs30_ms30_eom,35,34.38,0.9132,0.9492,,,grid on PHASE-B umap_ref
C,hdb_mcs30_ms30_leaf,41,45.25,0.6572,0.8846,,,grid on PHASE-B umap_ref
C,hdb_mcs31_msNone_eom,34,33.06,0.8925,0.9232,,,grid on PHASE-B umap_ref
C,hdb_mcs31_msNone_leaf,40,43.65,0.6396,0.8584,,,grid on PHASE-B umap_ref
C,hdb_mcs31_ms5_eom,40,27.36,0.6561,0.8537,,,grid on PHASE-B umap_ref
C,hdb_mcs31_ms5_leaf,53,46.67,0.3907,0.7175,,,grid on PHASE-B umap_ref
C,hdb_mcs31_ms10_eom,38,30.57,0.7110,0.8698,,,grid on PHASE-B umap_ref
C,hdb_mcs31_ms10_leaf,48,48.33,0.4375,0.7627,,,grid on PHASE-B umap_ref
C,hdb_mcs31_ms15_eom,37,29.97,0.7365,0.8552,,,grid on PHASE-B umap_ref
C,hdb_mcs31_ms15_leaf,47,47.40,0.4923,0.7881,,,grid on PHASE-B umap_ref
C,hdb_mcs31_ms20_eom,36,32.73,0.8279,0.9067,,,grid on PHASE-B umap_ref
C,hdb_mcs31_ms20_leaf,43,46.55,0.5547,0.8261,,,grid on PHASE-B umap_ref
C,hdb_mcs31_ms25_eom,35,29.99,0.8308,0.9293,,,grid on PHASE-B umap_ref
C,hdb_mcs31_ms25_leaf,41,42.43,0.6611,0.8717,,,grid on PHASE-B umap_ref
C,hdb_mcs31_ms30_eom,35,34.38,0.9132,0.9492,,,grid on PHASE-B umap_ref
C,hdb_mcs31_ms30_leaf,41,45.25,0.6572,0.8846,,,grid on PHASE-B umap_ref
C,hdb_mcs32_msNone_eom,35,32.95,0.9484,0.9597,,,grid on PHASE-B umap_ref
