cluster,cluster_size,A1_MPNet_full,A1_MPNet_adj,A1_MPNet_sf,A2_BGE_full,A2_BGE_adj,A2_BGE_sf,A3_GTE_full,A3_GTE_adj,A3_GTE_sf,B1_OPTICS_full,B1_OPTICS_adj,B1_OPTICS_sf,C1_KMeans_full,C1_KMeans_adj,C1_KMeans_sf,C2_Ward_full,C2_Ward_adj,C2_Ward_sf,B2_Leiden_full,B2_Leiden_adj,B2_Leiden_sf,survival_full,survival_adjusted,gain
C6,465,0.156,0.358,0.624,0.228,0.348,0.624,0.241,0.37,0.591,0.297,0.441,0.673,0.981,0.981,1.0,0.981,0.981,1.0,0.981,0.981,1.0,3,7,4
C26,110,0.0,0.0,0.755,0.266,0.37,0.673,0.433,0.507,0.782,0.4,0.537,0.745,0.372,0.372,1.0,0.665,0.665,1.0,0.183,0.183,1.0,4,5,1
C27,762,0.421,0.459,0.846,0.177,0.37,0.438,0.493,0.602,0.747,0.106,0.267,0.396,0.451,0.451,1.0,0.641,0.641,1.0,0.683,0.683,1.0,5,6,1
C20,61,0.514,0.712,0.672,0.245,0.281,0.705,0.299,0.381,0.623,0.772,0.772,1.0,0.407,0.407,1.0,0.772,0.772,1.0,0.772,0.772,1.0,5,6,1
C15,379,0.702,0.889,0.773,0.675,0.747,0.892,0.733,0.852,0.844,0.227,0.441,0.515,0.962,0.962,1.0,0.948,0.948,1.0,0.966,0.966,1.0,6,7,1
C13,158,0.473,0.622,0.69,0.436,0.721,0.57,0.25,0.702,0.348,0.437,0.657,0.665,0.482,0.482,1.0,0.471,0.471,1.0,0.395,0.395,1.0,6,7,1
C25,69,0.195,0.415,0.333,0.007,0.01,0.29,0.088,0.216,0.217,0.486,0.486,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1,2,1
C18,600,0.421,0.563,0.718,0.561,0.709,0.748,0.57,0.728,0.743,0.143,0.705,0.203,0.641,0.641,1.0,0.598,0.598,1.0,0.773,0.773,1.0,6,7,1
C30,136,0.0,0.094,0.338,0.008,0.01,0.493,0.184,0.39,0.368,0.786,0.786,1.0,0.677,0.677,1.0,0.654,0.654,1.0,0.0,0.0,1.0,3,4,1
C31,162,0.223,0.345,0.42,0.181,0.236,0.481,0.005,0.016,0.16,0.681,0.687,0.988,0.654,0.654,1.0,0.697,0.697,1.0,0.299,0.299,1.0,3,4,1
C28,82,0.221,0.237,0.793,0.23,0.26,0.683,0.258,0.282,0.768,0.615,0.625,0.976,0.373,0.373,1.0,0.369,0.369,1.0,0.364,0.364,1.0,4,4,0
C19,115,0.007,0.011,0.539,0.306,0.585,0.487,0.303,0.667,0.435,0.912,0.919,0.991,0.646,0.646,1.0,0.663,0.663,1.0,0.245,0.245,1.0,5,5,0
C29,60,0.0,0.0,0.7,0.0,0.0,0.75,0.0,0.0,0.783,0.817,0.829,0.983,0.0,0.0,1.0,0.004,0.004,1.0,0.0,0.0,1.0,1,1,0
C24,60,0.089,0.226,0.2,0.0,0.0,0.517,0.0,0.0,0.15,0.586,0.586,1.0,0.192,0.192,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1,1,0
