cluster,enc_all,enc_bge,enc_gte,kmeans,ward,optics,leiden,n_recovered,n_alternatives
0,0.0269772338465587,0.7420814479638009,0.0274100815617061,1.0,1.0,0.2195121951219512,1.0,4,7
1,0.0155283589946045,0.7619047619047619,0.8571428571428571,1.0,1.0,0.4322033898305085,0.9830508474576272,6,7
2,0.7586206896551724,0.7213114754098361,0.7666666666666667,0.9642857142857144,0.9642857142857144,0.5,0.9464285714285714,7,7
3,0.0061850243453085,0.0064308681672025,0.0062842626019521,0.9791666666666666,1.0,1.0,1.0,4,7
4,0.0055270430319778,0.007909604519774,0.0056157240272763,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,4,7
5,0.005658639294644,0.6226415094339622,0.0057494317422115,0.7288135593220338,1.0,1.0,1.0,5,7
6,0.0611922621397552,0.2556701030927835,0.0621740874448455,0.9766949152542372,0.9725738396624471,0.0451612903225806,0.5901287553648069,3,7
7,0.024390243902439,0.2542372881355932,0.0352941176470588,0.225,0.225,0.8333333333333334,0.8372093023255814,2,7
8,0.0153947368421052,0.0114503816793893,0.0156417112299465,0.7375,0.7375,0.2372881355932203,0.9833333333333332,3,7
9,0.0176338991972627,0.1031390134529148,0.0179168338013103,0.8986486486486487,0.9370629370629372,0.2611940298507462,0.93006993006993,3,7
10,0.0081589682853006,0.3363636363636363,0.0082898783259794,0.9375,0.967741935483871,0.9523809523809524,0.967741935483871,5,7
11,0.0072377944466377,0.5714285714285714,0.0073539243214333,0.72,0.1607142857142857,0.864406779661017,0.7941176470588235,4,7
12,0.0182918805105934,0.5517241379310345,0.018585372375986,0.8742138364779874,0.972027972027972,0.3453237410071942,0.958041958041958,5,7
13,0.0207922095012501,0.3313609467455621,0.0211258189597539,0.6124031007751938,0.4716417910447761,0.1518987341772152,0.572463768115942,4,7
14,0.0243453085932359,0.5133333333333333,0.0245989304812834,0.9068627450980392,0.8761904761904762,0.2324324324324324,0.8970588235294118,4,7
15,0.0498749835504671,0.6643835616438356,0.0506752239604225,0.959493670886076,0.949874686716792,0.0870712401055409,0.949874686716792,4,7
16,0.0160547440452691,0.6180555555555556,0.0163123412220885,0.8026315789473685,0.6627218934911243,0.3114754098360656,0.6285714285714286,5,7
17,0.0088169495986313,0.4074074074074074,0.0088235294117647,0.5454545454545454,0.6,0.4852941176470588,0.584070796460177,5,7
18,0.0789577575996841,0.5574636723910171,0.080224628961091,0.6921875,0.8138801261829653,0.03,0.5201288244766505,4,7
19,0.0151335702066061,0.2644628099173554,0.0153763872175424,0.4453125,0.6609195402298851,0.1304347826086956,0.8085106382978723,3,7
20,0.0080273720226345,0.2580645161290322,0.0081561706110442,0.2132867132867132,0.1605263157894736,0.5573770491803278,0.7625,2,7
21,0.0168443216212659,0.3057324840764331,0.0171145875116994,0.4325259515570934,0.3368421052631579,0.21875,0.2934782608695652,3,7
22,0.0093433346492959,0.4767441860465116,0.0094932477603957,0.4697986577181208,0.2892561983471074,0.4788732394366197,0.4216867469879518,4,7
23,0.0094749309119621,0.0208333333333333,0.0096269554753309,0.2580645161290322,0.2581818181818182,0.1666666666666666,0.4662162162162162,1,7
24,0.0078957757599684,0.2184873949579832,0.0080224628961091,0.2544642857142857,0.242798353909465,0.2833333333333333,0.198019801980198,0,7
25,0.0090801421239636,0.0047169811320754,0.0092258323305254,0.2340425531914893,0.2293906810035842,0.4927536231884058,0.2277227722772277,1,7
26,0.0144755888932754,0.2734375,0.0147078486428666,0.3548387096774194,0.2891246684350133,0.2727272727272727,0.3909090909090909,2,7
27,0.1002763521515989,0.3956709956709957,0.1018852787805856,0.4302059496567506,0.4856828193832599,0.0538057742782152,0.4653014789533561,4,7
28,0.0107908935386235,0.2465116279069767,0.0109640326246824,0.3476394849785407,0.3403361344537815,0.2073170731707317,0.3188976377952756,3,7
29,0.0078957757599684,0.1826923076923076,0.0080224628961091,0.2586206896551724,0.2531645569620253,0.25,0.2322834645669291,0,7
30,0.017897091722595,0.2325581395348837,0.0181842492311806,0.6903553299492385,0.6634146341463415,0.0808823529411764,0.7120418848167539,3,7
31,0.0213185945519147,0.2810810810810811,0.0216606498194945,0.4390243902439024,0.5811320754716981,0.2716049382716049,0.44141689373297,3,7
32,0.0059218318199763,0.0982658959537572,0.0060168471720818,0.0948905109489051,0.2795031055900621,0.1666666666666666,0.217391304347826,0,7
33,0.0160547440452691,0.2554945054945055,0.0163123412220885,0.3407821229050279,0.4384057971014493,0.1147540983606557,0.7402597402597403,3,7
