cluster_id,alternative_model_recovery,resampling_stability,heldout_replication,geometry_separability,label,size,domain
0,0.5714285714285714,0.96587,0.5,0.809013,K04,205,Race dynamics
1,0.8571428571428571,0.967766,0.925925925925926,0.8197,K14,118,Regulatory
2,1.0,0.878516,0.6,0.70034,K28,54,Race dynamics
3,0.5714285714285714,0.524143,0.5625,0.725258,K29,47,Race dynamics
4,0.5714285714285714,0.390627,0.6,0.850541,K32,42,Race dynamics
5,0.7142857142857143,0.109455,0.6666666666666666,0.769654,K31,43,Strategy & technical
6,0.4285714285714285,0.94141,0.5645161290322581,0.617321,K02,465,Narrative & meta
7,0.2857142857142857,0.070542,0.5555555555555556,0.77448,K33,36,Race dynamics
8,0.4285714285714285,0.877798,0.5681818181818182,0.675365,K15,118,Regulatory
9,0.4285714285714285,0.897659,0.7647058823529411,0.619972,K10,134,Narrative & meta
10,0.7142857142857143,0.908022,1.0,0.80913,K23,62,Race dynamics
11,0.5714285714285714,0.820581,0.6842105263157895,0.778759,K27,55,Narrative & meta
12,0.7142857142857143,0.916123,0.391304347826087,0.740419,K08,139,Narrative & meta
13,0.5714285714285714,0.73928,0.5238095238095238,0.527939,K07,158,Narrative & meta
14,0.5714285714285714,0.865015,0.6190476190476191,0.5433,K05,185,Strategy & technical
15,0.5714285714285714,0.91442,0.3787878787878788,0.626396,K03,379,Strategy & technical
16,0.7142857142857143,0.761752,0.6,0.667256,K12,122,Regulatory
17,0.7142857142857143,0.548591,0.4,0.622054,K22,67,Strategy & technical
18,0.5714285714285714,0.787829,0.75,0.372243,K01,600,Narrative & meta
19,0.4285714285714285,0.771428,0.3,0.607866,K16,115,Race dynamics
20,0.2857142857142857,0.676108,0.625,0.669207,K24,61,Strategy & technical
21,0.4285714285714285,0.629784,0.7692307692307693,0.504845,K11,128,Race dynamics
22,0.5714285714285714,0.795354,0.5555555555555556,0.644558,K20,71,Race dynamics
23,0.1428571428571428,0.769706,0.2,0.610683,K19,72,Race dynamics
24,0.0,0.445708,0.4166666666666667,0.490363,K25,60,Strategy & technical
25,0.1428571428571428,0.512767,0.6,0.531074,K21,69,Narrative & meta
26,0.2857142857142857,0.729476,0.2857142857142857,0.554038,K17,110,Race dynamics
27,0.5714285714285714,0.750908,0.625,0.388877,K00,762,Race dynamics
28,0.4285714285714285,0.700208,0.5,0.634574,K18,82,Race dynamics
29,0.0,0.482895,0.4,0.688585,K26,60,Race dynamics
30,0.4285714285714285,0.787592,0.5454545454545454,0.583571,K09,136,Strategy & technical
31,0.4285714285714285,0.716983,0.5,0.619948,K06,162,Race dynamics
32,0.0,0.25528,,0.412737,K30,45,Race dynamics
33,0.4285714285714285,0.549231,0.5714285714285714,0.409911,K13,122,Race dynamics
