category_id,sentences,share_of_assigned,label,domain,top_terms
0,205,0.040323,DRS-assisted battles,Race dynamics,"drs, got drs, drs zone, drs got, got, zone, open, drs enabled"
1,118,0.02321,Time penalties,Regulatory,"penalty, time penalty, second penalty, second, second time, 10 second, causing collision, penalty causing"
2,54,0.010622,Lights-out race starts,Race dynamics,"lights away, lights, away, away gets, away getting, start, lights lights, away ahead"
3,47,0.009245,Mirror checks defending,Race dynamics,"mirrors, mirror, checking, scarlet, checks, checking mirrors, checking left, hand mirror"
4,42,0.008261,Race start launch,Race dynamics,"launch, launch line, good launch, line, good, got good, got launch, gets launch"
5,43,0.008458,Weather conditions,Strategy & technical,"rain, rain coming, wet, minutes, rain falling, falling, light, expected"
6,465,0.091463,Grand Prix wins,Narrative & meta,"grand, grand prix, prix, wins, wins grand, lead grand, british, british grand"
7,36,0.007081,Race start lights,Race dynamics,"lights, red lights, prix underway, underway, grand, grand prix, prix, red"
8,118,0.02321,Race control flags,Regulatory,"flag, checkered, checkered flag, yellow, green, yellow flag, chequered, chequered flag"
9,134,0.026357,Formula 1 milestones,Narrative & meta,"formula, formula world, time formula, podium formula, podium, formula career, world championship, world"
10,62,0.012195,Chicane moves,Race dynamics,"chicane, second chicane, going chicane, goes chicane, braking, bold, chicane going, make chicane"
11,55,0.010818,Team radio celebrations,Narrative & meta,"thank, job, mate, weekend, guys, amazing, fantastic, thanks"
12,139,0.027341,Podium finishes,Narrative & meta,"podium, podium places, home, place podium, comes home, podium place, completes, places"
13,158,0.031078,Championship & title,Narrative & meta,"championship, world, world championship, champion, world champion, title, constructors, win"
14,185,0.036389,Pit stops,Strategy & technical,"pit, pit stop, lane, pit lane, stop, pits, coming pit, comes pit"
15,379,0.074548,Tires & compounds,Strategy & technical,"tires, tire, tyres, hard, medium, compound, tyre, soft"
16,122,0.023997,Safety car deployment,Regulatory,"safety, safety car, car, virtual, virtual safety, deployed, car deployed, car safety"
17,67,0.013179,Gap & pace,Strategy & technical,"seconds, gap, tenths, hour, miles hour, tenths second, gap seconds, miles"
18,600,0.118017,Team dynamics,Narrative & meta,"teammate, team, ahead teammate, ahead, past"
19,115,0.02262,Race lead holding,Race dynamics,"lead, leads, leads second, lead second, maintains lead, holds lead, lead comes, holds"
20,61,0.011998,Wing & car damage,Strategy & technical,"wing, puncture, damage, damaged, got puncture, contact, bit contact, damage wing"
21,128,0.025177,Braking & lockups,Race dynamics,"braking, brakes, braking zone, zone, brake, late, late braking, brake pedal"
22,71,0.013965,Wheel-to-wheel,Race dynamics,"wheel, wheel wheel, going wheel, wheel turn, wheel goes, goes wheel, went wheel, wheel action"
23,72,0.014162,Circuit action,Race dynamics,"racetrack, corner racetrack, turn racetrack, turns racetrack"
24,60,0.011802,Inter-car distance,Strategy & technical,"car, cars, car length, car lengths, length, lengths, couple car, width"
25,69,0.013572,Driver & team references,Narrative & meta,"driver, nation driver, nation, drivers, driver getting, board nation, driver trying, contract"
26,110,0.021637,Defending & attacking,Race dynamics,"fight, defend, battle, defensive, going fight, try defend, defended, try fight"
27,762,0.149882,Overtake battles,Race dynamics,"inside, door, corner, gets away, past, outside, open door, getaway"
28,82,0.016129,Corner battles,Race dynamics,"turn, run turn, abreast, way turn, run, heading turn, outside turn"
29,60,0.011802,Corner specific moves,Race dynamics,"turn, turn 11, 11, turn 10, turn seven, 13, turn 12, 12"
30,136,0.026751,Lap pace & timing,Strategy & technical,"lap, fastest lap, fastest, opening, previous lap, opening lap, previous, lap lap"
31,162,0.031865,Race leader changes,Race dynamics,"race, lead race, lead, race leader, leader, takes lead, race lead, start race"
32,45,0.008851,Front position changes,Race dynamics,"fourth, place, position, fourth place, second, second place, couple positions"
33,122,0.023997,Field position changes,Race dynamics,"seventh, place, sixth, fifth, sixth place, eighth, seventh place, 11th"
