cluster,size,n_enriched,pct_bigram
0,205,49,0.6122448979591837
1,118,39,0.6153846153846154
2,54,16,0.6875
3,47,23,0.5652173913043478
4,42,15,0.5333333333333333
5,43,15,0.2
6,465,115,0.6521739130434783
7,36,26,0.5769230769230769
8,118,34,0.5294117647058824
9,134,36,0.4722222222222222
10,62,8,0.625
11,55,36,0.3055555555555556
12,139,36,0.5555555555555556
13,158,36,0.4444444444444444
14,185,41,0.5853658536585366
15,379,83,0.5542168674698795
16,122,25,0.52
17,67,20,0.45
18,600,5,0.2
19,115,14,0.7142857142857143
20,61,16,0.4375
21,128,19,0.5263157894736842
22,71,11,0.7272727272727273
23,72,4,0.75
24,60,17,0.5294117647058824
25,69,8,0.5
26,110,11,0.2727272727272727
27,762,17,0.4117647058823529
28,82,7,0.5714285714285714
29,60,18,0.5555555555555556
30,136,23,0.6521739130434783
31,162,18,0.7777777777777778
32,45,7,0.42857142857142855
33,122,16,0.375
