category_id,category_label,n_significant_terms,most_significant_terms
0,DRS-assisted battles,49,"drs, got drs, drs zone"
1,Time penalties,39,"penalty, time penalty, second penalty"
2,Lights-out race starts,16,"lights away, lights, away"
3,Mirror checks defending,23,"mirrors, mirror, checking"
4,Race start launch,15,"launch, launch line, good launch"
5,Weather conditions,15,"rain, rain coming, wet"
6,Grand Prix wins,115,"grand, grand prix, prix"
7,Race start lights,26,"lights, red lights, prix underway"
8,Race control flags,34,"flag, checkered, checkered flag"
9,Formula 1 milestones,36,"formula, formula world, time formula"
10,Chicane moves,8,"chicane, second chicane, going chicane"
11,Team radio celebrations,36,"thank, job, mate"
12,Podium finishes,36,"podium, podium places, home"
13,Championship & title,36,"championship, world, world championship"
14,Pit stops,41,"pit, pit stop, lane"
15,Tires & compounds,83,"tires, tire, tyres"
16,Safety car deployment,25,"safety, safety car, car"
17,Gap & pace,20,"seconds, gap, tenths"
18,Team dynamics,5,"teammate, team, ahead teammate"
19,Race lead holding,14,"lead, leads, leads second"
20,Wing & car damage,16,"wing, puncture, damage"
21,Braking & lockups,19,"braking, brakes, braking zone"
22,Wheel-to-wheel,11,"wheel, wheel wheel, going wheel"
23,Circuit action,4,"racetrack, corner racetrack, turn racetrack"
24,Inter-car distance,17,"car, cars, car length"
25,Driver & team references,8,"driver, nation driver, nation"
26,Defending & attacking,11,"fight, defend, battle"
27,Overtake battles,17,"inside, door, corner"
28,Corner battles,7,"turn, run turn, abreast"
29,Corner specific moves,18,"turn, turn 11, 11"
30,Lap pace & timing,23,"lap, fastest lap, fastest"
31,Race leader changes,18,"race, lead race, lead"
32,Front position changes,7,"fourth, place, position"
33,Field position changes,16,"seventh, place, sixth"
