cluster,term,in_cluster,corpus_docfreq,cluster_size,expected,p,is_bigram,q
0,drs,202,234,205,6.273,0.0,0,0.0
0,got drs,34,37,205,0.992,1.568276958103895e-51,1,4.292374034330361e-48
0,drs zone,15,16,205,0.429,2.488230955846384e-23,1,3.1432099043776404e-20
0,drs got,12,13,205,0.349,1.2708111327886914e-18,1,1.284262179855747e-15
0,got,57,668,205,17.908,5.712659056796573e-16,0,5.036955008360446e-13
0,zone,17,51,205,1.367,6.508454986985778e-15,0,5.3108992693803945e-12
0,open,14,39,205,1.046,5.316179209659414e-13,0,3.5816326146062304e-10
0,drs enabled,7,7,205,0.188,8.996341248748979e-12,1,5.276354142391276e-09
0,enabled,7,8,205,0.214,7.033867122418475e-11,0,3.696325308299399e-08
0,going drs,7,8,205,0.214,7.033867122418475e-11,1,3.696325308299399e-08
0,bit drs,6,6,205,0.161,3.4543237930497966e-10,1,1.6265779305939436e-07
0,drs going,6,6,205,0.161,3.4543237930497966e-10,1,1.6265779305939436e-07
0,extra,10,28,205,0.751,1.3271303569509154e-09,0,5.930376795060663e-07
0,drs open,6,8,205,0.214,9.245178416896904e-09,1,3.7603546739883822e-06
0,drs time,5,5,205,0.134,1.3198971213243274e-08,1,5.238755414232775e-06
0,ll drs,5,5,205,0.134,1.3198971213243274e-08,1,5.238755414232775e-06
0,second drs,5,5,205,0.134,1.3198971213243274e-08,1,5.238755414232775e-06
0,slipstream drs,5,5,205,0.134,1.3198971213243274e-08,1,5.238755414232775e-06
0,speed,15,91,205,2.44,1.4485862186625191e-08,0,5.680879494418123e-06
0,straight,18,146,205,3.914,5.6340262799310923e-08,0,2.022338351235593e-05
0,helping,5,9,205,0.241,1.5227737760774211e-06,0,0.0004283852839527
0,rear wing,6,16,205,0.429,2.208026889898749e-06,1,0.0006043369597652
0,200 mph,6,17,205,0.456,3.3365127737519804e-06,1,0.0008749255532224
0,help,5,11,205,0.295,5.343184280786606e-06,0,0.0013071995867274
0,defensive,8,39,205,1.046,7.004239877890408e-06,0,0.0016461342007115
0,extra pace,4,6,205,0.161,7.215017595482552e-06,1,0.0016926431279002
0,slipstream,11,80,205,2.145,8.148109183883437e-06,0,0.0019047437582595
0,200,6,20,205,0.536,9.768229095637313e-06,0,0.0022435504644553
0,ll,16,172,205,4.611,1.3553455036795396e-05,0,0.0029431383618413
0,drs getting,3,3,205,0.08,1.899228386524465e-05,1,0.003898641070438
0,drs goes,3,3,205,0.08,1.899228386524465e-05,1,0.003898641070438
0,drs ll,3,3,205,0.08,1.899228386524465e-05,1,0.003898641070438
0,drs main,3,3,205,0.08,1.899228386524465e-05,1,0.003898641070438
0,drs range,3,3,205,0.08,1.899228386524465e-05,1,0.003898641070438
0,drs right,3,3,205,0.08,1.899228386524465e-05,1,0.003898641070438
0,drs turn,3,3,205,0.08,1.899228386524465e-05,1,0.003898641070438
0,line drs,3,3,205,0.08,1.899228386524465e-05,1,0.003898641070438
0,right drs,3,3,205,0.08,1.899228386524465e-05,1,0.003898641070438
0,straight drs,3,3,205,0.08,1.899228386524465e-05,1,0.003898641070438
0,wing open,3,3,205,0.08,1.899228386524465e-05,1,0.003898641070438
0,main straight,7,33,205,0.885,2.121132350998157e-05,1,0.0043338395605712
0,mph,6,24,205,0.643,3.100831537865289e-05,0,0.0062005303518811
0,drs wide,3,4,205,0.107,7.446346774481713e-05,1,0.0137397648011841
