cluster,has_estimate,n_train_enriched,n_test_strict,n_test_lenient,n_test_direction,rep_strict,rep_lenient,rep_dir,axis3_pass,axis3_score
0,True,32,16,17,20,0.5,0.53125,0.625,True,0.5
1,True,27,25,26,26,0.925925925925926,0.9629629629629628,0.9629629629629628,True,0.925925925925926
2,True,10,6,6,6,0.6,0.6,0.6,True,0.6
3,True,16,9,10,10,0.5625,0.625,0.625,True,0.5625
4,True,10,6,6,6,0.6,0.6,0.6,True,0.6
5,True,6,4,4,4,0.6666666666666666,0.6666666666666666,0.6666666666666666,True,0.6666666666666666
6,True,62,35,48,48,0.5645161290322581,0.7741935483870968,0.7741935483870968,True,0.5645161290322581
7,True,9,5,6,7,0.5555555555555556,0.6666666666666666,0.7777777777777778,True,0.5555555555555556
8,True,44,25,26,34,0.5681818181818182,0.5909090909090909,0.7727272727272727,True,0.5681818181818182
9,True,17,13,14,15,0.7647058823529411,0.8235294117647058,0.8823529411764706,True,0.7647058823529411
10,True,3,3,3,3,1.0,1.0,1.0,True,1.0
11,True,19,13,15,15,0.6842105263157895,0.7894736842105263,0.7894736842105263,True,0.6842105263157895
12,True,23,9,13,14,0.391304347826087,0.5652173913043478,0.6086956521739131,False,0.391304347826087
13,True,21,11,14,14,0.5238095238095238,0.6666666666666666,0.6666666666666666,True,0.5238095238095238
14,True,21,13,13,13,0.6190476190476191,0.6190476190476191,0.6190476190476191,True,0.6190476190476191
15,True,66,25,35,40,0.3787878787878788,0.5303030303030303,0.6060606060606061,False,0.3787878787878788
16,True,15,9,9,9,0.6,0.6,0.6,True,0.6
17,True,15,6,6,7,0.4,0.4,0.4666666666666667,False,0.4
18,True,4,3,3,4,0.75,0.75,1.0,True,0.75
19,True,10,3,4,5,0.3,0.4,0.5,False,0.3
20,True,16,10,10,12,0.625,0.625,0.75,True,0.625
21,True,13,10,10,10,0.7692307692307693,0.7692307692307693,0.7692307692307693,True,0.7692307692307693
22,True,9,5,5,7,0.5555555555555556,0.5555555555555556,0.7777777777777778,True,0.5555555555555556
23,True,5,1,2,2,0.2,0.4,0.4,False,0.2
24,True,12,5,6,6,0.4166666666666667,0.5,0.5,False,0.4166666666666667
25,True,10,6,6,6,0.6,0.6,0.6,True,0.6
26,True,7,2,5,5,0.2857142857142857,0.7142857142857143,0.7142857142857143,False,0.2857142857142857
27,True,8,5,6,8,0.625,0.75,1.0,True,0.625
28,True,4,2,3,3,0.5,0.75,0.75,True,0.5
29,True,15,6,10,11,0.4,0.6666666666666666,0.7333333333333333,False,0.4
30,True,11,6,9,9,0.5454545454545454,0.8181818181818182,0.8181818181818182,True,0.5454545454545454
31,True,14,7,9,9,0.5,0.6428571428571429,0.6428571428571429,True,0.5
32,False,0,0,0,0,,,,False,
33,True,21,12,14,15,0.5714285714285714,0.6666666666666666,0.7142857142857143,True,0.5714285714285714
