category_id,category_label,domain,axis1_recovered,axis1_total,axis1_judges_expected,axis1_judges_missing,axis1_complete,axis1_score,axis2_score,has_estimate,n_train_enriched,n_test_strict,n_test_lenient,n_test_direction,rep_strict,rep_lenient,rep_dir,axis3_pass,axis3_score,axis4_score
0,DRS-assisted battles,Race dynamics,4,7,7,,True,0.5714285714285714,0.96587,True,32,16,17,20,0.5,0.53125,0.625,True,0.5,0.809013
1,Time penalties,Regulatory,6,7,7,,True,0.8571428571428571,0.967766,True,27,25,26,26,0.925925925925926,0.9629629629629628,0.9629629629629628,True,0.925925925925926,0.8197
2,Lights-out race starts,Race dynamics,7,7,7,,True,1.0,0.878516,True,10,6,6,6,0.6,0.6,0.6,True,0.6,0.70034
3,Mirror checks defending,Race dynamics,4,7,7,,True,0.5714285714285714,0.524143,True,16,9,10,10,0.5625,0.625,0.625,True,0.5625,0.725258
4,Race start launch,Race dynamics,4,7,7,,True,0.5714285714285714,0.390627,True,10,6,6,6,0.6,0.6,0.6,True,0.6,0.850541
5,Weather conditions,Strategy & technical,5,7,7,,True,0.7142857142857143,0.109455,True,6,4,4,4,0.6666666666666666,0.6666666666666666,0.6666666666666666,True,0.6666666666666666,0.769654
6,Grand Prix wins,Narrative & meta,3,7,7,,True,0.4285714285714285,0.94141,True,62,35,48,48,0.5645161290322581,0.7741935483870968,0.7741935483870968,True,0.5645161290322581,0.617321
7,Race start lights,Race dynamics,2,7,7,,True,0.2857142857142857,0.070542,True,9,5,6,7,0.5555555555555556,0.6666666666666666,0.7777777777777778,True,0.5555555555555556,0.77448
8,Race control flags,Regulatory,3,7,7,,True,0.4285714285714285,0.877798,True,44,25,26,34,0.5681818181818182,0.5909090909090909,0.7727272727272727,True,0.5681818181818182,0.675365
9,Formula 1 milestones,Narrative & meta,3,7,7,,True,0.4285714285714285,0.897659,True,17,13,14,15,0.7647058823529411,0.8235294117647058,0.8823529411764706,True,0.7647058823529411,0.619972
10,Chicane moves,Race dynamics,5,7,7,,True,0.7142857142857143,0.908022,True,3,3,3,3,1.0,1.0,1.0,True,1.0,0.80913
