replicate,failed,n_sampled,k,n_categories_scored,mean_jaccard
0,False,510,34,34,0.629841
1,False,510,34,34,0.59156
2,False,510,34,34,0.657418
3,False,510,34,34,0.667591
4,False,510,34,34,0.581169
5,False,510,34,34,0.614742
6,False,510,34,34,0.670472
7,False,510,34,34,0.612822
8,False,510,34,34,0.615083
9,False,510,34,34,0.592831
10,False,510,34,34,0.645631
11,False,510,34,34,0.619188
12,False,510,34,34,0.642911
13,False,510,34,34,0.592886
14,False,510,34,34,0.619117
15,False,510,34,34,0.609653
16,False,510,34,34,0.661727
17,False,510,34,34,0.606111
18,False,510,34,34,0.646467
19,False,510,34,34,0.632961
20,False,510,34,34,0.665287
21,False,510,34,34,0.617185
22,False,510,34,34,0.648161
23,False,510,34,34,0.59708
24,False,510,34,34,0.666441
25,False,510,34,34,0.640585
26,False,510,34,34,0.612233
27,False,510,34,34,0.68235
28,False,510,34,34,0.587472
29,False,510,34,34,0.653338
30,False,510,34,34,0.570753
31,False,510,34,34,0.655853
32,False,510,34,34,0.620493
33,False,510,34,34,0.669801
34,False,510,34,34,0.669775
35,False,510,34,34,0.584833
36,False,510,34,34,0.61849
37,False,510,34,34,0.603397
38,False,510,34,34,0.641026
39,False,510,34,34,0.607703
40,False,510,34,34,0.602131
41,False,510,34,34,0.641457
42,False,510,34,34,0.638388
43,False,510,34,34,0.597139
44,False,510,34,34,0.626796
45,False,510,34,34,0.565002
46,False,510,34,34,0.627281
47,False,510,34,34,0.621211
48,False,510,34,34,0.620425
49,False,510,34,34,0.600166
50,False,510,34,34,0.646165
51,False,510,34,34,0.624091
52,False,510,34,34,0.678896
53,False,510,34,34,0.588509
54,False,510,34,34,0.649984
55,False,510,34,34,0.644574
56,False,510,34,34,0.652437
57,False,510,34,34,0.617047
58,False,510,34,34,0.633565
59,False,510,34,34,0.558058
60,False,510,34,34,0.628988
61,False,510,34,34,0.632145
62,False,510,34,34,0.586747
63,False,510,34,34,0.571032
64,False,510,34,34,0.602503
65,False,510,34,34,0.665772
66,False,510,34,34,0.633155
67,False,510,34,34,0.663757
68,False,510,34,34,0.658698
69,False,510,34,34,0.676856
70,False,510,34,34,0.621152
71,False,510,34,34,0.598173
72,False,510,34,34,0.662038
73,False,510,34,34,0.657332
74,False,510,34,34,0.652691
75,False,510,34,34,0.669592
76,False,510,34,34,0.609129
77,False,510,34,34,0.63794
78,False,510,34,34,0.668869
79,False,510,34,34,0.707611
80,False,510,34,34,0.612632
81,False,510,34,34,0.614316
82,False,510,34,34,0.580144
83,False,510,34,34,0.621323
84,False,510,34,34,0.627393
85,False,510,34,34,0.597894
86,False,510,34,34,0.656706
87,False,510,34,34,0.579759
88,False,510,34,34,0.634564
89,False,510,34,34,0.653106
90,False,510,34,34,0.605263
91,False,510,34,34,0.613993
92,False,510,34,34,0.666296
93,False,510,34,34,0.640635
94,False,510,34,34,0.60939
95,False,510,34,34,0.60836
96,False,510,34,34,0.638123
97,False,510,34,34,0.658909
98,False,510,34,34,0.696824
99,False,510,34,34,0.665535
