cluster,category_label,n_viable_runs,n_pass,median_rep_strict,median_rep_dir,n_reconstructed,pass_rate
0,DRS-assisted battles,153,75,0.4883720930232558,0.7222222222222222,153,0.490196
1,Time penalties,153,153,0.8181818181818182,0.868421052631579,153,1.0
2,Lights-out race starts,153,103,0.5384615384615384,0.6153846153846154,145,0.673203
3,Mirror checks defending,153,44,0.5555555555555556,0.625,65,0.287582
4,Race start launch,153,51,0.5454545454545454,0.6,70,0.333333
5,Weather conditions,153,7,0.14285714285714285,0.17708333333333331,44,0.045752
6,Grand Prix wins,153,55,0.47126436781609193,0.7380952380952381,153,0.359477
7,Race start lights,153,7,0.5555555555555556,0.6538461538461539,11,0.045752
8,Race control flags,153,153,0.6944444444444444,0.8518518518518519,153,1.0
9,Formula 1 milestones,153,103,0.5217391304347826,0.7037037037037037,153,0.673203
10,Chicane moves,153,58,0.4,0.4444444444444444,122,0.379085
11,Team radio celebrations,153,45,0.4583333333333333,0.6190476190476191,127,0.294118
12,Podium finishes,153,95,0.52,0.7037037037037037,151,0.620915
13,Championship & title,153,81,0.5,0.7083333333333334,153,0.529412
14,Pit stops,153,54,0.4583333333333333,0.631578947368421,153,0.352941
15,Tires & compounds,153,137,0.5573770491803278,0.7592592592592593,153,0.895425
16,Safety car deployment,153,104,0.5358974358974359,0.625,152,0.679739
17,Gap & pace,153,32,0.4,0.5625,107,0.20915
18,Team dynamics,153,96,0.5,0.75,149,0.627451
19,Race lead holding,153,98,0.5384615384615384,0.6666666666666666,142,0.640523
20,Wing & car damage,153,46,0.46153846153846156,0.6,114,0.300654
21,Braking & lockups,153,79,0.5,0.7,153,0.51634
22,Wheel-to-wheel,153,111,0.6,0.6666666666666666,135,0.72549
23,Circuit action,153,68,0.4,0.5,147,0.444444
24,Inter-car distance,153,20,0.4,0.46153846153846156,66,0.130719
25,Driver & team references,153,64,0.5,0.6201923076923077,114,0.418301
26,Defending & attacking,153,64,0.42857142857142855,0.625,139,0.418301
27,Overtake battles,153,54,0.42857142857142855,0.8,153,0.352941
28,Corner battles,153,40,0.40454545454545454,0.6666666666666666,124,0.261438
29,Corner specific moves,153,19,0.4444444444444444,0.5505050505050505,56,0.124183
30,Lap pace & timing,153,76,0.5,0.6742424242424242,144,0.496732
31,Race leader changes,153,89,0.5,0.6875,153,0.581699
32,Front position changes,153,8,0.3333333333333333,0.8166666666666667,22,0.052288
33,Field position changes,153,129,0.625,0.8086080586080586,142,0.843137
