cache,embedding_sha256,mcs,seed,umap_seed,n_train_races,n_heldout_races,train_races,heldout_races,aligned_categories,train_total,heldout_total,train_assigned,heldout_assigned,train_noise_fraction,is_degenerate,n_categories,n_not_reconstructed,n_pass,pass_vector,elapsed_sec
A,afad0da43887d42bb201ac9db635393d87a4d30214207c505fcd501175822a46,30,0,42,80,33,2021_AbuDhabi_GP;2021_Austria_GP;2021_Azerbaijan_GP;2021_Bahrain_GP;2021_Britain_GP;2021_Imola_GP;2021_Italy_GP;2021_Mexico_GP;2021_Netherlands_GP;2021_Qatar_GP;2021_Russia_GP;2021_Styria_GP;2022_AbuDhabi_GP;2022_Australia_GP;2022_Austria_GP;2022_Britain_GP;2022_Canada_GP;2022_France_GP;2022_Hungary_GP;2022_Imola_GP;2022_Italy_GP;2022_Japan_GP;2022_Mexico_GP;2022_Miami_GP;2022_Netherlands_GP;2022_SaudiArabia_GP;2022_Singapore_GP;2022_Spain_GP;2022_USA_GP;2023_AbuDhabi_GP;2023_Australia_GP;2023_Austria_GP;2023_Azerbaijan_GP;2023_Bahrain_GP;2023_Britain_GP;2023_Canada_GP;2023_Hungary_GP;2023_Italy_GP;2023_LasVegas_GP;2023_Miami_GP;2023_Monaco_GP;2023_Qatar_GP;2023_SaoPaulo_GP;2023_SaudiArabia_GP;2023_Singapore_GP;2023_USA_GP;2024_AbuDhabi_GP;2024_Australia_GP;2024_Austria_GP;2024_Azerbaijan_GP;2024_Bahrain_GP;2024_Belgium_GP;2024_Britain_GP;2024_Canada_GP;2024_China_GP;2024_Dutch_GP;2024_Hungarian_GP;2024_Imola_GP;2024_Italy_GP;2024_Japan_GP;2024_Mexico_GP;2024_Miami_GP;2024_Qatar_GP;2024_SaudiArabia_GP;2024_Singapore_GP;2024_Spain_GP;2025_AbuDhabi_GP;2025_Austria_GP;2025_Britain_GP;2025_Canada_GP;2025_Imola_GP;2025_Japan_GP;2025_LasVegas_GP;2025_Mexico_GP;2025_Miami_GP;2025_Monaco_GP;2025_Netherlands_GP;2025_Qatar_GP;2025_SaoPaulo_GP;2025_Singapore_GP,2021_Belgium_GP;2021_France_GP;2021_Monaco_GP;2021_Portugal_GP;2021_SaoPaulo_GP;2021_SaudiArabia_GP;2021_Spain_GP;2021_Turkey_GP;2021_USA_GP;2022_Azerbaijan_GP;2022_Bahrain_GP;2022_Belgium_GP;2022_Monaco_GP;2022_SaoPaulo_GP;2023_Belgium_GP;2023_Japan_GP;2023_Mexico_GP;2023_Netherlands_GP;2023_Spain_GP;2024_LasVegas_GP;2024_Monaco_GP;2024_SaoPaulo_GP;2024_USA_GP;2025_Australia_GP;2025_Azerbaijan_GP;2025_Bahrain_GP;2025_Belgium_GP;2025_China_GP;2025_Hungary_GP;2025_Italy_GP;2025_SaudiArabia_GP;2025_Spain_GP;2025_USA_GP,5,5369,2278,5369,2277,0.0,True,34,29,4,1;2;3;27,105.5
A,afad0da43887d42bb201ac9db635393d87a4d30214207c505fcd501175822a46,30,1,42,80,33,2021_Austria_GP;2021_Belgium_GP;2021_Britain_GP;2021_Imola_GP;2021_Italy_GP;2021_Mexico_GP;2021_Monaco_GP;2021_Netherlands_GP;2021_Portugal_GP;2021_Qatar_GP;2021_Russia_GP;2021_SaudiArabia_GP;2021_Spain_GP;2021_Turkey_GP;2021_USA_GP;2022_AbuDhabi_GP;2022_Azerbaijan_GP;2022_Bahrain_GP;2022_Belgium_GP;2022_Britain_GP;2022_Canada_GP;2022_France_GP;2022_Hungary_GP;2022_Italy_GP;2022_Miami_GP;2022_Monaco_GP;2022_Netherlands_GP;2022_SaoPaulo_GP;2022_SaudiArabia_GP;2022_Spain_GP;2023_AbuDhabi_GP;2023_Austria_GP;2023_Azerbaijan_GP;2023_Bahrain_GP;2023_Belgium_GP;2023_Britain_GP;2023_Canada_GP;2023_Italy_GP;2023_Japan_GP;2023_Mexico_GP;2023_Miami_GP;2023_Monaco_GP;2023_Netherlands_GP;2023_Qatar_GP;2023_SaudiArabia_GP;2023_Singapore_GP;2023_Spain_GP;2023_USA_GP;2024_AbuDhabi_GP;2024_Azerbaijan_GP;2024_Bahrain_GP;2024_Canada_GP;2024_China_GP;2024_Hungarian_GP;2024_Italy_GP;2024_Japan_GP;2024_LasVegas_GP;2024_Mexico_GP;2024_Miami_GP;2024_Monaco_GP;2024_Qatar_GP;2024_SaoPaulo_GP;2024_Singapore_GP;2025_Australia_GP;2025_Austria_GP;2025_Azerbaijan_GP;2025_Belgium_GP;2025_Britain_GP;2025_Canada_GP;2025_China_GP;2025_Hungary_GP;2025_Italy_GP;2025_LasVegas_GP;2025_Monaco_GP;2025_Netherlands_GP;2025_Qatar_GP;2025_SaoPaulo_GP;2025_SaudiArabia_GP;2025_Spain_GP;2025_USA_GP,2021_AbuDhabi_GP;2021_Azerbaijan_GP;2021_Bahrain_GP;2021_France_GP;2021_SaoPaulo_GP;2021_Styria_GP;2022_Australia_GP;2022_Austria_GP;2022_Imola_GP;2022_Japan_GP;2022_Mexico_GP;2022_Singapore_GP;2022_USA_GP;2023_Australia_GP;2023_Hungary_GP;2023_LasVegas_GP;2023_SaoPaulo_GP;2024_Australia_GP;2024_Austria_GP;2024_Belgium_GP;2024_Britain_GP;2024_Dutch_GP;2024_Imola_GP;2024_SaudiArabia_GP;2024_Spain_GP;2024_USA_GP;2025_AbuDhabi_GP;2025_Bahrain_GP;2025_Imola_GP;2025_Japan_GP;2025_Mexico_GP;2025_Miami_GP;2025_Singapore_GP,30,5379,2268,3279,1202,0.390407,False,34,4,18,1;2;6;8;12;13;15;16;17;18;19;20;21;23;26;28;30;33,22.7
A,afad0da43887d42bb201ac9db635393d87a4d30214207c505fcd501175822a46,30,2,42,80,33,2021_Azerbaijan_GP;2021_Bahrain_GP;2021_Italy_GP;2021_Mexico_GP;2021_Monaco_GP;2021_Netherlands_GP;2021_Qatar_GP;2021_Russia_GP;2021_SaoPaulo_GP;2021_SaudiArabia_GP;2021_Styria_GP;2021_Turkey_GP;2022_Austria_GP;2022_Azerbaijan_GP;2022_Bahrain_GP;2022_Belgium_GP;2022_Britain_GP;2022_Canada_GP;2022_Hungary_GP;2022_Imola_GP;2022_Italy_GP;2022_Mexico_GP;2022_Miami_GP;2022_SaudiArabia_GP;2022_Singapore_GP;2022_Spain_GP;2022_USA_GP;2023_AbuDhabi_GP;2023_Australia_GP;2023_Austria_GP;2023_Bahrain_GP;2023_Britain_GP;2023_Canada_GP;2023_Hungary_GP;2023_LasVegas_GP;2023_Mexico_GP;2023_Miami_GP;2023_Netherlands_GP;2023_Qatar_GP;2023_SaoPaulo_GP;2023_SaudiArabia_GP;2023_Singapore_GP;2023_Spain_GP;2023_USA_GP;2024_AbuDhabi_GP;2024_Australia_GP;2024_Austria_GP;2024_Bahrain_GP;2024_Belgium_GP;2024_Britain_GP;2024_Dutch_GP;2024_Imola_GP;2024_Japan_GP;2024_LasVegas_GP;2024_Mexico_GP;2024_Monaco_GP;2024_SaoPaulo_GP;2024_SaudiArabia_GP;2024_Singapore_GP;2024_Spain_GP;2024_USA_GP;2025_AbuDhabi_GP;2025_Australia_GP;2025_Austria_GP;2025_Azerbaijan_GP;2025_Bahrain_GP;2025_Belgium_GP;2025_Britain_GP;2025_Hungary_GP;2025_Italy_GP;2025_Japan_GP;2025_Mexico_GP;2025_Miami_GP;2025_Monaco_GP;2025_Netherlands_GP;2025_Qatar_GP;2025_SaoPaulo_GP;2025_SaudiArabia_GP;2025_Singapore_GP;2025_USA_GP,2021_AbuDhabi_GP;2021_Austria_GP;2021_Belgium_GP;2021_Britain_GP;2021_France_GP;2021_Imola_GP;2021_Portugal_GP;2021_Spain_GP;2021_USA_GP;2022_AbuDhabi_GP;2022_Australia_GP;2022_France_GP;2022_Japan_GP;2022_Monaco_GP;2022_Netherlands_GP;2022_SaoPaulo_GP;2023_Azerbaijan_GP;2023_Belgium_GP;2023_Italy_GP;2023_Japan_GP;2023_Monaco_GP;2024_Azerbaijan_GP;2024_Canada_GP;2024_China_GP;2024_Hungarian_GP;2024_Italy_GP;2024_Miami_GP;2024_Qatar_GP;2025_Canada_GP;2025_China_GP;2025_Imola_GP;2025_LasVegas_GP;2025_Spain_GP,29,5522,2125,3720,1358,0.326331,False,34,5,16,1;2;3;4;8;10;12;15;16;18;20;21;22;25;27;33,21.6
A,afad0da43887d42bb201ac9db635393d87a4d30214207c505fcd501175822a46,30,3,42,80,33,2021_AbuDhabi_GP;2021_Austria_GP;2021_Azerbaijan_GP;2021_Bahrain_GP;2021_Belgium_GP;2021_Britain_GP;2021_France_GP;2021_Imola_GP;2021_Italy_GP;2021_Monaco_GP;2021_Netherlands_GP;2021_Portugal_GP;2021_Russia_GP;2021_SaudiArabia_GP;2021_Turkey_GP;2022_AbuDhabi_GP;2022_Australia_GP;2022_Austria_GP;2022_Azerbaijan_GP;2022_Bahrain_GP;2022_Belgium_GP;2022_Britain_GP;2022_Canada_GP;2022_France_GP;2022_Imola_GP;2022_Italy_GP;2022_Mexico_GP;2022_Miami_GP;2022_Netherlands_GP;2022_SaudiArabia_GP;2022_Spain_GP;2022_USA_GP;2023_Australia_GP;2023_Austria_GP;2023_Azerbaijan_GP;2023_Belgium_GP;2023_Britain_GP;2023_Canada_GP;2023_Hungary_GP;2023_Italy_GP;2023_Mexico_GP;2023_Monaco_GP;2023_Qatar_GP;2023_Singapore_GP;2023_Spain_GP;2024_AbuDhabi_GP;2024_Australia_GP;2024_Austria_GP;2024_Azerbaijan_GP;2024_Bahrain_GP;2024_Belgium_GP;2024_Britain_GP;2024_Canada_GP;2024_China_GP;2024_Dutch_GP;2024_Japan_GP;2024_Mexico_GP;2024_Monaco_GP;2024_Qatar_GP;2024_SaoPaulo_GP;2024_SaudiArabia_GP;2025_Australia_GP;2025_Austria_GP;2025_Azerbaijan_GP;2025_Bahrain_GP;2025_Belgium_GP;2025_Britain_GP;2025_Canada_GP;2025_Hungary_GP;2025_Imola_GP;2025_Italy_GP;2025_Japan_GP;2025_LasVegas_GP;2025_Miami_GP;2025_Netherlands_GP;2025_Qatar_GP;2025_SaoPaulo_GP;2025_Singapore_GP;2025_Spain_GP;2025_USA_GP,2021_Mexico_GP;2021_Qatar_GP;2021_SaoPaulo_GP;2021_Spain_GP;2021_Styria_GP;2021_USA_GP;2022_Hungary_GP;2022_Japan_GP;2022_Monaco_GP;2022_SaoPaulo_GP;2022_Singapore_GP;2023_AbuDhabi_GP;2023_Bahrain_GP;2023_Japan_GP;2023_LasVegas_GP;2023_Miami_GP;2023_Netherlands_GP;2023_SaoPaulo_GP;2023_SaudiArabia_GP;2023_USA_GP;2024_Hungarian_GP;2024_Imola_GP;2024_Italy_GP;2024_LasVegas_GP;2024_Miami_GP;2024_Singapore_GP;2024_Spain_GP;2024_USA_GP;2025_AbuDhabi_GP;2025_China_GP;2025_Mexico_GP;2025_Monaco_GP;2025_SaudiArabia_GP,29,5456,2191,3400,1242,0.376833,False,34,5,17,0;1;2;8;9;12;15;16;18;19;20;21;22;27;30;31;33,23.0
A,afad0da43887d42bb201ac9db635393d87a4d30214207c505fcd501175822a46,30,4,42,80,33,2021_Azerbaijan_GP;2021_Bahrain_GP;2021_Imola_GP;2021_Italy_GP;2021_Monaco_GP;2021_Netherlands_GP;2021_Portugal_GP;2021_SaoPaulo_GP;2021_SaudiArabia_GP;2021_Styria_GP;2021_Turkey_GP;2021_USA_GP;2022_Australia_GP;2022_Azerbaijan_GP;2022_Bahrain_GP;2022_Belgium_GP;2022_Britain_GP;2022_Canada_GP;2022_Imola_GP;2022_Italy_GP;2022_Japan_GP;2022_Miami_GP;2022_Netherlands_GP;2022_SaoPaulo_GP;2022_SaudiArabia_GP;2022_Spain_GP;2022_USA_GP;2023_AbuDhabi_GP;2023_Australia_GP;2023_Belgium_GP;2023_Britain_GP;2023_Italy_GP;2023_Japan_GP;2023_LasVegas_GP;2023_Mexico_GP;2023_Miami_GP;2023_Monaco_GP;2023_Netherlands_GP;2023_Qatar_GP;2023_SaudiArabia_GP;2023_Singapore_GP;2023_Spain_GP;2023_USA_GP;2024_AbuDhabi_GP;2024_Australia_GP;2024_Austria_GP;2024_Azerbaijan_GP;2024_Belgium_GP;2024_Britain_GP;2024_Canada_GP;2024_China_GP;2024_Dutch_GP;2024_Hungarian_GP;2024_Imola_GP;2024_Italy_GP;2024_Japan_GP;2024_LasVegas_GP;2024_Monaco_GP;2024_Qatar_GP;2024_SaoPaulo_GP;2024_SaudiArabia_GP;2024_USA_GP;2025_Australia_GP;2025_Austria_GP;2025_Azerbaijan_GP;2025_Belgium_GP;2025_Britain_GP;2025_Canada_GP;2025_China_GP;2025_Imola_GP;2025_Japan_GP;2025_LasVegas_GP;2025_Mexico_GP;2025_Netherlands_GP;2025_Qatar_GP;2025_SaoPaulo_GP;2025_SaudiArabia_GP;2025_Singapore_GP;2025_Spain_GP;2025_USA_GP,2021_AbuDhabi_GP;2021_Austria_GP;2021_Belgium_GP;2021_Britain_GP;2021_France_GP;2021_Mexico_GP;2021_Qatar_GP;2021_Russia_GP;2021_Spain_GP;2022_AbuDhabi_GP;2022_Austria_GP;2022_France_GP;2022_Hungary_GP;2022_Mexico_GP;2022_Monaco_GP;2022_Singapore_GP;2023_Austria_GP;2023_Azerbaijan_GP;2023_Bahrain_GP;2023_Canada_GP;2023_Hungary_GP;2023_SaoPaulo_GP;2024_Bahrain_GP;2024_Mexico_GP;2024_Miami_GP;2024_Singapore_GP;2024_Spain_GP;2025_AbuDhabi_GP;2025_Bahrain_GP;2025_Hungary_GP;2025_Italy_GP;2025_Miami_GP;2025_Monaco_GP,30,5466,2181,3523,1268,0.35547,False,34,4,16,0;1;2;8;9;10;12;13;15;16;21;22;25;29;30;31,21.0
A,afad0da43887d42bb201ac9db635393d87a4d30214207c505fcd501175822a46,30,5,42,80,33,2021_AbuDhabi_GP;2021_Austria_GP;2021_Azerbaijan_GP;2021_Bahrain_GP;2021_Belgium_GP;2021_Britain_GP;2021_France_GP;2021_Imola_GP;2021_Monaco_GP;2021_Netherlands_GP;2021_Portugal_GP;2021_Qatar_GP;2021_Russia_GP;2021_SaoPaulo_GP;2021_SaudiArabia_GP;2021_Spain_GP;2021_Turkey_GP;2021_USA_GP;2022_Australia_GP;2022_Bahrain_GP;2022_Belgium_GP;2022_Canada_GP;2022_France_GP;2022_Hungary_GP;2022_Imola_GP;2022_Japan_GP;2022_Mexico_GP;2022_Miami_GP;2022_Spain_GP;2022_USA_GP;2023_Australia_GP;2023_Azerbaijan_GP;2023_Bahrain_GP;2023_Belgium_GP;2023_Britain_GP;2023_Canada_GP;2023_Hungary_GP;2023_Italy_GP;2023_LasVegas_GP;2023_Miami_GP;2023_Netherlands_GP;2023_Qatar_GP;2023_SaudiArabia_GP;2024_AbuDhabi_GP;2024_Australia_GP;2024_Austria_GP;2024_Azerbaijan_GP;2024_Bahrain_GP;2024_Belgium_GP;2024_China_GP;2024_Dutch_GP;2024_Imola_GP;2024_Italy_GP;2024_Japan_GP;2024_LasVegas_GP;2024_Monaco_GP;2024_Qatar_GP;2024_SaoPaulo_GP;2024_SaudiArabia_GP;2024_Singapore_GP;2024_Spain_GP;2025_AbuDhabi_GP;2025_Australia_GP;2025_Austria_GP;2025_Bahrain_GP;2025_Belgium_GP;2025_Britain_GP;2025_Canada_GP;2025_Hungary_GP;2025_Italy_GP;2025_Japan_GP;2025_LasVegas_GP;2025_Mexico_GP;2025_Miami_GP;2025_Netherlands_GP;2025_Qatar_GP;2025_SaoPaulo_GP;2025_SaudiArabia_GP;2025_Singapore_GP;2025_Spain_GP,2021_Italy_GP;2021_Mexico_GP;2021_Styria_GP;2022_AbuDhabi_GP;2022_Austria_GP;2022_Azerbaijan_GP;2022_Britain_GP;2022_Italy_GP;2022_Monaco_GP;2022_Netherlands_GP;2022_SaoPaulo_GP;2022_SaudiArabia_GP;2022_Singapore_GP;2023_AbuDhabi_GP;2023_Austria_GP;2023_Japan_GP;2023_Mexico_GP;2023_Monaco_GP;2023_SaoPaulo_GP;2023_Singapore_GP;2023_Spain_GP;2023_USA_GP;2024_Britain_GP;2024_Canada_GP;2024_Hungarian_GP;2024_Mexico_GP;2024_Miami_GP;2024_USA_GP;2025_Azerbaijan_GP;2025_China_GP;2025_Imola_GP;2025_Monaco_GP;2025_USA_GP,26,5490,2157,3705,1340,0.325137,False,34,8,14,1;2;3;6;8;9;12;15;22;25;26;28;31;33,15.2
A,afad0da43887d42bb201ac9db635393d87a4d30214207c505fcd501175822a46,30,6,42,80,33,2021_AbuDhabi_GP;2021_Azerbaijan_GP;2021_Bahrain_GP;2021_Belgium_GP;2021_France_GP;2021_Italy_GP;2021_Mexico_GP;2021_Monaco_GP;2021_Netherlands_GP;2021_Portugal_GP;2021_Russia_GP;2021_SaoPaulo_GP;2021_SaudiArabia_GP;2021_Styria_GP;2021_Turkey_GP;2022_Austria_GP;2022_Azerbaijan_GP;2022_Belgium_GP;2022_Canada_GP;2022_Hungary_GP;2022_Imola_GP;2022_Japan_GP;2022_Mexico_GP;2022_Miami_GP;2022_Monaco_GP;2022_Netherlands_GP;2022_SaoPaulo_GP;2022_Singapore_GP;2022_Spain_GP;2022_USA_GP;2023_Austria_GP;2023_Azerbaijan_GP;2023_Bahrain_GP;2023_Belgium_GP;2023_Britain_GP;2023_Hungary_GP;2023_Italy_GP;2023_Japan_GP;2023_Mexico_GP;2023_Miami_GP;2023_Monaco_GP;2023_Netherlands_GP;2023_Qatar_GP;2023_SaoPaulo_GP;2023_SaudiArabia_GP;2023_Spain_GP;2024_Austria_GP;2024_Azerbaijan_GP;2024_Bahrain_GP;2024_Belgium_GP;2024_Britain_GP;2024_Canada_GP;2024_China_GP;2024_Hungarian_GP;2024_Italy_GP;2024_Japan_GP;2024_Mexico_GP;2024_Miami_GP;2024_Monaco_GP;2024_Qatar_GP;2024_SaoPaulo_GP;2024_Singapore_GP;2024_Spain_GP;2024_USA_GP;2025_AbuDhabi_GP;2025_Australia_GP;2025_Austria_GP;2025_Azerbaijan_GP;2025_Britain_GP;2025_China_GP;2025_Hungary_GP;2025_Imola_GP;2025_Italy_GP;2025_Japan_GP;2025_Mexico_GP;2025_Monaco_GP;2025_SaoPaulo_GP;2025_SaudiArabia_GP;2025_Spain_GP;2025_USA_GP,2021_Austria_GP;2021_Britain_GP;2021_Imola_GP;2021_Qatar_GP;2021_Spain_GP;2021_USA_GP;2022_AbuDhabi_GP;2022_Australia_GP;2022_Bahrain_GP;2022_Britain_GP;2022_France_GP;2022_Italy_GP;2022_SaudiArabia_GP;2023_AbuDhabi_GP;2023_Australia_GP;2023_Canada_GP;2023_LasVegas_GP;2023_Singapore_GP;2023_USA_GP;2024_AbuDhabi_GP;2024_Australia_GP;2024_Dutch_GP;2024_Imola_GP;2024_LasVegas_GP;2024_SaudiArabia_GP;2025_Bahrain_GP;2025_Belgium_GP;2025_Canada_GP;2025_LasVegas_GP;2025_Miami_GP;2025_Netherlands_GP;2025_Qatar_GP;2025_Singapore_GP,30,5345,2302,3472,1298,0.350421,False,34,4,17,1;2;3;4;7;8;9;10;13;16;17;21;22;24;27;31;33,15.7
A,afad0da43887d42bb201ac9db635393d87a4d30214207c505fcd501175822a46,30,7,42,80,33,2021_AbuDhabi_GP;2021_Austria_GP;2021_Azerbaijan_GP;2021_Bahrain_GP;2021_France_GP;2021_Mexico_GP;2021_Netherlands_GP;2021_Portugal_GP;2021_SaoPaulo_GP;2021_SaudiArabia_GP;2021_Spain_GP;2021_Turkey_GP;2022_AbuDhabi_GP;2022_Austria_GP;2022_Azerbaijan_GP;2022_Bahrain_GP;2022_Britain_GP;2022_France_GP;2022_Hungary_GP;2022_Imola_GP;2022_Italy_GP;2022_Japan_GP;2022_Mexico_GP;2022_Miami_GP;2022_Monaco_GP;2022_Netherlands_GP;2022_SaudiArabia_GP;2022_Singapore_GP;2022_Spain_GP;2023_AbuDhabi_GP;2023_Australia_GP;2023_Bahrain_GP;2023_Belgium_GP;2023_Britain_GP;2023_Canada_GP;2023_Hungary_GP;2023_Italy_GP;2023_Japan_GP;2023_LasVegas_GP;2023_Monaco_GP;2023_Netherlands_GP;2023_Qatar_GP;2023_Spain_GP;2023_USA_GP;2024_AbuDhabi_GP;2024_Australia_GP;2024_Austria_GP;2024_Azerbaijan_GP;2024_Belgium_GP;2024_Britain_GP;2024_Canada_GP;2024_Dutch_GP;2024_Imola_GP;2024_Italy_GP;2024_LasVegas_GP;2024_Miami_GP;2024_Monaco_GP;2024_Qatar_GP;2024_SaoPaulo_GP;2024_Singapore_GP;2024_Spain_GP;2025_AbuDhabi_GP;2025_Australia_GP;2025_Austria_GP;2025_Azerbaijan_GP;2025_Belgium_GP;2025_Britain_GP;2025_Canada_GP;2025_China_GP;2025_Hungary_GP;2025_Imola_GP;2025_Italy_GP;2025_LasVegas_GP;2025_Mexico_GP;2025_Miami_GP;2025_Monaco_GP;2025_Netherlands_GP;2025_Qatar_GP;2025_SaoPaulo_GP;2025_Spain_GP,2021_Belgium_GP;2021_Britain_GP;2021_Imola_GP;2021_Italy_GP;2021_Monaco_GP;2021_Qatar_GP;2021_Russia_GP;2021_Styria_GP;2021_USA_GP;2022_Australia_GP;2022_Belgium_GP;2022_Canada_GP;2022_SaoPaulo_GP;2022_USA_GP;2023_Austria_GP;2023_Azerbaijan_GP;2023_Mexico_GP;2023_Miami_GP;2023_SaoPaulo_GP;2023_SaudiArabia_GP;2023_Singapore_GP;2024_Bahrain_GP;2024_China_GP;2024_Hungarian_GP;2024_Japan_GP;2024_Mexico_GP;2024_SaudiArabia_GP;2024_USA_GP;2025_Bahrain_GP;2025_Japan_GP;2025_SaudiArabia_GP;2025_Singapore_GP;2025_USA_GP,27,5468,2179,3500,1228,0.359912,False,34,7,16,0;1;2;4;6;8;9;12;15;18;19;20;22;26;30;33,23.5
A,afad0da43887d42bb201ac9db635393d87a4d30214207c505fcd501175822a46,30,8,42,80,33,2021_Austria_GP;2021_Azerbaijan_GP;2021_Britain_GP;2021_France_GP;2021_Imola_GP;2021_Italy_GP;2021_Mexico_GP;2021_Monaco_GP;2021_Netherlands_GP;2021_Portugal_GP;2021_Qatar_GP;2021_Russia_GP;2021_SaoPaulo_GP;2021_Spain_GP;2021_Styria_GP;2021_USA_GP;2022_AbuDhabi_GP;2022_Austria_GP;2022_Azerbaijan_GP;2022_Bahrain_GP;2022_Belgium_GP;2022_Britain_GP;2022_Canada_GP;2022_France_GP;2022_Hungary_GP;2022_Imola_GP;2022_Italy_GP;2022_Japan_GP;2022_Mexico_GP;2022_Miami_GP;2022_Monaco_GP;2022_Netherlands_GP;2022_SaoPaulo_GP;2022_Singapore_GP;2022_USA_GP;2023_Austria_GP;2023_Bahrain_GP;2023_Belgium_GP;2023_Britain_GP;2023_Hungary_GP;2023_Italy_GP;2023_Mexico_GP;2023_Miami_GP;2023_Monaco_GP;2023_SaoPaulo_GP;2023_Singapore_GP;2023_Spain_GP;2024_AbuDhabi_GP;2024_Australia_GP;2024_Austria_GP;2024_Azerbaijan_GP;2024_Belgium_GP;2024_Britain_GP;2024_Canada_GP;2024_China_GP;2024_Hungarian_GP;2024_Imola_GP;2024_Italy_GP;2024_Japan_GP;2024_Mexico_GP;2024_Miami_GP;2024_Qatar_GP;2024_SaudiArabia_GP;2024_Singapore_GP;2025_AbuDhabi_GP;2025_Austria_GP;2025_Azerbaijan_GP;2025_Belgium_GP;2025_Canada_GP;2025_China_GP;2025_Hungary_GP;2025_Imola_GP;2025_Japan_GP;2025_LasVegas_GP;2025_Mexico_GP;2025_Miami_GP;2025_Netherlands_GP;2025_Qatar_GP;2025_Spain_GP;2025_USA_GP,2021_AbuDhabi_GP;2021_Bahrain_GP;2021_Belgium_GP;2021_SaudiArabia_GP;2021_Turkey_GP;2022_Australia_GP;2022_SaudiArabia_GP;2022_Spain_GP;2023_AbuDhabi_GP;2023_Australia_GP;2023_Azerbaijan_GP;2023_Canada_GP;2023_Japan_GP;2023_LasVegas_GP;2023_Netherlands_GP;2023_Qatar_GP;2023_SaudiArabia_GP;2023_USA_GP;2024_Bahrain_GP;2024_Dutch_GP;2024_LasVegas_GP;2024_Monaco_GP;2024_SaoPaulo_GP;2024_Spain_GP;2024_USA_GP;2025_Australia_GP;2025_Bahrain_GP;2025_Britain_GP;2025_Italy_GP;2025_Monaco_GP;2025_SaoPaulo_GP;2025_SaudiArabia_GP;2025_Singapore_GP,28,5349,2298,3563,1289,0.333894,False,34,6,12,1;8;12;15;16;19;20;22;24;25;28;33,22.0
A,afad0da43887d42bb201ac9db635393d87a4d30214207c505fcd501175822a46,30,9,42,80,33,2021_AbuDhabi_GP;2021_Austria_GP;2021_Bahrain_GP;2021_Belgium_GP;2021_France_GP;2021_Imola_GP;2021_Italy_GP;2021_Mexico_GP;2021_Monaco_GP;2021_Netherlands_GP;2021_Qatar_GP;2021_Russia_GP;2021_SaoPaulo_GP;2021_Spain_GP;2021_Styria_GP;2021_USA_GP;2022_AbuDhabi_GP;2022_Australia_GP;2022_Austria_GP;2022_Bahrain_GP;2022_Belgium_GP;2022_Hungary_GP;2022_Imola_GP;2022_Mexico_GP;2022_Miami_GP;2022_Monaco_GP;2022_SaudiArabia_GP;2022_Singapore_GP;2022_Spain_GP;2022_USA_GP;2023_Australia_GP;2023_Austria_GP;2023_Azerbaijan_GP;2023_Bahrain_GP;2023_Belgium_GP;2023_Britain_GP;2023_Canada_GP;2023_Hungary_GP;2023_Italy_GP;2023_Japan_GP;2023_LasVegas_GP;2023_Mexico_GP;2023_Monaco_GP;2023_Netherlands_GP;2023_SaoPaulo_GP;2023_SaudiArabia_GP;2023_Spain_GP;2023_USA_GP;2024_AbuDhabi_GP;2024_Australia_GP;2024_Austria_GP;2024_Azerbaijan_GP;2024_Belgium_GP;2024_Britain_GP;2024_Canada_GP;2024_China_GP;2024_Hungarian_GP;2024_Imola_GP;2024_Italy_GP;2024_Japan_GP;2024_LasVegas_GP;2024_Mexico_GP;2024_Qatar_GP;2024_SaoPaulo_GP;2024_SaudiArabia_GP;2024_Singapore_GP;2024_Spain_GP;2025_Australia_GP;2025_Austria_GP;2025_Azerbaijan_GP;2025_Britain_GP;2025_Canada_GP;2025_Hungary_GP;2025_LasVegas_GP;2025_Mexico_GP;2025_Miami_GP;2025_Monaco_GP;2025_Qatar_GP;2025_Singapore_GP;2025_Spain_GP,2021_Azerbaijan_GP;2021_Britain_GP;2021_Portugal_GP;2021_SaudiArabia_GP;2021_Turkey_GP;2022_Azerbaijan_GP;2022_Britain_GP;2022_Canada_GP;2022_France_GP;2022_Italy_GP;2022_Japan_GP;2022_Netherlands_GP;2022_SaoPaulo_GP;2023_AbuDhabi_GP;2023_Miami_GP;2023_Qatar_GP;2023_Singapore_GP;2024_Bahrain_GP;2024_Dutch_GP;2024_Miami_GP;2024_Monaco_GP;2024_USA_GP;2025_AbuDhabi_GP;2025_Bahrain_GP;2025_Belgium_GP;2025_China_GP;2025_Imola_GP;2025_Italy_GP;2025_Japan_GP;2025_Netherlands_GP;2025_SaoPaulo_GP;2025_SaudiArabia_GP;2025_USA_GP,30,5385,2262,3360,1275,0.376045,False,34,4,21,1;2;3;8;9;10;12;14;15;16;18;19;20;21;23;25;26;27;29;30;33,19.2
