cluster,n,median_margin,min_margin,max_margin,n_within_0_05
0,153,-0.011627906976744207,-0.2142857142857143,0.23076923076923073,57
1,153,0.31818181818181823,0.02941176470588236,0.4714285714285714,4
2,145,0.038461538461538436,-0.2,0.38888888888888884,53
3,65,0.05555555555555558,-0.33333333333333337,0.30000000000000004,14
4,70,0.045454545454545414,-0.2142857142857143,0.30000000000000004,24
5,44,-0.35714285714285715,-0.4285714285714286,0.16666666666666663,2
6,153,-0.028735632183908066,-0.15555555555555556,0.16249999999999998,77
7,11,0.05555555555555558,-0.16666666666666669,0.30952380952380953,2
8,153,0.19444444444444442,0.0,0.45833333333333337,12
9,153,0.021739130434782594,-0.26,0.38235294117647056,69
10,122,-0.09999999999999998,-0.375,0.5,12
11,127,-0.041666666666666685,-0.33870967741935487,0.2692307692307693,52
12,151,0.020000000000000018,-0.1896551724137931,0.2272727272727273,64
13,153,0.0,-0.18181818181818182,0.23684210526315785,66
14,153,-0.041666666666666685,-0.26,0.2222222222222222,57
15,153,0.05737704918032782,-0.11538461538461536,0.160377358490566,66
16,152,0.03589743589743588,-0.2647058823529412,0.40909090909090906,43
17,107,-0.09999999999999998,-0.35714285714285715,0.5,22
18,149,0.0,-0.35714285714285715,0.5,32
19,142,0.038461538461538436,-0.25,0.3571428571428571,34
20,114,-0.038461538461538436,-0.32352941176470584,0.2272727272727273,30
21,153,0.0,-0.26,0.4,31
22,135,0.09999999999999998,-0.2,0.5,33
23,147,-0.09999999999999998,-0.3888888888888889,0.5,24
24,66,-0.09999999999999998,-0.5,0.31818181818181823,15
25,114,0.0,-0.3,0.5,20
26,139,-0.07142857142857145,-0.35714285714285715,0.33333333333333337,35
27,153,-0.07142857142857145,-0.4166666666666667,0.41666666666666663,27
28,124,-0.09545454545454543,-0.375,0.30000000000000004,24
29,56,-0.05555555555555558,-0.40909090909090906,0.2142857142857143,20
30,144,0.0,-0.33333333333333337,0.4,52
31,153,0.0,-0.3,0.25,66
32,22,-0.16666666666666669,-0.5,0.33333333333333337,2
33,142,0.125,-0.15517241379310343,0.4285714285714286,32
