category_id,category_label,n_replicates_scored,mean_jaccard,median_jaccard,sd,min,max,at_or_above_0.45,at_or_above_0.50,at_or_above_0.55
0,DRS-assisted battles,165,0.96587,0.96988,0.019746,0.911765,0.994048,True,True,True
1,Time penalties,165,0.967766,0.970297,0.024444,0.846847,1.0,True,True,True
2,Lights-out race starts,165,0.878516,0.9,0.108659,0.014085,1.0,True,True,True
3,Mirror checks defending,165,0.524143,0.833333,0.448159,0.0,1.0,True,True,False
4,Race start launch,165,0.390627,0.007194,0.423303,0.0,0.972222,False,False,False
5,Weather conditions,165,0.109455,0.005102,0.290686,0.0,1.0,False,False,False
6,Grand Prix wins,165,0.94141,0.954082,0.041385,0.659401,0.984127,True,True,True
7,Race start lights,165,0.070542,0.029412,0.138821,0.0,0.916667,False,False,False
8,Race control flags,165,0.877798,0.922222,0.129271,0.0,1.0,True,True,True
9,Formula 1 milestones,165,0.897659,0.902439,0.03239,0.777778,0.972477,True,True,True
10,Chicane moves,165,0.908022,0.913043,0.042119,0.78,0.981818,True,True,True
11,Team radio celebrations,165,0.820581,0.846154,0.149035,0.0,0.958333,True,True,True
12,Podium finishes,165,0.916123,0.918919,0.025475,0.842975,0.972477,True,True,True
13,Championship & title,165,0.73928,0.766871,0.092613,0.415254,0.870748,True,True,True
14,Pit stops,165,0.865015,0.863309,0.02876,0.787671,0.933333,True,True,True
15,Tires & compounds,165,0.91442,0.914191,0.0191,0.816619,0.957516,True,True,True
16,Safety car deployment,165,0.761752,0.793103,0.11481,0.496296,0.944954,True,True,True
17,Gap & pace,165,0.548591,0.661538,0.278149,0.0,0.842105,True,True,False
18,Team dynamics,165,0.787829,0.796578,0.036056,0.661355,0.84717,True,True,True
19,Race lead holding,165,0.771428,0.77451,0.079161,0.574713,0.9375,True,True,True
20,Wing & car damage,165,0.676108,0.754386,0.250295,0.0,0.92,True,True,True
21,Braking & lockups,165,0.629784,0.672131,0.115284,0.257396,0.801802,True,True,True
22,Wheel-to-wheel,165,0.795354,0.815385,0.123782,0.016129,0.941176,True,True,True
23,Circuit action,165,0.769706,0.774648,0.051686,0.481481,0.912281,True,True,True
24,Inter-car distance,165,0.445708,0.476923,0.238549,0.0,0.789474,False,False,False
25,Driver & team references,165,0.512767,0.576087,0.181259,0.0,0.779661,True,True,False
26,Defending & attacking,165,0.729476,0.765957,0.157449,0.060291,0.929293,True,True,True
27,Overtake battles,165,0.750908,0.760057,0.053035,0.414365,0.844037,True,True,True
28,Corner battles,165,0.700208,0.753623,0.154983,0.040972,0.888889,True,True,True
29,Corner specific moves,165,0.482895,0.603774,0.29738,0.0,0.868852,True,False,False
30,Lap pace & timing,165,0.787592,0.794872,0.064178,0.272472,0.881356,True,True,True
31,Race leader changes,165,0.716983,0.729885,0.068521,0.339888,0.834437,True,True,True
32,Front position changes,165,0.25528,0.175258,0.186596,0.0,0.727273,False,False,False
33,Field position changes,165,0.549231,0.510989,0.15355,0.065278,0.82906,True,True,False
