artefact,name,type,applicability,status,path,stage
alternative_model_recovery_per_category,alternative_model_recovery_per_category,table,applicable,AVAILABLE,results\iracing\tables\alternative_model_recovery_per_category.csv,14
Per-category values on the four dimensions,category_diagnostic_profiles,table,applicable,AVAILABLE,results\iracing\tables\category_diagnostic_profiles.csv,14
"Category inventory: size, share, label, grouping, terms",category_inventory,table,applicable,AVAILABLE,results\iracing\tables\category_inventory.csv,14
Per-category lexical enrichment summary,category_lexical_enrichment_summary,table,applicable,AVAILABLE,results\iracing\tables\category_lexical_enrichment_summary.csv,14
category_lexical_signature_summary,category_lexical_signature_summary,table,applicable,AVAILABLE,results\iracing\tables\category_lexical_signature_summary.csv,14
Complete category-term enrichment records,category_term_enrichment_records,machine-readable records,applicable,AVAILABLE,results\iracing\tables\category_term_enrichment_records.csv,14
corpus_roles_and_characteristics,corpus_roles_and_characteristics,table,applicable,AVAILABLE,results\iracing\tables\corpus_roles_and_characteristics.csv,14
"Corpus summary: sentences, sessions, categories",corpus_summary,table,applicable,AVAILABLE,results\iracing\tables\corpus_summary.csv,14
"Diagnostic coverage per dimension, and what conditions it",diagnostic_run_summary,table,applicable,AVAILABLE,results\iracing\tables\diagnostic_run_summary.csv,14
geometry_separability_per_category,geometry_separability_per_category,table,applicable,AVAILABLE,results\iracing\tables\geometry_separability_per_category.csv,14
"Primary granularity sweep, selection marked",granularity_sweep_primary,table,applicable,AVAILABLE,results\iracing\tables\granularity_sweep_primary.csv,14
heldout_replication_per_category,heldout_replication_per_category,table,applicable,AVAILABLE,results\iracing\tables\heldout_replication_per_category.csv,14
per_category_diagnostic_detail,per_category_diagnostic_detail,table,applicable,AVAILABLE,results\iracing\tables\per_category_diagnostic_detail.csv,14
resampling_stability_per_category,resampling_stability_per_category,table,applicable,AVAILABLE,results\iracing\tables\resampling_stability_per_category.csv,14
Per-category separability under the alternative geometry,alternative_geometry_category_summary,table,this experiment is defined on the frozen highlight realisations and is not transferable to another corpus,NOT_APPLICABLE,,14
Headline statistic recomputed at each replicate checkpoint,alternative_geometry_convergence,table,this experiment is defined on the frozen highlight realisations and is not transferable to another corpus,NOT_APPLICABLE,,14
One row per alternative-geometry replicate,alternative_geometry_run_records,machine-readable records,this experiment is defined on the frozen highlight realisations and is not transferable to another corpus,NOT_APPLICABLE,,14
assignment_threshold_sensitivity,assignment_threshold_sensitivity,table,no second commentary register was supplied,NOT_APPLICABLE,,14
Matched-event availability class per category,category_availability_control,table,no second commentary register was supplied,NOT_APPLICABLE,,14
complete_compositional_sensitivity,complete_compositional_sensitivity,table,no second commentary register was supplied,NOT_APPLICABLE,,14
"Per-event differences, every representation",compositional_event_differences,machine-readable records,no second commentary register was supplied,NOT_APPLICABLE,,14
Robustness across compositional representations,compositional_robustness_summary,table,no second commentary register was supplied,NOT_APPLICABLE,,14
correspondence_outcome_criteria,correspondence_outcome_criteria,table,no second commentary register was supplied,NOT_APPLICABLE,,14
Per-category cross-register outcome,cross_register_category_outcomes,table,no second commentary register was supplied,NOT_APPLICABLE,,14
Counts of each correspondence outcome,cross_register_correspondence_summary,table,no second commentary register was supplied,NOT_APPLICABLE,,14
