cluster_id,alternative_model_recovery,resampling_stability,heldout_replication,geometry_separability,label,size,domain
0,0.8571428571428571,0.4456287805873186,0.0769230769230769,0.5566666666666666,K20,62,
1,1.0,0.926209951678883,0.1538461538461538,0.8145833333333332,K11,94,
2,0.8571428571428571,0.0609514598333875,,0.8979147597254006,K30,38,
3,1.0,0.8000276991104939,0.1428571428571428,0.8150000000000001,K21,60,
4,0.7142857142857143,0.8336402953399952,0.4,0.8017216955432058,K16,74,
5,0.7142857142857143,0.5915414357444703,0.1285714285714285,0.3735143712328562,K01,321,
6,0.7142857142857143,0.2736855798375665,0.4166666666666667,0.9283333333333332,K29,41,
7,0.7142857142857143,0.2282160595606052,0.3333333333333333,0.5946637426900585,K26,44,
8,0.8571428571428571,0.6160466811222366,0.2258064516129032,0.3702788371895923,K02,272,
9,1.0,0.5774402736649216,0.05,0.465383120566187,K04,205,
10,0.7142857142857143,0.1206177066251504,0.3529411764705882,0.799468954248366,K27,42,
11,0.5714285714285714,0.1973419675787797,0.0434782608695652,0.5344961027889418,K23,53,
12,0.2857142857142857,0.4417662371627466,0.1764705882352941,0.6677159244264508,K17,67,
13,0.7142857142857143,0.5093762849033683,0.3076923076923077,0.5061044589113642,K07,132,
14,0.5714285714285714,0.6803407082298986,0.0,0.5220016982071936,K00,397,
15,0.1428571428571428,0.3854245926243216,0.3478260869565217,0.5608816183816184,K10,103,
16,0.4285714285714285,0.2329207970424625,,0.8366389599317989,K25,48,
17,0.7142857142857143,0.3280118163127036,0.05,0.8347549019607843,K24,53,
18,0.2857142857142857,0.483596790936024,0.2222222222222222,0.4308045175273325,K15,76,
19,0.5714285714285714,0.5529799585957964,0.21875,0.6646717171717171,K12,92,
20,0.1428571428571428,0.1731161512051775,0.56,0.5901536576884874,K28,42,
21,0.4285714285714285,0.5837821456351298,,0.6527102683178534,K18,67,
22,0.8571428571428571,0.6603752296123407,,0.6841666666666666,K09,107,
23,0.7142857142857143,0.5752052105555349,0.25,0.6016197800021329,K05,205,
24,0.2857142857142857,0.3636255253791268,0.125,0.7501785714285714,K19,66,
25,0.4285714285714285,0.4969378695523107,,0.6623076923076924,K14,79,
26,0.8571428571428571,0.6740585965234261,,0.6720168067226892,K08,114,
27,0.1428571428571428,0.2921588526700468,,0.3801775025235145,K06,195,
28,0.1428571428571428,0.2025099349700637,,0.7019956140350877,K22,57,
29,0.4285714285714285,0.1881419045563966,,0.4640837705235238,K13,87,
30,0.4285714285714285,0.3902421390032378,0.3243243243243243,0.4572544953465257,K03,272,
